another_name,another_name_kana,post_id,prefecture_id
,,0000000,46
秋徳,ｱｷﾄｸ,8942234,46
阿木名,ｱｷﾞﾅ,8941511,46
阿多地,ｱﾀﾞﾁ,8942411,46
阿鉄,ｱﾃﾂ,8941744,46
網野子,ｱﾐﾉｺ,8941513,46
阿室釜,ｱﾑﾛｶﾞﾏ,8941742,46
池地,ｲｹｼﾞ,8942501,46
生間,ｲｹﾝﾏ,8942142,46
伊子茂,ｲｺﾓ,8942236,46
伊須,ｲｽ,8941524,46
請阿室,ｳｹｱﾑﾛ,8942502,46
於斉,ｵｻｲ,8942235,46
押角,ｵｼｶｸ,8942231,46
勝浦,ｶﾁｳﾗ,8941512,46
勝能,ｶﾁﾕｷ,8942232,46
嘉鉄,ｶﾃﾂ,8941522,46
嘉徳,ｶﾄｸ,8941515,46
嘉入,ｶﾆｭｳ,8942413,46
木慈,ｷｼﾞ,8942417,46
久慈,ｸｼﾞ,8941851,46
管鈍,ｸﾀﾞﾄﾞﾝ,8941854,46
久根津,ｸﾈﾂ,8941746,46
花天,ｹﾃﾝ,8941853,46
花富,ｹﾄﾞﾐ,8942237,46
古志,ｺｼ,8941852,46
小名瀬,ｺﾅｾ,8941743,46
古仁屋,ｺﾆﾔ,0000000,46
古仁屋大湊,ｺﾆﾔｵｵﾐﾅﾄ,8941503,46
古仁屋春日,ｺﾆﾔｶｽｶﾞ,8941504,46
古仁屋瀬久井,ｺﾆﾔｾｸｲ,8941507,46
古仁屋高丘,ｺﾆﾔﾀｶｵｶ,8941501,46
古仁屋船津,ｺﾆﾔﾌﾅﾂ,8941506,46
古仁屋松江,ｺﾆﾔﾏﾂｴ,8941505,46
古仁屋宮前,ｺﾆﾔﾐﾔﾏｴ,8941502,46
古仁屋瀬久井西,ｺﾆﾔｾｸｲﾆｼ,8941510,46
古仁屋瀬久井東,ｺﾆﾔｾｸｲﾋｶﾞｼ,8941509,46
薩川,ｻﾂｶﾜ,8942402,46
実久,ｻﾈｸ,8942403,46
篠川,ｼﾉｶﾜ,8941741,46
芝,ｼﾊﾞ,8942404,46
諸数,ｼｮｶｽﾞ,8942144,46
諸鈍,ｼｮﾄﾞﾝ,8942141,46
須子茂,ｽｺﾓ,8942412,46
清水,ｾｲｽｲ,8941521,46
瀬相,ｾｿｳ,8942322,46
瀬武,ｾﾀｹ,8942401,46
節子,ｾｯｺ,8941514,46
蘇刈,ｿｶﾙ,8941523,46
武名,ﾀｹﾅ,8942416,46
知之浦,ﾁﾉｳﾗ,8942415,46
手安,ﾃｱﾝ,8941531,46
渡連,ﾄﾞﾚﾝ,8942143,46
西阿室,ﾆｼｱﾑﾛ,8942321,46
西古見,ﾆｼｺﾐ,8941855,46
野見山,ﾉﾐﾔﾏ,8942233,46
俵,ﾋｮｳ,8942323,46
三浦,ﾐｳﾗ,8942414,46
油井,ﾕｲ,8941745,46
与路,ﾖﾛ,8942601,46
