another_name,another_name_kana,post_id,prefecture_id
,,0000000,34
阿多田,ｱﾀﾀ,7390607,34
安条,ｱﾝｼﾞｮｳ,7390634,34
後飯谷,ｳｼﾛｲｲﾀﾆ,7390637,34
小方,ｵｶﾞﾀ,7390623,34
小方ケ丘,ｵｶﾞﾀｶﾞｵｶ,7390628,34
小方町小方,ｵｶﾞﾀﾁｮｳｵｶﾞﾀ,7390627,34
小方町黒川,ｵｶﾞﾀﾁｮｳｸﾛｶﾜ,7390654,34
穂仁原,ｵﾆﾊﾗ,7390632,34
北栄,ｷﾀｻｶｴ,7390604,34
玖波,ｸﾊﾞ,7390651,34
玖波町,ｸﾊﾞﾁｮｳ,7390656,34
栗谷町後原,ｸﾘﾀﾆﾁｮｳｳｼﾛﾊﾞﾗ,7390644,34
栗谷町大栗林,ｸﾘﾀﾆﾁｮｳｵｵｸﾘﾊﾞﾔｼ,7390646,34
栗谷町奥谷尻,ｸﾘﾀﾆﾁｮｳｵｸﾀﾆｼﾞﾘ,7390642,34
栗谷町小栗林,ｸﾘﾀﾆﾁｮｳｺｸﾘﾊﾞﾔｼ,7390645,34
栗谷町谷和,ｸﾘﾀﾆﾁｮｳﾀﾆﾜ,7390643,34
栗谷町広原,ｸﾘﾀﾆﾁｮｳﾋﾛﾊﾗ,7390641,34
黒川,ｸﾛｶﾜ,7390653,34
木野,ｺﾉ,7390616,34
白石,ｼﾗｲｼ,7390614,34
新町,ｼﾝﾏﾁ,7390611,34
立戸,ﾀﾁﾄﾞ,7390605,34
西栄,ﾆｼｻｶｴ,7390603,34
八丁,ﾊｯﾁｮｳ,7390635,34
晴海,ﾊﾙﾐ,7390622,34
東栄,ﾋｶﾞｼｻｶｴ,7390601,34
比作,ﾋｯﾂｸﾘ,7390633,34
防鹿,ﾎﾞｳﾛｸ,7390631,34
本町,ﾎﾝﾏﾁ,7390613,34
前飯谷,ﾏｴｲｲﾀﾆ,7390636,34
松ケ原町,ﾏﾂｶﾞﾊﾗﾁｮｳ,7390657,34
御園,ﾐｿﾉ,7390624,34
御園台,ﾐｿﾉﾀﾞｲ,7390625,34
三ツ石町,ﾐﾂｲｼﾁｮｳ,7390626,34
港町,ﾐﾅﾄﾏﾁ,7390621,34
南栄,ﾐﾅﾐｻｶｴ,7390602,34
御幸町,ﾐﾕｷﾁｮｳ,7390606,34
明治新開,ﾒｲｼﾞｼﾝｶﾞｲ,7390652,34
元町,ﾓﾄﾏﾁ,7390615,34
油見,ﾕｳﾐ,7390612,34
湯舟町,ﾕﾌﾞﾈﾁｮｳ,7390655,34
