another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
赤瀬,ｱｶｾﾞ,3240015,9
浅香,ｱｻｶ,3240043,9
荒井,ｱﾗｲ,3240061,9
新宿,ｱﾗｼﾞｭｸ,3240413,9
市野沢,ｲﾁﾉｻﾜ,3240006,9
今泉,ｲﾏｲｽﾞﾐ,3240064,9
薄葉,ｳｽﾊﾞ,3240035,9
宇田川,ｳﾀﾞｶﾞﾜ,3240022,9
雲岩寺,ｳﾝｶﾞﾝｼﾞ,3240213,9
大神,ｵｵｶﾞﾐ,3240025,9
大久保,ｵｵｸﾎﾞ,3240204,9
大豆田,ｵｵﾏﾒﾀﾞ,3240242,9
大輪,ｵｵﾜ,3240236,9
岡,ｵｶ,3240065,9
荻野目,ｵｷﾞﾉﾒ,3240027,9
奥沢,ｵｸｻﾜ,3240017,9
乙連沢,ｵﾄﾚｻﾞﾜ,3240001,9
加治屋,ｶｼﾞﾔ,3240046,9
片田,ｶﾀﾀ,3240223,9
片府田,ｶﾀﾌﾀ,3240414,9
鹿畑,ｶﾊﾞﾀ,3240013,9
上石上,ｶﾐｲｼｶﾞﾐ,3240037,9
上奥沢,ｶﾐｵｸｻﾜ,3240018,9
亀久,ｶﾒﾋｻ,3240221,9
川上,ｶﾜｶﾐ,3240214,9
川田,ｶﾜﾀﾞ,3240208,9
河原,ｶﾜﾗ,3240207,9
木佐美,ｷｻﾞﾐ,3240202,9
北大和久,ｷﾀｵｵﾜｸﾞ,3240016,9
北金丸,ｷﾀｶﾈﾏﾙ,3240011,9
北滝,ｷﾀﾀｷ,3240224,9
北野上,ｷﾀﾉｶﾞﾐ,3240231,9
久野又,ｸﾉﾏﾀ,3240205,9
倉骨,ｸﾗﾎﾈ,3240014,9
黒羽田町,ｸﾛﾊﾞﾈﾀﾏﾁ,3240233,9
黒羽向町,ｸﾛﾊﾞﾈﾑｺｳﾏﾁ,3240241,9
小滝,ｺﾀﾞｷ,3240003,9
小船渡,ｺﾌﾞﾅﾄ,3240402,9
佐久山,ｻｸﾔﾏ,3240032,9
寒井,ｻﾌﾞｲ,3240246,9
佐良土,ｻﾗﾄﾞ,3240404,9
品川,ｼﾅｶﾞﾜ,3240415,9
下石上,ｼﾓｲｼｶﾞﾐ,3240036,9
城山,ｼﾛﾔﾏ,3240052,9
新富町,ｼﾝﾄﾐﾁｮｳ,3240055,9
末広,ｽｴﾋﾛ,3240042,9
須賀川,ｽｶｶﾞﾜ,3240211,9
須佐木,ｽｻｷﾞ,3240212,9
住吉町,ｽﾐﾖｼﾁｮｳ,3240057,9
狭原,ｾﾊﾞﾊﾗ,3240401,9
滝岡,ﾀｷｵｶ,3240026,9
滝沢,ﾀｷｻﾞﾜ,3240033,9
親園,ﾁｶｿﾉ,3240044,9
中央,ﾁｭｳｵｳ,3240056,9
寺宿,ﾃﾗｼﾞｭｸ,3240203,9
戸野内,ﾄﾉｳﾁ,3240066,9
富池,ﾄﾐｲｹ,3240004,9
中田原,ﾅｶﾀﾞﾜﾗ,3240062,9
中野内,ﾅｶﾉｳﾁ,3240206,9
中の原,ﾅｶﾉﾊﾗ,3240405,9
南方,ﾅﾝﾎﾞｳ,3240215,9
練貫,ﾈﾘﾇｷ,3240005,9
野崎,ﾉｻﾞｷ,3240038,9
蜂巣,ﾊﾁｽ,3240244,9
花園,ﾊﾅｿﾞﾉ,3240023,9
羽田,ﾊﾝﾀﾞ,3240002,9
桧木沢,ﾋﾉｷｻﾞﾜ,3240245,9
平沢,ﾋﾗｻﾜ,3240034,9
蛭田,ﾋﾙﾀ,3240412,9
蛭畑,ﾋﾙﾊﾀ,3240411,9
福原,ﾌｸﾜﾗ,3240024,9
藤沢,ﾌｼﾞｻﾜ,3240031,9
富士見,ﾌｼﾞﾐ,3240028,9
堀之内,ﾎﾘﾉｳﾁ,3240235,9
本町,ﾎﾝﾁｮｳ,3240041,9
前田,ﾏｴﾀ,3240234,9
町島,ﾏﾁｼﾞﾏ,3240063,9
実取,ﾐﾄﾞﾘ,3240045,9
南金丸,ﾐﾅﾐｶﾈﾏﾙ,3240012,9
美原,ﾐﾊﾗ,3240047,9
紫塚,ﾑﾗｻｷﾂﾞｶ,3240058,9
元町,ﾓﾄﾏﾁ,3240053,9
矢倉,ﾔｸﾞﾗ,3240222,9
八塩,ﾔｼｵ,3240232,9
山の手,ﾔﾏﾉﾃ,3240051,9
湯津上,ﾕﾂﾞｶﾐ,3240403,9
余瀬,ﾖｾﾞ,3240243,9
両郷,ﾘｮｳｺﾞｳ,3240201,9
若草,ﾜｶｸｻ,3240021,9
若松町,ﾜｶﾏﾂﾁｮｳ,3240054,9
