another_name,another_name_kana,post_id,prefecture_id
,,0000000,19
大月,ｵｵﾂｷ,4010013,19
大月町大月,ｵｵﾂｷﾏﾁｵｵﾂｷ,4010014,19
大月町花咲,ｵｵﾂｷﾏﾁﾊﾅｻｷ,4010015,19
大月町真木,ｵｵﾂｷﾏﾁﾏｷﾞ,4010016,19
駒橋,ｺﾏﾊｼ,4010011,19
笹子町黒野田,ｻｻｺﾞﾏﾁｸﾛﾉﾀﾞ,4010025,19
笹子町白野,ｻｻｺﾞﾏﾁｼﾗﾉ,4010023,19
笹子町吉久保,ｻｻｺﾞﾏﾁﾖｼｸﾎﾞ,4010024,19
猿橋町朝日小沢,ｻﾙﾊｼﾏﾁｱｻﾋｵｻﾞﾜ,4090615,19
猿橋町伊良原,ｻﾙﾊｼﾏﾁｲﾗﾊﾞﾗ,4090613,19
猿橋町小沢,ｻﾙﾊｼﾏﾁｵｻﾞﾜ,4090616,19
猿橋町小篠,ｻﾙﾊｼﾏﾁｵｼﾉ,4090611,19
猿橋町桂台,ｻﾙﾊｼﾏﾁｶﾂﾗﾀﾞｲ,4090618,19
猿橋町猿橋,ｻﾙﾊｼﾏﾁｻﾙﾊｼ,4090614,19
猿橋町殿上,ｻﾙﾊｼﾏﾁﾄﾉｳｴ,4090617,19
猿橋町藤崎,ｻﾙﾊｼﾏﾁﾌｼﾞｻｷ,4090612,19
富浜町鳥沢,ﾄﾐﾊﾏﾏﾁﾄﾘｻﾜ,4090502,19
富浜町宮谷,ﾄﾐﾊﾏﾏﾁﾐﾔﾀﾆ,4090501,19
七保町浅川,ﾅﾅﾎﾏﾁｱｻｶﾜ,4090621,19
七保町葛野,ﾅﾅﾎﾏﾁｶｽﾞﾉ,4090623,19
七保町駒宮,ﾅﾅﾎﾏﾁｺﾏﾐﾔ,4090627,19
七保町下和田,ﾅﾅﾎﾏﾁｼﾓﾜﾀﾞ,4090622,19
七保町瀬戸,ﾅﾅﾎﾏﾁｾﾄ,4090626,19
七保町奈良子,ﾅﾅﾎﾏﾁﾅﾗｺﾞ,4090625,19
七保町林,ﾅﾅﾎﾏﾁﾊﾔｼ,4090624,19
賑岡町浅利,ﾆｷﾞｵｶﾏﾁｱｻﾘ,4010005,19
賑岡町岩殿,ﾆｷﾞｵｶﾏﾁｲﾜﾄﾞﾉ,4010002,19
賑岡町奥山,ﾆｷﾞｵｶﾏﾁｵｸﾔﾏ,4010006,19
賑岡町強瀬,ﾆｷﾞｵｶﾏﾁｺﾜｾﾞ,4010004,19
賑岡町畑倉,ﾆｷﾞｵｶﾏﾁﾊﾀｸﾞﾗ,4010001,19
賑岡町ゆりケ丘,ﾆｷﾞｵｶﾏﾁﾕﾘｶﾞｵｶ,4010003,19
初狩町下初狩,ﾊﾂｶﾘﾏﾁｼﾓﾊﾂｶﾘ,4010021,19
初狩町中初狩,ﾊﾂｶﾘﾏﾁﾅｶﾊﾂｶﾘ,4010022,19
御太刀,ﾐﾀﾁ,4010012,19
梁川町新倉,ﾔﾅｶﾞﾜﾏﾁｱﾗｸﾗ,4090504,19
梁川町塩瀬,ﾔﾅｶﾞﾜﾏﾁｼｵｾﾞ,4090505,19
梁川町立野,ﾔﾅｶﾞﾜﾏﾁﾀﾁﾉ,4090506,19
梁川町綱の上,ﾔﾅｶﾞﾜﾏﾁﾂﾅﾉｳｴ,4090503,19
