another_name,another_name_kana,post_id,prefecture_id
,,0000000,38
阿蔵,ｱｿﾞｳ,7950025,38
市木,ｲﾁｷﾞ,7950062,38
稲積,ｲﾅｽﾞﾐ,7950007,38
梅川,ｳﾒｶﾞﾜ,7950003,38
宇和川,ｳﾜｶﾞﾜ,7950088,38
大洲,ｵｵｽﾞ,7950012,38
戒川甲,ｶｲｶﾜｺｳ,7993421,38
上須戒,ｶﾐｽｶﾞｲ,7950032,38
河辺町植松,ｶﾜﾍﾞﾁｮｳｳｴﾏﾂ,7971601,38
河辺町川上,ｶﾜﾍﾞﾁｮｳｶﾜｶﾐ,7971607,38
河辺町川崎,ｶﾜﾍﾞﾁｮｳｶﾜｻｷ,7971604,38
河辺町河都,ｶﾜﾍﾞﾁｮｳｶﾜﾄ,7971605,38
河辺町北平,ｶﾜﾍﾞﾁｮｳｷﾀﾋﾗ,7971608,38
河辺町三嶋,ｶﾜﾍﾞﾁｮｳﾐｼﾏ,7971606,38
河辺町山鳥坂,ｶﾜﾍﾞﾁｮｳﾔﾏﾄｻｶ,7971602,38
河辺町横山,ｶﾜﾍﾞﾁｮｳﾖｺﾔﾏ,7971603,38
北裏,ｷﾀｳﾗ,7950009,38
北只,ｷﾀﾀﾀﾞ,7950001,38
喜多山,ｷﾀﾔﾏ,7950075,38
蔵川,ｸﾗｶﾜ,7950089,38
黒木,ｸﾛｷﾞ,7950008,38
恋木,ｺｲﾉｷ,7950074,38
五郎,ｺﾞﾛｳ,7950051,38
柴乙,ｼﾊﾞｵﾂ,7993433,38
柴甲,ｼﾊﾞｺｳ,7993432,38
白滝甲,ｼﾗﾀｷｺｳ,7993431,38
菅田町宇津甲,ｽｹﾞﾀﾁｮｳｳｽﾞｺｳ,7950084,38
菅田町宇津乙,ｽｹﾞﾀﾁｮｳｳｽﾞｵﾂ,7950085,38
菅田町大竹,ｽｹﾞﾀﾁｮｳｵｵﾀﾞｹ,7950083,38
菅田町菅田甲,ｽｹﾞﾀﾁｮｳｽｹﾞﾀｺｳ,7950081,38
菅田町菅田乙,ｽｹﾞﾀﾁｮｳｽｹﾞﾀｵﾂ,7950082,38
菅田町菅田丙,ｽｹﾞﾀﾁｮｳｽｹﾞﾀﾍｲ,7950081,38
高山,ﾀｶﾔﾏ,7950024,38
多田,ﾀﾀﾞ,7950031,38
田処,ﾀﾄﾞｺﾛ,7950078,38
田口,ﾀﾉｸﾁ,7950063,38
手成,ﾃﾅﾙ,7950044,38
常磐町,ﾄｷﾜﾏﾁ,7950053,38
徳森,ﾄｸﾉﾓﾘ,7950061,38
豊茂乙,ﾄﾖｼｹﾞｵﾂ,7993462,38
豊茂甲,ﾄﾖｼｹﾞｺｳ,7993461,38
豊茂丁,ﾄﾖｼｹﾞﾃｲ,7993464,38
豊茂丙,ﾄﾖｼｹﾞﾍｲ,7993463,38
長谷,ﾅｶﾞﾀﾆ,7950004,38
長浜乙,ﾅｶﾞﾊﾏｵﾂ,7993402,38
長浜甲,ﾅｶﾞﾊﾏｺｳ,7993401,38
長浜町青島,ﾅｶﾞﾊﾏﾁｮｳｱｵｼﾏ,7993470,38
長浜町出海乙,ﾅｶﾞﾊﾏﾁｮｳｲｽﾞﾐｵﾂ,7993456,38
長浜町出海甲,ﾅｶﾞﾊﾏﾁｮｳｲｽﾞﾐｺｳ,7993455,38
長浜町大越甲,ﾅｶﾞﾊﾏﾁｮｳｵｵｺﾞｼｺｳ,7993422,38
長浜町沖浦乙,ﾅｶﾞﾊﾏﾁｮｳｵｷｳﾗｵﾂ,7993405,38
長浜町沖浦甲,ﾅｶﾞﾊﾏﾁｮｳｵｷｳﾗｺｳ,7993404,38
