another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
相生町,ｱｲｵｲﾁｮｳ,0470028,1
赤岩,ｱｶｲﾜ,0470046,1
旭町,ｱｻﾋﾏﾁ,0470035,1
朝里,ｱｻﾘ,0470151,1
朝里川温泉,ｱｻﾘｶﾞﾜｵﾝｾﾝ,0470154,1
有幌町,ｱﾘﾎﾛﾁｮｳ,0470006,1
石山町,ｲｼﾔﾏﾁｮｳ,0470038,1
稲穂,ｲﾅﾎ,0470032,1
入船,ｲﾘﾌﾈ,0470021,1
色内,ｲﾛﾅｲ,0470031,1
梅ケ枝町,ｳﾒｶﾞｴﾁｮｳ,0470044,1
奥沢,ｵｸｻﾜ,0470013,1
忍路,ｵｼｮﾛ,0482561,1
オタモイ,ｵﾀﾓｲ,0482671,1
勝納町,ｶﾂﾅｲﾁｮｳ,0470005,1
桂岡町,ｶﾂﾗｵｶﾁｮｳ,0470264,1
幸,ｻｲﾜｲ,0470037,1
堺町,ｻｶｲﾏﾁ,0470027,1
桜,ｻｸﾗ,0470156,1
潮見台,ｼｵﾐﾀﾞｲ,0470002,1
塩谷,ｼｵﾔ,0482672,1
東雲町,ｼﾉﾉﾒﾁｮｳ,0470026,1
清水町,ｼﾐｽﾞﾁｮｳ,0470045,1
祝津,ｼｭｸﾂ,0470047,1
新光,ｼﾝｺｳ,0470152,1
新光町,ｼﾝｺｳﾁｮｳ,0470153,1
新富町,ｼﾝﾄﾐﾁｮｳ,0470004,1
末広町,ｽｴﾋﾛﾁｮｳ,0470042,1
住ノ江,ｽﾐﾉｴ,0470014,1
住吉町,ｽﾐﾖｼﾁｮｳ,0470015,1
銭函,ｾﾞﾆﾊﾞｺ,0000000,1
高島,ﾀｶｼﾏ,0470048,1
築港,ﾁｯｺｳ,0470008,1
手宮,ﾃﾐﾔ,0470041,1
天狗山,ﾃﾝｸﾞﾔﾏ,0470012,1
天神,ﾃﾝｼﾞﾝ,0470011,1
富岡,ﾄﾐｵｶ,0470033,1
豊川町,ﾄﾖｶﾜﾁｮｳ,0470043,1
長橋,ﾅｶﾞﾊｼ,0470036,1
錦町,ﾆｼｷﾏﾁ,0470039,1
信香町,ﾉﾌﾞｶﾁｮｳ,0470016,1
花園,ﾊﾅｿﾞﾉ,0470024,1
張碓町,ﾊﾘｳｽﾁｮｳ,0470266,1
春香町,ﾊﾙｶﾁｮｳ,0470265,1
船浜町,ﾌﾅﾊﾏﾁｮｳ,0470157,1
望洋台,ﾎﾞｳﾖｳﾀﾞｲ,0470155,1
星野町,ﾎｼﾉﾁｮｳ,0470262,1
真栄,ﾏｻｶｴ,0470003,1
松ケ枝,ﾏﾂｶﾞｴ,0470022,1
緑,ﾐﾄﾞﾘ,0470034,1
港町,ﾐﾅﾄﾏﾁ,0470007,1
見晴町,ﾐﾊﾗｼﾁｮｳ,0470263,1
最上,ﾓｶﾞﾐ,0470023,1
桃内,ﾓﾓﾅｲ,0482673,1
山田町,ﾔﾏﾀﾞﾏﾁ,0470025,1
蘭島,ﾗﾝｼﾏ,0482562,1
若竹町,ﾜｶﾀｹﾁｮｳ,0470001,1
若松,ﾜｶﾏﾂ,0470017,1
