another_name,another_name_kana,post_id,prefecture_id
,,0000000,32
明塚,ｱｶﾂｶ,6994624,32
吾郷,ｱｺﾞｳ,6994627,32
石原,ｲｼﾊﾗ,6994715,32
潮村,ｳｼｵﾑﾗ,6960701,32
内田,ｳﾁﾀﾞ,6961136,32
奥山,ｵｸﾔﾏ,6994631,32
乙原,ｵﾝﾊﾞﾗ,6994626,32
粕渕,ｶｽﾌﾞﾁ,6994621,32
片山,ｶﾀﾔﾏ,6994714,32
櫨谷,ｶﾀﾗｶﾞｲ,6961137,32
上川戸,ｶﾐｶﾜﾄﾞ,6994702,32
上野,ｶﾐﾉ,6960702,32
亀村,ｶﾒﾑﾗ,6994707,32
京覧原,ｷｮﾗﾝﾊﾞﾗ,6961141,32
久喜原,ｸｷﾊﾞﾗ,6961142,32
久保,ｸﾎﾞ,6994622,32
熊見,ｸﾏﾐ,6994703,32
九日市,ｺｺﾉｶｲﾁ,6994712,32
小谷,ｺﾀﾆ,6961144,32
小林,ｺﾊﾞﾔｼ,6961133,32
小松地,ｺﾏﾂｼﾞ,6961135,32
酒谷,ｻｹﾀﾞﾆ,6994713,32
信喜,ｼｷ,6994704,32
志君,ｼｷﾞﾐ,6961132,32
地頭所,ｼﾞﾄｳｼｮ,6961143,32
惣森,ｿｳﾓﾘ,6961134,32
高畑,ﾀｶﾊﾀ,6994632,32
高山,ﾀｶﾔﾏ,6994605,32
滝原,ﾀｷﾊﾞﾗ,6994706,32
千原,ﾁﾊﾗ,6994711,32
都賀西,ﾂｶﾞﾆｼ,6960703,32
都賀本郷,ﾂｶﾞﾎﾝｺﾞｳ,6960704,32
都賀行,ﾂｶﾞﾕｷ,6960705,32
長藤,ﾅｶﾞﾄｳ,6960706,32
野井,ﾉｲ,6994623,32
浜原,ﾊﾏﾊﾗ,6994701,32
比敷,ﾋｼﾞｷ,6960712,32
別府,ﾍﾞｯﾌﾟ,6961131,32
港,ﾐﾅﾄ,6961145,32
宮内,ﾐﾔｳﾁ,6960711,32
村之郷,ﾑﾗﾉｺﾞｳ,6960713,32
簗瀬,ﾔﾅｾﾞ,6994625,32
湯抱,ﾕｶﾞｶｲ,6994633,32
