another_name,another_name_kana,post_id,prefecture_id
,,0000000,32
阿須那,ｱｽﾅ,6960501,32
出羽,ｲｽﾞﾊ,6960312,32
市木,ｲﾁｷﾞ,6970631,32
井原,ｲﾊﾞﾗ,6960101,32
今井,ｲﾏｲ,6960504,32
岩屋,ｲﾜﾔ,6960314,32
上田,ｳｴﾀﾞ,6960601,32
宇都井,ｳﾂﾞｲ,6960503,32
大林,ｵｵﾊﾞﾔｼ,6960315,32
上亀谷,ｶﾐｶﾒﾀﾞﾆ,6960224,32
上口羽,ｶﾐｸﾁﾊﾞ,6960602,32
上田所,ｶﾐﾀﾄﾞｺﾛ,6960225,32
上原,ｶﾐﾊﾗ,6960405,32
木須田,ｷｽﾞﾀ,6960502,32
久喜,ｸｷ,6960316,32
高水,ｺｳｽﾞｲ,6960131,32
下亀谷,ｼﾓｶﾒﾀﾞﾆ,6960223,32
下口羽,ｼﾓｸﾁﾊﾞ,6960603,32
下田所,ｼﾓﾀﾄﾞｺﾛ,6960222,32
高見,ﾀｶﾐ,6960406,32
戸河内,ﾄｶﾞｳﾁ,6960505,32
中野,ﾅｶﾉ,6960102,32
原村,ﾊﾗﾑﾗ,6960404,32
日貫,ﾋﾇｲ,6994311,32
日和,ﾋﾜ,6960104,32
伏谷,ﾌｼﾀﾆ,6960402,32
布施,ﾌｾ,6960401,32
鱒渕,ﾏｽﾌﾞﾁ,6960221,32
三日市,ﾐｯｶｲﾁ,6960311,32
八色石,ﾔｲﾛｲｼ,6960407,32
矢上,ﾔｶﾐ,6960103,32
山田,ﾔﾏﾀﾞ,6960313,32
雪田,ﾕｷﾀ,6960506,32
淀原,ﾖﾄﾞﾊﾗ,6960317,32
和田,ﾜﾀﾞ,6960403,32
