another_name,another_name_kana,post_id,prefecture_id
,,0000000,25
間之町,ｱｲﾉﾏﾁ,5230836,25
赤尾町,ｱｺｳﾁｮｳ,5230052,25
浅小井町,ｱｻｺﾞｲﾁｮｳ,5230817,25
安土町石寺,ｱﾂﾞﾁﾁｮｳｲｼﾃﾞﾗ,5211331,25
安土町内野,ｱﾂﾞﾁﾁｮｳｳﾁﾉ,5211333,25
安土町上出,ｱﾂﾞﾁﾁｮｳｶﾐﾃﾞ,5211342,25
安土町上豊浦,ｱﾂﾞﾁﾁｮｳｶﾐﾄﾖｳﾗ,5211341,25
安土町桑実寺,ｱﾂﾞﾁﾁｮｳｸﾜﾉﾐｼﾞ,5211321,25
安土町小中,ｱﾂﾞﾁﾁｮｳｺﾅｶ,5211343,25
安土町香庄,ｱﾂﾞﾁﾁｮｳｺﾉｼｮｳ,5211346,25
安土町慈恩寺,ｱﾂﾞﾁﾁｮｳｼﾞｵﾝｼﾞ,5211345,25
安土町下豊浦,ｱﾂﾞﾁﾁｮｳｼﾓﾄｲﾗ,5211311,25
安土町常楽寺,ｱﾂﾞﾁﾁｮｳｼﾞｮｳﾗｸｼﾞ,5211351,25
安土町大中,ｱﾂﾞﾁﾁｮｳﾀﾞｲﾅｶ,5211301,25
安土町中屋,ｱﾂﾞﾁﾁｮｳﾅｶﾔ,5211344,25
安土町西老蘇,ｱﾂﾞﾁﾁｮｳﾆｼｵｲｿ,5211334,25
安土町東老蘇,ｱﾂﾞﾁﾁｮｳﾋｶﾞｼｵｲｿ,5211332,25
安土町宮津,ｱﾂﾞﾁﾁｮｳﾐﾔﾂﾞ,5211322,25
安養寺町,ｱﾝﾖｳｼﾞﾁｮｳ,5230045,25
生須町,ｲｹｽﾁｮｳ,5230823,25
池田本町,ｲｹﾀﾞﾎﾝﾏﾁ,5230043,25
池田町,ｲｹﾀﾞﾏﾁ,5230877,25
為心町上,ｲｼﾝﾁｮｳｶﾐ,5230866,25
為心町中,ｲｼﾝﾁｮｳﾅｶ,5230865,25
為心町元,ｲｼﾝﾁｮｳﾓﾄ,5230864,25
板屋町,ｲﾀﾔﾁｮｳ,5230885,25
市井町,ｲﾁｲﾁｮｳ,5230851,25
上田町,ｳｴﾀﾞﾁｮｳ,5230015,25
上野町,ｳｴﾉﾁｮｳ,5230046,25
上畑町,ｳｴﾊﾀﾁｮｳ,5230026,25
宇津呂町,ｳﾂﾛﾁｮｳ,5230895,25
魚屋町上,ｳﾜｲﾁｮｳｶﾐ,5230869,25
魚屋町中,ｳﾜｲﾁｮｳﾅｶ,5230868,25
魚屋町元,ｳﾜｲﾁｮｳﾓﾄ,5230867,25
江頭町,ｴｶﾞｼﾗﾁｮｳ,5230061,25
江南町,ｴﾅﾐﾁｮｳ,5230832,25
大杉町,ｵｵｽｷﾞﾁｮｳ,5230837,25
大房町,ｵｵﾌﾞｻﾁｮｳ,5230071,25
大森町,ｵｵﾓﾘﾁｮｳ,5230042,25
沖島町,ｵｷｼﾏﾁｮｳ,5230801,25
長田町,ｵｻﾀﾞﾁｮｳ,5230811,25
小田町,ｵﾀﾞﾁｮｳ,5230064,25
音羽町,ｵﾄﾜﾁｮｳ,5230856,25
小幡町上,ｵﾊﾞﾀﾁｮｳｶﾐ,5230875,25
小幡町中,ｵﾊﾞﾀﾁｮｳﾅｶ,5230874,25
鍵之手町,ｶｷﾞﾉﾃﾁｮｳ,5230852,25
鍛治屋町,ｶｼﾞﾔﾁｮｳ,5230833,25
加茂町,ｶﾓﾁｮｳ,5230058,25
川原町,ｶﾜﾗﾏﾁ,5230047,25
北末町,ｷﾀｽｴﾁｮｳ,5230884,25
北津田町,ｷﾀﾂﾀﾞﾁｮｳ,5230087,25
北之庄町,ｷﾀﾉｼｮｳﾁｮｳ,5230806,25
北元町,ｷﾀﾓﾄﾁｮｳ,5230883,25
倉橋部町,ｸﾗﾊｼﾍﾞﾁｮｳ,5230023,25
御所内町,ｺﾞｼｮｳﾁﾁｮｳ,5230003,25
小船木町,ｺﾌﾞﾅｷﾁｮｳ,5230083,25
金剛寺町,ｺﾝｺﾞｳｼﾞﾁｮｳ,5230001,25
佐久間町,ｻｸﾏﾁｮｳ,5230881,25
桜宮町,ｻｸﾗﾐﾔﾁｮｳ,5230893,25
佐波江町,ｻﾊﾞｴﾁｮｳ,5230076,25
慈恩寺町上,ｼﾞｵﾝｼﾞﾁｮｳｶﾐ,5230843,25
慈恩寺町中,ｼﾞｵﾝｼﾞﾁｮｳﾅｶ,5230842,25
慈恩寺町元,ｼﾞｵﾝｼﾞﾁｮｳﾓﾄ,5230841,25
篠原町,ｼﾉﾊﾗﾁｮｳ,5230044,25
島町,ｼﾏﾁｮｳ,5230804,25
十王町,ｼﾞｭｳｵｳﾁｮｳ,5230063,25
正神町,ｼｮｳｶﾞﾐﾁｮｳ,5230873,25
浄土寺町,ｼﾞｮｳﾄﾞｼﾞﾁｮｳ,5230024,25
白王町,ｼﾗｵｳﾁｮｳ,5230803,25
白鳥町,ｼﾗﾄﾘﾁｮｳ,5230032,25
新左衛門町,ｼﾝｻﾞｴﾓﾝﾁｮｳ,5230825,25
新栄町,ｼﾝｻｶｴﾏﾁ,5230081,25
新巻町,ｼﾝﾏｷﾁｮｳ,5230025,25
