another_name,another_name_kana,post_id,prefecture_id
,,0000000,25
荒張,ｱﾗﾊﾘ,5203003,25
安養寺,ｱﾝﾖｳｼﾞ,5203015,25
伊勢落,ｲｾｵﾁ,5203044,25
井上,ｲﾉｳｴ,5203006,25
大橋,ｵｵﾊｼ,5203046,25
岡,ｵｶ,5203012,25
小柿,ｵｶﾞｷ,5203024,25
小野,ｵﾉ,5203016,25
笠川,ｶｻｶﾞﾜ,5203033,25
上砥山,ｶﾐﾄﾔﾏ,5203004,25
上鈎,ｶﾐﾏｶﾞﾘ,5203022,25
苅原,ｶﾘﾊﾗ,5203032,25
川辺,ｶﾜﾂﾞﾗ,5203014,25
観音寺,ｶﾝｵﾝｼﾞ,5203002,25
北中小路,ｷﾀﾅｶｺｳｼﾞ,5203037,25
小平井,ｺﾋﾞﾗｲ,5203034,25
下戸山,ｼﾓﾄﾞﾔﾏ,5203011,25
下鈎,ｼﾓﾏｶﾞﾘ,5203026,25
十里,ｼﾞｭｳﾘ,5203036,25
高野,ﾀｶﾉ,5203045,25
辻,ﾂｼﾞ,5203042,25
出庭,ﾃﾞﾊﾞ,5203041,25
手原,ﾃﾊﾗ,5203047,25
中沢,ﾅｶｻﾞﾜ,5203025,25
野尻,ﾉｼﾞﾘ,5203027,25
蜂屋,ﾊﾁﾔ,5203021,25
林,ﾊﾔｼ,5203043,25
東坂,ﾋｶﾞｼｻｶ,5203001,25
綣,ﾍｿ,5203031,25
坊袋,ﾎﾞｳﾌﾞｸﾛ,5203023,25
御園,ﾐｿﾉ,5203005,25
目川,ﾒｶﾞﾜ,5203013,25
霊仙寺,ﾘｮｳｾﾝｼﾞ,5203035,25
六地蔵,ﾛｸｼﾞｿﾞｳ,5203017,25
