another_name,another_name_kana,post_id,prefecture_id
,,0000000,15
相川会津町,ｱｲｶﾜｱｲﾂﾞﾏﾁ,9521537,15
相川四十物町,ｱｲｶﾜｱｲﾓﾉﾏﾁ,9521538,15
相川海士町,ｱｲｶﾜｱﾏﾏﾁ,9521574,15
相川石扣町,ｱｲｶﾜｲｼﾊﾀｷﾏﾁ,9521517,15
相川板町,ｱｲｶﾜｲﾀﾏﾁ,9521512,15
相川市町,ｱｲｶﾜｲﾁﾏﾁ,9521566,15
相川一町目,ｱｲｶﾜｲｯﾁｮｳﾒ,9521557,15
相川一町目裏町,ｱｲｶﾜｲｯﾁｮｳﾒｳﾗﾏﾁ,9521552,15
相川一町目浜町,ｱｲｶﾜｲｯﾁｮｳﾒﾊﾏﾏﾁ,9521556,15
相川馬町,ｱｲｶﾜｳﾏﾏﾁ,9521565,15
相川江戸沢町,ｱｲｶﾜｴﾄﾞｻﾞﾜﾏﾁ,9521547,15
相川大浦,ｱｲｶﾜｵｵｳﾗ,9521646,15
相川大床屋町,ｱｲｶﾜｵｵﾄｺﾔﾏﾁ,9521534,15
相川大間町,ｱｲｶﾜｵｵﾏﾏﾁ,9521508,15
相川下戸炭屋裏町,ｱｲｶﾜｵﾘﾄｽﾐﾔｳﾗﾏﾁ,9521573,15
相川下戸炭屋浜町,ｱｲｶﾜｵﾘﾄｽﾐﾔﾊﾏﾏﾁ,9521584,15
相川下戸炭屋町,ｱｲｶﾜｵﾘﾄｽﾐﾔﾏﾁ,9521581,15
相川下戸浜町,ｱｲｶﾜｵﾘﾄﾊﾏﾏﾁ,9521571,15
相川下戸町,ｱｲｶﾜｵﾘﾄﾏﾁ,9521575,15
相川下戸村,ｱｲｶﾜｵﾘﾄﾑﾗ,9521582,15
相川鹿伏,ｱｲｶﾜｶﾌﾞｾ,9521583,15
相川上京町,ｱｲｶﾜｶﾐｷｮｳﾏﾁ,9521522,15
相川紙屋町,ｱｲｶﾜｶﾐﾔﾏﾁ,9521507,15
相川北沢町,ｱｲｶﾜｷﾀｻﾞﾜﾏﾁ,9521539,15
