another_name,another_name_kana,post_id,prefecture_id
,,0000000,31
赤坂,ｱｶｻﾞｶ,6893111,31
赤松,ｱｶﾏﾂ,6893319,31
稲光,ｲﾅﾐﾂ,6893334,31
今在家,ｲﾏｻﾞｲｹ,6893314,31
石井垣,ｲﾜｲｶﾞｷ,6893102,31
上野,ｳｴﾉ,6893302,31
上市,ｳﾜｲﾁ,6893124,31
大塚,ｵｵﾂｶ,6893226,31
岡,ｵｶ,6893121,31
押平,ｵｼﾅﾗ,6893225,31
加茂,ｶﾓ,6893214,31
神原,ｶﾝﾊﾞﾗ,6893305,31
清原,ｷﾖﾊﾗ,6893308,31
国信,ｸﾆﾉﾌﾞ,6893309,31
倉谷,ｸﾗﾀﾞﾆ,6893202,31
小竹,ｺﾀﾞｹ,6893203,31
古御堂,ｺﾐﾄﾞｳ,6893222,31
栄田,ｻｶｴﾀﾞ,6893115,31
佐摩,ｻﾏ,6893313,31
塩津,ｼｵﾂ,6893122,31
下市,ｼﾓｲﾁ,6893125,31
下甲,ｼﾓｷﾞ,6893112,31
荘田,ｼｮｳﾀﾞ,6893323,31
上万,ｼﾞｮｳﾏﾝ,6893335,31
末長,ｽｴﾅｶﾞ,6893332,31
末吉,ｽｴﾖｼ,6893331,31
住吉,ｽﾐﾖｼ,6893123,31
退休寺,ﾀｲｷｭｳｼﾞ,6893133,31
大山,ﾀﾞｲｾﾝ,6893318,31
高田,ﾀｶﾀ,6893224,31
高橋,ﾀｶﾊｼ,6893134,31
鈑戸,ﾀﾀﾗﾄﾞ,6893317,31
田中,ﾀﾅｶ,6893114,31
茶畑,ﾁｬﾊﾞﾀ,6893223,31
潮音寺,ﾁｮｳｵﾝｼﾞ,6893101,31
束積,ﾂｶﾂﾞﾐ,6893105,31
唐王,ﾄｳﾉｳ,6893333,31
所子,ﾄｺﾛｺﾞ,6893303,31
殿河内,ﾄﾉｶﾞﾜﾁ,6893135,31
富岡,ﾄﾐｵｶ,6893325,31
富長,ﾄﾐﾅｶﾞ,6893221,31
豊成,ﾄﾖｼｹﾞ,6893201,31
豊房,ﾄﾖﾌｻ,6893316,31
長田,ﾅｶﾞﾀ,6893322,31
中高,ﾅｶﾀﾞｶ,6893306,31
長野,ﾅｶﾞﾉ,6893136,31
名和,ﾅﾜ,6893212,31
西坪,ﾆｼﾂﾎﾞ,6893205,31
野田,ﾉﾀﾞ,6893307,31
羽田井,ﾊﾀｲ,6893106,31
東坪,ﾋｶﾞｼﾂﾎﾞ,6893204,31
樋口,ﾋﾉｸﾁ,6893103,31
平,ﾋﾗ,6893321,31
平木,ﾋﾗｷﾞ,6893304,31
平田,ﾋﾗﾀﾞ,6893336,31
福尾,ﾌｸｵ,6893301,31
坊領,ﾎﾞｳﾘｮｳ,6893312,31
前,ﾏｴ,6893315,31
松河原,ﾏﾂｶﾞﾜﾗ,6893132,31
御来屋,ﾐｸﾘﾔ,6893211,31
御崎,ﾐｻｷ,6893113,31
宮内,ﾐﾔｳﾁ,6893311,31
妻木,ﾑｷ,6893324,31
門前,ﾓﾝｾﾞﾝ,6893213,31
八重,ﾔｴ,6893104,31
保田,ﾔｽﾀﾞ,6893327,31
安原,ﾔｽﾊﾗ,6893326,31
