another_name,another_name_kana,post_id,prefecture_id
,,0000000,37
青葉町,ｱｵﾊﾞﾁｮｳ,7620037,37
旭町,ｱｻﾋﾁｮｳ,7620006,37
池園町,ｲｹｿﾞﾉﾁｮｳ,7620035,37
入船町,ｲﾘﾌﾈﾁｮｳ,7620002,37
岩黒,ｲﾜｸﾛ,7620072,37
江尻町,ｴｼﾞﾘﾁｮｳ,7620011,37
王越町木沢,ｵｳｺﾞｼﾁｮｳｷｻﾜ,7620014,37
王越町乃生,ｵｳｺﾞｼﾁｮｳﾉｳ,7620013,37
青海町,ｵｳﾐﾁｮｳ,7620016,37
大池町,ｵｵｲｹﾁｮｳ,7620027,37
大屋冨町,ｵｵﾔﾌﾞﾁｮｳ,7620015,37
沖の浜,ｵｷﾉﾊﾏ,7620052,37
笠指町,ｶｻﾞｼﾁｮｳ,7620038,37
加茂町甲,ｶﾓﾁｮｳｺｳ,7620022,37
加茂町甲氏部,ｶﾓﾁｮｳｺｳｳｼﾞﾍﾞ,7620022,37
加茂町,ｶﾓﾁｮｳ,7620023,37
川崎町,ｶﾜｻｷﾁｮｳ,7620062,37
川津町,ｶﾜﾂﾁｮｳ,7620025,37
神谷町,ｶﾝﾀﾞﾆﾁｮｳ,7620018,37
京町,ｷｮｳﾏﾁ,7620001,37
久米町,ｸﾒﾁｮｳ,7620003,37
寿町,ｺﾄﾌﾞｷﾁｮｳ,7620043,37
御供所町,ｺﾞﾌﾞｼｮﾁｮｳ,7620051,37
駒止町,ｺﾏﾄﾞﾒﾁｮｳ,7620032,37
小山町,ｺﾔﾏﾁｮｳ,7620026,37
坂出町,ｻｶｲﾃﾞﾁｮｳ,7620061,37
沙弥島,ｼｬﾐｼﾞﾏ,7620066,37
昭和町,ｼｮｳﾜﾁｮｳ,7620004,37
白金町,ｼﾛｶﾞﾈﾁｮｳ,7620042,37
新浜町,ｼﾝﾊﾏﾁｮｳ,7620047,37
瀬居町,ｾｲﾁｮｳ,7620067,37
高屋町,ﾀｶﾔﾁｮｳ,7620017,37
谷町,ﾀﾆﾏﾁ,7620033,37
築港町,ﾁｯｺｳﾁｮｳ,7620055,37
中央町,ﾁｭｳｵｳﾁｮｳ,7620056,37
常盤町,ﾄｷﾜﾁｮｳ,7620058,37
西大浜南,ﾆｼｵｵﾊﾏﾐﾅﾐ,7620054,37
西大浜北,ﾆｼｵｵﾊﾏｷﾀ,7620053,37
西庄町,ﾆｼﾉｼｮｳﾁｮｳ,7620021,37
八幡町,ﾊﾁﾏﾝﾁｮｳ,7620041,37
花町,ﾊﾅﾏﾁ,7620036,37
林田町,ﾊﾔｼﾀﾞﾁｮｳ,7620012,37
番の州公園,ﾊﾞﾝﾉｽｺｳｴﾝ,7620063,37
番の州町,ﾊﾞﾝﾉｽﾁｮｳ,7620064,37
番の州緑町,ﾊﾞﾝﾉｽﾐﾄﾞﾘﾁｮｳ,7620065,37
櫃石,ﾋﾂｲｼ,7620073,37
福江町,ﾌｸｴﾁｮｳ,7620034,37
富士見町,ﾌｼﾞﾐﾁｮｳ,7620046,37
府中町,ﾌﾁｭｳﾁｮｳ,7620024,37
文京町,ﾌﾞﾝｷｮｳﾁｮｳ,7620031,37
本町,ﾎﾝﾏﾁ,7620044,37
宮下町,ﾐﾔｼﾀﾁｮｳ,7620057,37
室町,ﾑﾛﾏﾁ,7620007,37
元町,ﾓﾄﾏﾁ,7620045,37
横津町,ﾖｺﾂﾞﾁｮｳ,7620005,37
与島町,ﾖｼﾏﾁｮｳ,7620071,37
