another_name,another_name_kana,post_id,prefecture_id
,,0000000,31
相生町,ｱｲｵｲﾁｮｳ,6840011,31
上道町,ｱｶﾞﾘﾐﾁﾁｮｳ,6840033,31
朝日町,ｱｻﾋﾏﾁ,6840013,31
栄町,ｴｲﾏﾁ,6840006,31
京町,ｷｮｳﾏﾁ,6840023,31
幸神町,ｺｳｼﾞﾝﾁｮｳ,6840056,31
小篠津町,ｺｼﾉﾂﾞﾁｮｳ,6840053,31
佐斐神町,ｻｲﾉｶﾐﾁｮｳ,6840055,31
財ノ木町,ｻｲﾉｷﾁｮｳ,6840054,31
三軒屋町,ｻﾝｹﾞﾝﾔﾁｮｳ,6840064,31
潮見町,ｼｵﾐﾁｮｳ,6840074,31
東雲町,ｼﾉﾉﾒﾁｮｳ,6840015,31
芝町,ｼﾊﾞﾁｮｳ,6840066,31
清水町,ｼﾐｽﾞﾁｮｳ,6840001,31
昭和町,ｼｮｳﾜﾏﾁ,6840034,31
末広町,ｽｴﾋﾛﾁｮｳ,6840026,31
誠道町,ｾｲﾄﾞｳﾁｮｳ,6840063,31
大正町,ﾀｲｼｮｳﾏﾁ,6840004,31
高松町,ﾀｶﾏﾂﾁｮｳ,6840045,31
竹内団地,ﾀｹﾉｳﾁﾀﾞﾝﾁ,6840046,31
竹内町,ﾀｹﾉｳﾁﾁｮｳ,6840043,31
外江町,ﾄﾉｴﾁｮｳ,6840071,31
中海干拓地,ﾅｶｳﾐｶﾝﾀｸﾁ,6840073,31
中野町,ﾅｶﾉﾁｮｳ,6840041,31
中町,ﾅｶﾏﾁ,6840012,31
新屋町,ﾆｲﾔﾁｮｳ,6840051,31
西工業団地,ﾆｼｺｳｷﾞｮｳﾀﾞﾝﾁ,6840075,31
入船町,ﾆｭｳｾﾝﾁｮｳ,6840014,31
蓮池町,ﾊｽｲｹﾁｮｳ,6840062,31
花町,ﾊﾅﾏﾁ,6840016,31
馬場崎町,ﾊﾞﾊﾞｻｷﾁｮｳ,6840021,31
浜ノ町,ﾊﾏﾉﾁｮｳ,6840003,31
東本町,ﾋｶﾞｼﾎﾝﾏﾁ,6840027,31
日ノ出町,ﾋﾉﾃﾞﾁｮｳ,6840024,31
福定町,ﾌｸｻﾀﾞﾁｮｳ,6840042,31
本町,ﾎﾝﾏﾁ,6840025,31
松ケ枝町,ﾏﾂｶﾞｴﾁｮｳ,6840005,31
岬町,ﾐｻｷﾁｮｳ,6840017,31
湊町,ﾐﾅﾄﾏﾁ,6840031,31
美保町,ﾐﾎﾁｮｳ,6840044,31
麦垣町,ﾑｷﾞｶｷﾁｮｳ,6840052,31
明治町,ﾒｲｼﾞﾏﾁ,6840022,31
元町,ﾓﾄﾏﾁ,6840032,31
森岡町,ﾓﾘｵｶﾁｮｳ,6840065,31
弥生町,ﾔﾖｲﾁｮｳ,6840002,31
夕日ケ丘,ﾕｳﾋｶﾞｵｶ,6840076,31
米川町,ﾖﾈｶﾞﾜﾁｮｳ,6840061,31
渡町,ﾜﾀﾘﾁｮｳ,6840072,31
