another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
奥本町,ｵｸﾓﾄﾁｮｳ,5918007,27
金岡町,ｶﾅｵｶﾁｮｳ,5918022,27
北長尾町,ｷﾀﾅｶﾞｵﾁｮｳ,5918043,27
北花田町,ｷﾀﾊﾅﾀﾞﾁｮｳ,5918002,27
蔵前町,ｸﾗﾏｴﾁｮｳ,5918004,27
黒土町,ｸﾛﾂﾁﾁｮｳ,5918024,27
東雲東町,ｼﾉﾉﾒﾋｶﾞｼﾏﾁ,5918041,27
新金岡町,ｼﾝｶﾅｵｶﾁｮｳ,5918021,27
新堀町,ｼﾝﾎﾞﾘﾁｮｳ,5918005,27
船堂町,ｾﾝﾄﾞｳﾁｮｳ,5918003,27
常磐町,ﾄｷﾜﾁｮｳ,5918001,27
長曽根町,ﾅｶﾞｿﾈﾁｮｳ,5918025,27
中長尾町,ﾅｶﾅｶﾞｵﾁｮｳ,5918044,27
中村町,ﾅｶﾑﾗﾁｮｳ,5918012,27
中百舌鳥町,ﾅｶﾓｽﾞﾁｮｳ,5918023,27
野遠町,ﾉﾄｳﾁｮｳ,5918013,27
東浅香山町,ﾋｶﾞｼｱｻｶﾔﾏﾁｮｳ,5918008,27
東上野芝町,ﾋｶﾞｼｳｴﾉｼﾊﾞﾁｮｳ,5918035,27
東三国ケ丘町,ﾋｶﾞｼﾐｸﾆｶﾞｵｶﾁｮｳ,5918046,27
大豆塚町,ﾏﾒﾂﾞｶﾁｮｳ,5918042,27
南長尾町,ﾐﾅﾐﾅｶﾞｵﾁｮｳ,5918045,27
南花田町,ﾐﾅﾐﾊﾅﾀﾞﾁｮｳ,5918011,27
宮本町,ﾐﾔﾓﾄﾁｮｳ,5918006,27
百舌鳥赤畑町,ﾓｽﾞｱｶﾊﾀﾁｮｳ,5918037,27
百舌鳥梅北町,ﾓｽﾞｳﾒｷﾀﾁｮｳ,5918031,27
百舌鳥梅町,ﾓｽﾞｳﾒﾏﾁ,5918032,27
百舌鳥西之町,ﾓｽﾞﾆｼﾉﾁｮｳ,5918033,27
百舌鳥本町,ﾓｽﾞﾎﾝﾏﾁ,5918036,27
百舌鳥陵南町,ﾓｽﾞﾘｮｳﾅﾝﾁｮｳ,5918034,27
八下北,ﾔｼﾓｷﾀ,5918014,27
