another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
浅香山町,ｱｻｶﾔﾏﾁｮｳ,5900012,27
旭ケ丘北町,ｱｻﾋｶﾞｵｶｷﾀﾏﾁ,5900809,27
旭ケ丘中町,ｱｻﾋｶﾞｵｶﾅｶﾏﾁ,5900808,27
旭ケ丘南町,ｱｻﾋｶﾞｵｶﾐﾅﾐﾏﾁ,5900807,27
旭通,ｱｻﾋﾄﾞｵﾘ,5900055,27
綾之町西,ｱﾔﾉﾁｮｳﾆｼ,5900926,27
綾之町東,ｱﾔﾉﾁｮｳﾋｶﾞｼ,5900925,27
石津北町,ｲｼﾂﾞｷﾀﾏﾁ,5900823,27
石津町,ｲｼﾂﾞﾁｮｳ,5900814,27
一条通,ｲﾁｼﾞｮｳﾄﾞｵﾘ,5900048,27
市之町西,ｲﾁﾉﾁｮｳﾆｼ,5900951,27
市之町東,ｲﾁﾉﾁｮｳﾋｶﾞｼ,5900952,27
今池町,ｲﾏｲｹﾁｮｳ,5900018,27
永代町,ｴｲﾀｲﾁｮｳ,5900065,27
榎元町,ｴﾉｷﾓﾄﾏﾁ,5900027,27
戎島町,ｴﾋﾞｽｼﾞﾏﾁｮｳ,5900985,27
戎之町西,ｴﾋﾞｽﾉﾁｮｳﾆｼ,5900948,27
戎之町東,ｴﾋﾞｽﾉﾁｮｳﾋｶﾞｼ,5900945,27
老松町,ｵｲﾏﾂﾁｮｳ,5900824,27
大町西,ｵｵﾁｮｳﾆｼ,5900959,27
大町東,ｵｵﾁｮｳﾋｶﾞｼ,5900954,27
大浜北町,ｵｵﾊﾏｷﾀﾏﾁ,5900974,27
大浜中町,ｵｵﾊﾏﾅｶﾏﾁ,5900975,27
大浜西町,ｵｵﾊﾏﾆｼﾏﾁ,5900977,27
大浜南町,ｵｵﾊﾏﾐﾅﾐﾏﾁ,5900976,27
翁橋町,ｵｷﾅﾊﾞｼﾁｮｳ,5900061,27
遠里小野町,ｵﾘｵﾉﾁｮｳ,5900001,27
海山町,ｶｲｻﾝﾁｮｳ,5900982,27
甲斐町西,ｶｲﾉﾁｮｳﾆｼ,5900950,27
甲斐町東,ｶｲﾉﾁｮｳﾋｶﾞｼ,5900953,27
香ケ丘町,ｶｵﾘｶﾞｵｶﾁｮｳ,5900011,27
柏木町,ｶｼﾜｷﾞﾁｮｳ,5900837,27
春日通,ｶｽｶﾞﾄﾞｵﾘ,5900827,27
霞ケ丘町,ｶｽﾐｶﾞｵｶﾁｮｳ,5900812,27
神石市之町,ｶﾐｲｼｲﾁﾉﾁｮｳ,5900813,27
神南辺町,ｶﾝﾅﾍﾞﾁｮｳ,5900984,27
北瓦町,ｷﾀｶﾜﾗﾏﾁ,5900076,27
北向陽町,ｷﾀｺｳﾖｳﾁｮｳ,5900071,27
