another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
粟生田,ｱｵﾀ,3500239,11
青木,ｱｵｷ,3500207,11
赤尾,ｱｶｵ,3500201,11
浅羽,ｱｻﾊﾞ,3500238,11
浅羽野,ｱｻﾊﾞﾉ,3500237,11
芦山町,ｱｼﾔﾏﾁｮｳ,3500273,11
厚川,ｱﾂｶﾞﾜ,3500242,11
石井,ｲｼｲ,3500212,11
伊豆の山町,ｲｽﾞﾉﾔﾏﾁｮｳ,3500275,11
泉町,ｲｽﾞﾐﾁｮｳ,3500231,11
今西,ｲﾏﾆｼ,3500267,11
欠ノ上,ｶｹﾉｳｴ,3500254,11
片柳,ｶﾀﾔﾅｷﾞ,3500219,11
片柳新田,ｶﾀﾔﾅｷﾞｼﾝﾃﾞﾝ,3500218,11
金田,ｶﾈﾀﾞ,3500268,11
鎌倉町,ｶﾏｸﾗﾁｮｳ,3500221,11
上吉田,ｶﾐﾖｼﾀﾞ,3500271,11
萱方,ｶﾔｶﾞﾀ,3500243,11
北浅羽,ｷﾀｱｻﾊﾞ,3500266,11
北大塚,ｷﾀｵｵﾂｶ,3500253,11
北峰,ｷﾀﾐﾈ,3500258,11
けやき台,ｹﾔｷﾀﾞｲ,3500248,11
紺屋,ｺｳﾔ,3500204,11
小沼,ｺﾇﾏ,3500202,11
小山,ｺﾔﾏ,3500257,11
栄,ｻｶｴ,3500213,11
坂戸,ｻｶﾄﾞ,3500217,11
沢木,ｻﾜｷ,3500261,11
三光町,ｻﾝｺｳﾁｮｳ,3500235,11
島田,ｼﾏﾀﾞ,3500211,11
清水町,ｼﾐｽﾞﾁｮｳ,3500222,11
成願寺,ｼﾞｮｳｶﾞﾝｼﾞ,3500255,11
新ケ谷,ｼﾝｶﾞﾔ,3500278,11
末広町,ｽｴﾋﾛﾁｮｳ,3500272,11
関間,ｾｷﾏ,3500215,11
善能寺,ｾﾞﾝﾉｳｼﾞ,3500256,11
竹之内,ﾀｹﾉｳﾁ,3500264,11
多和目,ﾀﾜﾒ,3500246,11
千代田,ﾁﾖﾀﾞ,3500214,11
塚越,ﾂｶｺﾞｼ,3500209,11
塚崎,ﾂｶｻｷ,3500251,11
鶴舞,ﾂﾙﾏｲ,3500241,11
戸口,ﾄｸﾞﾁ,3500276,11
戸宮,ﾄﾐﾔ,3500208,11
中小坂,ﾅｶｵｻｶ,3500206,11
中里,ﾅｶｻﾞﾄ,3500252,11
仲町,ﾅｶﾁｮｳ,3500227,11
中富町,ﾅｶﾄﾐﾁｮｳ,3500232,11
長岡,ﾅｶﾞｵｶ,3500265,11
新堀,ﾆｲﾎﾘ,3500262,11
西インター,ﾆｼｲﾝﾀｰ,3500259,11
西坂戸,ﾆｼｻｶﾄﾞ,3500247,11
にっさい花みず木,ﾆｯｻｲﾊﾅﾐｽﾞｷ,3500269,11
花影町,ﾊﾅｶｹﾞﾁｮｳ,3500236,11
東坂戸,ﾋｶﾞｼｻｶﾄﾞ,3500205,11
東和田,ﾋｶﾞｼﾜﾀﾞ,3500277,11
日の出町,ﾋﾉﾃﾞﾁｮｳ,3500225,11
堀込,ﾎﾘｺﾞﾒ,3500263,11
本町,ﾎﾝﾁｮｳ,3500226,11
溝端町,ﾐｿﾞﾊﾀﾁｮｳ,3500274,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3500234,11
南町,ﾐﾅﾐﾁｮｳ,3500233,11
元町,ﾓﾄﾁｮｳ,3500228,11
森戸,ﾓﾘﾄﾞ,3500244,11
薬師町,ﾔｸｼﾁｮｳ,3500229,11
柳町,ﾔﾅｷﾞﾁｮｳ,3500216,11
八幡,ﾔﾊﾀ,3500223,11
山田町,ﾔﾏﾀﾁｮｳ,3500224,11
横沼,ﾖｺﾇﾏ,3500203,11
四日市場,ﾖｯｶｲﾁﾊﾞ,3500245,11
