another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
新井,ｱﾗｲ,2891707,12
市野原,ｲﾁﾉﾊﾗ,2891706,12
牛熊,ｳｼｸﾏ,2891742,12
姥山,ｳﾊﾞﾔﾏ,2891752,12
小川台,ｵｶﾞﾜﾀﾞｲ,2891711,12
於幾,ｵｷ,2891748,12
尾垂,ｵﾀﾞﾚ,2891725,12
小堤,ｵﾝﾂﾞﾐ,2891745,12
上原,ｶﾝﾊﾞﾗ,2891723,12
北清水,ｷﾀｼﾐｽﾞ,2891734,12
木戸,ｷﾄﾞ,2891726,12
木戸台,ｷﾄﾞﾀﾞｲ,2891744,12
栗山,ｸﾘﾔﾏ,2891733,12
古川,ｺｶﾜ,2891731,12
小田部,ｺﾀﾍﾞ,2891713,12
坂田,ｻｶﾀ,2891754,12
坂田池,ｻｶﾀｲｹ,2891755,12
篠本,ｻｻﾓﾄ,2891701,12
篠本根切,ｻｻﾓﾄﾈｷﾞﾘ,2891708,12
芝崎,ｼﾊﾞｻｷ,2891715,12
芝崎南,ｼﾊﾞｻｷﾐﾅﾐ,2891716,12
曽根合,ｿﾈｱｲ,2891747,12
台,ﾀﾞｲ,2891712,12
寺方,ﾃﾗｶﾀ,2891746,12
遠山,ﾄｵﾔﾏ,2891757,12
富下,ﾄﾐｼﾀ,2891704,12
取立,ﾄﾘﾀﾃ,2891753,12
鳥喰上,ﾄﾘﾊﾐｶﾐ,2891738,12
鳥喰下,ﾄﾘﾊﾐｼﾓ,2891737,12
鳥喰新田,ﾄﾘﾊﾐｼﾝﾃﾞﾝ,2891739,12
長倉,ﾅｶﾞｸﾗ,2891756,12
中台,ﾅｶﾀﾞｲ,2891741,12
長山台,ﾅｶﾞﾔﾏﾀﾞｲ,2891751,12
新島,ﾆｲｼﾞﾏ,2891736,12
母子,ﾊﾊｺ,2891714,12
原方,ﾊﾗｶﾀ,2891724,12
二又,ﾌﾀﾏﾀ,2891702,12
傍示戸,ﾎｳｼﾞﾄﾞ,2891703,12
宝米,ﾎｳﾒ,2891705,12
宮川,ﾐﾔｶﾞﾜ,2891727,12
虫生,ﾑｼｮｳ,2891717,12
目篠,ﾒｼﾞﾉ,2891722,12
屋形,ﾔｶﾀ,2891735,12
谷台,ﾔﾂﾀﾞｲ,2891743,12
谷中,ﾔﾅｶ,2891721,12
横芝,ﾖｺｼﾊﾞ,2891732,12
両国新田,ﾘｮｳｺﾞｸｼﾝﾃﾞﾝ,2891749,12
