another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
相生町,ｱｲｵｲﾁｮｳ,3270023,9
会沢町,ｱｲｻﾜﾁｮｳ,3270511,9
赤坂町,ｱｶｻｶﾁｮｳ,3270004,9
赤見町,ｱｶﾐﾁｮｳ,3270104,9
秋山町,ｱｷﾔﾏﾁｮｳ,3270517,9
あくと町,ｱｸﾄﾁｮｳ,3270525,9
浅沼町,ｱｻﾇﾏﾁｮｳ,3270831,9
朝日町,ｱｻﾋﾁｮｳ,3270011,9
鐙塚町,ｱﾌﾞﾂｶﾁｮｳ,3270815,9
飯田町,ｲｲﾀﾁｮｳ,3270825,9
伊賀町,ｲｶﾞﾁｮｳ,3270021,9
石塚町,ｲｼﾂﾞｶﾁｮｳ,3270103,9
出流原町,ｲｽﾞﾙﾊﾗﾁｮｳ,3270102,9
伊勢山町,ｲｾﾔﾏﾁｮｳ,3270817,9
犬伏上町,ｲﾇﾌﾞｼｶﾐﾁｮｳ,3270806,9
犬伏中町,ｲﾇﾌﾞｼﾅｶﾁｮｳ,3270805,9
犬伏下町,ｲﾇﾌﾞｼｼﾓﾁｮｳ,3270804,9
犬伏新町,ｲﾇﾌﾞｼｼﾝﾏﾁ,3270803,9
伊保内町,ｲﾎﾞｳﾁﾁｮｳ,3270034,9
岩崎町,ｲﾜｻﾞｷﾁｮｳ,3270307,9
植上町,ｳｴｶﾐﾁｮｳ,3270832,9
植下町,ｳｴｼﾓﾁｮｳ,3270835,9
植野町,ｳｴﾉﾁｮｳ,3270837,9
梅園町,ｳﾒｿﾞﾉﾁｮｳ,3270322,9
大蔵町,ｵｵｸﾗﾁｮｳ,3270012,9
大栗町,ｵｵｸﾞﾘﾁｮｳ,3270807,9
大古屋町,ｵｵｺﾞﾔﾁｮｳ,3270033,9
大橋町,ｵｵﾊｼﾁｮｳ,3270003,9
小見町,ｵﾐﾁｮｳ,3270316,9
柿平町,ｶｷﾀﾞｲﾗﾁｮｳ,3270515,9
嘉多山町,ｶﾀﾔﾏﾁｮｳ,3270523,9
