another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青葉町,ｱｵﾊﾞﾁｮｳ,0040021,1
厚別北一条,ｱﾂﾍﾞﾂｷﾀ1ｼﾞｮｳ,0040071,1
厚別北二条,ｱﾂﾍﾞﾂｷﾀ2ｼﾞｮｳ,0040072,1
厚別北三条,ｱﾂﾍﾞﾂｷﾀ3ｼﾞｮｳ,0040073,1
厚別北四条,ｱﾂﾍﾞﾂｷﾀ4ｼﾞｮｳ,0040074,1
厚別北五条,ｱﾂﾍﾞﾂｷﾀ5ｼﾞｮｳ,0040075,1
厚別北六条,ｱﾂﾍﾞﾂｷﾀ6ｼﾞｮｳ,0040076,1
厚別中央一条,ｱﾂﾍﾞﾂﾁｭｳｵｳ1ｼﾞｮｳ,0040051,1
厚別中央二条,ｱﾂﾍﾞﾂﾁｭｳｵｳ2ｼﾞｮｳ,0040052,1
厚別中央三条,ｱﾂﾍﾞﾂﾁｭｳｵｳ3ｼﾞｮｳ,0040053,1
厚別中央四条,ｱﾂﾍﾞﾂﾁｭｳｵｳ4ｼﾞｮｳ,0040054,1
厚別中央五条,ｱﾂﾍﾞﾂﾁｭｳｵｳ5ｼﾞｮｳ,0040055,1
厚別町上野幌,ｱﾂﾍﾞﾂﾁｮｳｶﾐﾉｯﾎﾟﾛ,0040039,1
厚別町下野幌,ｱﾂﾍﾞﾂﾁｮｳｼﾓﾉｯﾎﾟﾛ,0040007,1
厚別町小野幌,ｱﾂﾍﾞﾂﾁｮｳｺﾉｯﾎﾟﾛ,0040006,1
厚別町山本,ｱﾂﾍﾞﾂﾁｮｳﾔﾏﾓﾄ,0040069,1
厚別西,ｱﾂﾍﾞﾂﾆｼ,0040068,1
厚別西一条,ｱﾂﾍﾞﾂﾆｼ1ｼﾞｮｳ,0040061,1
厚別西二条,ｱﾂﾍﾞﾂﾆｼ2ｼﾞｮｳ,0040062,1
厚別西三条,ｱﾂﾍﾞﾂﾆｼ3ｼﾞｮｳ,0040063,1
厚別西四条,ｱﾂﾍﾞﾂﾆｼ4ｼﾞｮｳ,0040064,1
厚別西五条,ｱﾂﾍﾞﾂﾆｼ5ｼﾞｮｳ,0040065,1
厚別東一条,ｱﾂﾍﾞﾂﾋｶﾞｼ1ｼﾞｮｳ,0040001,1
厚別東二条,ｱﾂﾍﾞﾂﾋｶﾞｼ2ｼﾞｮｳ,0040002,1
厚別東三条,ｱﾂﾍﾞﾂﾋｶﾞｼ3ｼﾞｮｳ,0040003,1
厚別東四条,ｱﾂﾍﾞﾂﾋｶﾞｼ4ｼﾞｮｳ,0040004,1
厚別東五条,ｱﾂﾍﾞﾂﾋｶﾞｼ5ｼﾞｮｳ,0040005,1
厚別南,ｱﾂﾍﾞﾂﾐﾅﾐ,0040022,1
大谷地東,ｵｵﾔﾁﾋｶﾞｼ,0040041,1
大谷地西,ｵｵﾔﾁﾆｼ,0040042,1
上野幌一条,ｶﾐﾉｯﾎﾟﾛ1ｼﾞｮｳ,0040031,1
上野幌二条,ｶﾐﾉｯﾎﾟﾛ2ｼﾞｮｳ,0040032,1
上野幌三条,ｶﾐﾉｯﾎﾟﾛ3ｼﾞｮｳ,0040033,1
下野幌テクノパーク,ｼﾓﾉｯﾎﾟﾛﾃｸﾉﾊﾟｰｸ,0040015,1
もみじ台東,ﾓﾐｼﾞﾀﾞｲﾋｶﾞｼ,0040011,1
もみじ台西,ﾓﾐｼﾞﾀﾞｲﾆｼ,0040013,1
もみじ台南,ﾓﾐｼﾞﾀﾞｲﾐﾅﾐ,0040012,1
もみじ台北,ﾓﾐｼﾞﾀﾞｲｷﾀ,0040014,1
