another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
琴似一条,ｺﾄﾆ1ｼﾞｮｳ,0630811,1
琴似二条,ｺﾄﾆ2ｼﾞｮｳ,0630812,1
琴似三条,ｺﾄﾆ3ｼﾞｮｳ,0630813,1
琴似四条,ｺﾄﾆ4ｼﾞｮｳ,0630814,1
小別沢,ｺﾍﾞﾂｻﾞﾜ,0630011,1
西野,ﾆｼﾉ,0630049,1
西野一条,ﾆｼﾉ1ｼﾞｮｳ,0630031,1
西野二条,ﾆｼﾉ2ｼﾞｮｳ,0630032,1
西野三条,ﾆｼﾉ3ｼﾞｮｳ,0630033,1
西野四条,ﾆｼﾉ4ｼﾞｮｳ,0630034,1
西野五条,ﾆｼﾉ5ｼﾞｮｳ,0630035,1
西野六条,ﾆｼﾉ6ｼﾞｮｳ,0630036,1
西野七条,ﾆｼﾉ7ｼﾞｮｳ,0630037,1
西野八条,ﾆｼﾉ8ｼﾞｮｳ,0630038,1
西野九条,ﾆｼﾉ9ｼﾞｮｳ,0630039,1
西野十条,ﾆｼﾉ10ｼﾞｮｳ,0630040,1
西野十一条,ﾆｼﾉ11ｼﾞｮｳ,0630041,1
西野十二条,ﾆｼﾉ12ｼﾞｮｳ,0630042,1
西野十三条,ﾆｼﾉ13ｼﾞｮｳ,0630043,1
西野十四条,ﾆｼﾉ14ｼﾞｮｳ,0630044,1
西町南,ﾆｼﾏﾁﾐﾅﾐ,0630062,1
西町北,ﾆｼﾏﾁｷﾀ,0630061,1
二十四軒一条,ﾆｼﾞｭｳﾖﾝｹﾝ1ｼﾞｮｳ,0630801,1
二十四軒二条,ﾆｼﾞｭｳﾖﾝｹﾝ2ｼﾞｮｳ,0630802,1
二十四軒三条,ﾆｼﾞｭｳﾖﾝｹﾝ3ｼﾞｮｳ,0630803,1
二十四軒四条,ﾆｼﾞｭｳﾖﾝｹﾝ4ｼﾞｮｳ,0630804,1
八軒一条東,ﾊﾁｹﾝ1ｼﾞｮｳﾋｶﾞｼ,0630861,1
八軒一条西,ﾊﾁｹﾝ1ｼﾞｮｳﾆｼ,0630841,1
八軒二条東,ﾊﾁｹﾝ2ｼﾞｮｳﾋｶﾞｼ,0630862,1
八軒二条西,ﾊﾁｹﾝ2ｼﾞｮｳﾆｼ,0630842,1
八軒三条東,ﾊﾁｹﾝ3ｼﾞｮｳﾋｶﾞｼ,0630863,1
八軒三条西,ﾊﾁｹﾝ3ｼﾞｮｳﾆｼ,0630843,1
八軒四条東,ﾊﾁｹﾝ4ｼﾞｮｳﾋｶﾞｼ,0630864,1
八軒四条西,ﾊﾁｹﾝ4ｼﾞｮｳﾆｼ,0630844,1
八軒五条東,ﾊﾁｹﾝ5ｼﾞｮｳﾋｶﾞｼ,0630865,1
八軒五条西,ﾊﾁｹﾝ5ｼﾞｮｳﾆｼ,0630845,1
八軒六条東,ﾊﾁｹﾝ6ｼﾞｮｳﾋｶﾞｼ,0630866,1
八軒六条西,ﾊﾁｹﾝ6ｼﾞｮｳﾆｼ,0630846,1
