another_name,another_name_kana,post_id,prefecture_id
,,0000000,46
青山町,ｱｵﾔﾏﾁｮｳ,8950044,46
天辰町,ｱﾏﾀﾂﾁｮｳ,8950011,46
入来町浦之名,ｲﾘｷﾁｮｳｳﾗﾉﾐｮｳ,8951402,46
入来町副田,ｲﾘｷﾁｮｳｿｴﾀﾞ,8951401,46
運動公園町,ｳﾝﾄﾞｳｺｳｴﾝﾁｮｳ,0000000,46
網津町,ｵｳﾂﾞﾁｮｳ,8991925,46
大小路町,ｵｵｼｮｳｼﾞﾁｮｳ,8950076,46
尾白江町,ｵｼﾞﾛｴﾁｮｳ,8950035,46
鹿島町藺牟田,ｶｼﾏﾁｮｳｲﾑﾀ,8961301,46
勝目町,ｶﾁﾒﾁｮｳ,8950031,46
上甑町江石,ｶﾐｺｼｷﾁｮｳｴｲｼ,8961203,46
上甑町小島,ｶﾐｺｼｷﾁｮｳｵｼﾏ,8961204,46
上甑町桑之浦,ｶﾐｺｼｷﾁｮｳｸﾜﾉｳﾗ,8961206,46
上甑町瀬上,ｶﾐｺｼｷﾁｮｳｾｶﾞﾐ,8961205,46
上甑町平良,ｶﾐｺｼｷﾁｮｳﾀｲﾗ,8961281,46
上甑町中甑,ｶﾐｺｼｷﾁｮｳﾅｶｺｼｷ,8961201,46
上甑町中野,ｶﾐｺｼｷﾁｮｳﾅｶﾉ,8961202,46
上川内町,ｶﾐｾﾝﾀﾞｲﾁｮｳ,8950067,46
川永野町,ｶﾜﾅｶﾞﾉﾁｮｳ,8950033,46
神田町,ｶﾝﾀﾞﾁｮｳ,8950052,46
久住町,ｸｼﾞｭｳﾁｮｳ,8950004,46
楠元町,ｸｽﾓﾄﾁｮｳ,8950002,46
隈之城町,ｸﾏﾉｼﾞｮｳﾁｮｳ,8950041,46
久見崎町,ｸﾞﾐｻｷﾁｮｳ,8950132,46
祁答院町藺牟田,ｹﾄﾞｳｲﾝﾁｮｳｲﾑﾀ,8951502,46
祁答院町上手,ｹﾄﾞｳｲﾝﾁｮｳｶﾐﾃﾞ,8951503,46
祁答院町黒木,ｹﾄﾞｳｲﾝﾁｮｳｸﾛｷ,8951504,46
祁答院町下手,ｹﾄﾞｳｲﾝﾁｮｳｼﾓﾃﾞ,8951501,46
国分寺町,ｺｸﾌﾞﾝｼﾞﾁｮｳ,8950073,46
小倉町,ｺｸﾗﾁｮｳ,8991922,46
五代町,ｺﾞﾀﾞｲﾁｮｳ,8950066,46
木場茶屋町,ｺﾊﾞﾝﾁｬﾔﾁｮｳ,8950034,46
御陵下町,ｺﾞﾘｮｳｼﾀﾁｮｳ,8950061,46
里町里,ｻﾄﾁｮｳｻﾄ,8961101,46
下甑町青瀬,ｼﾓｺｼｷﾁｮｳｱｵｾ,8961521,46
下甑町片野浦,ｼﾓｺｼｷﾁｮｳｶﾀﾉｳﾗ,8961602,46
下甑町瀬々野浦,ｼﾓｺｼｷﾁｮｳｾｾﾉｳﾗ,0000000,46
下甑町瀬々野浦内川内,ｼﾓｺｼｷﾁｮｳｾｾﾉｳﾗｳﾁｶﾜｳﾁ,8961412,46
下甑町手打,ｼﾓｺｼｷﾁｮｳﾃｳﾁ,8961601,46
下甑町長浜,ｼﾓｺｼｷﾁｮｳﾅｶﾞﾊﾏ,8961411,46
城上町,ｼﾞｮｳｶﾐﾁｮｳ,8950213,46
白浜町,ｼﾗﾊﾏﾁｮｳ,8950001,46
白和町,ｼﾗﾜﾁｮｳ,8950022,46
大王町,ﾀﾞｲｵｳﾁｮｳ,8950062,46
田海町,ﾀｳﾐﾁｮｳ,8950071,46
高江町,ﾀｶｴﾁｮｳ,8950131,46
高城町,ﾀｷﾁｮｳ,8950211,46
田崎町,ﾀｻｷﾁｮｳ,8950006,46
中郷,ﾁｭｳｺﾞｳ,8950072,46
中郷町,ﾁｭｳｺﾞｳﾁｮｳ,8950072,46
東郷町斧渕,ﾄｳｺﾞｳﾁｮｳｵﾉﾌﾞﾁ,8951106,46
東郷町宍野,ﾄｳｺﾞｳﾁｮｳｼｼﾉ,8951101,46
東郷町鳥丸,ﾄｳｺﾞｳﾁｮｳﾄﾘﾏﾙ,8951103,46
東郷町南瀬,ﾄｳｺﾞｳﾁｮｳﾉｳｾﾞ,8951105,46
東郷町藤川,ﾄｳｺﾞｳﾁｮｳﾌｼﾞｶﾜ,8951102,46
東郷町山田,ﾄｳｺﾞｳﾁｮｳﾔﾏﾀﾞ,8951104,46
鳥追町,ﾄﾘｵｲﾁｮｳ,8950024,46
永利町,ﾅｶﾞﾄｼﾁｮｳ,8950005,46
中福良町,ﾅｶﾌｸﾗﾁｮｳ,8950042,46
