another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青柳,ｱｵﾔｷﾞ,3501301,11
稲荷山,ｲﾅﾘﾔﾏ,3501324,11
入間川,ｲﾙﾏｶﾞﾜ,3501305,11
鵜ノ木,ｳﾉｷ,3501323,11
加佐志,ｶｻﾞｼ,3501314,11
柏原,ｶｼﾜﾊﾞﾗ,3501335,11
柏原新田,ｶｼﾜﾊﾞﾗｼﾝﾃﾞﾝ,3501336,11
上赤坂,ｶﾐｱｶｻｶ,3501313,11
上奥富,ｶﾐｵｸﾄﾞﾐ,3501333,11
上広瀬,ｶﾐﾋﾛｾ,3501321,11
祇園,ｷﾞｵﾝ,3501307,11
北入曽,ｷﾀｲﾘｿ,3501315,11
笹井,ｻｻｲ,3501327,11
狭山,ｻﾔﾏ,3501334,11
狭山台,ｻﾔﾏﾀﾞｲ,3501304,11
沢,ｻﾜ,3501303,11
下奥富,ｼﾓｵｸﾄﾞﾐ,3501332,11
下広瀬,ｼﾓﾋﾛｾ,3501322,11
新狭山,ｼﾝｻﾔﾏ,3501331,11
中央,ﾁｭｳｵｳ,3501308,11
つつじ野,ﾂﾂｼﾞﾉ,3501326,11
中新田,ﾅｶｼﾝﾃﾞﾝ,3501311,11
根岸,ﾈｷﾞｼ,3501325,11
東三ツ木,ﾋｶﾞｼﾐﾂｷﾞ,3501302,11
広瀬,ﾋﾛｾ,3501319,11
広瀬台,ﾋﾛｾﾀﾞｲ,3501328,11
広瀬東,ﾋﾛｾﾋｶﾞｼ,3501320,11
富士見,ﾌｼﾞﾐ,3501306,11
堀兼,ﾎﾘｶﾞﾈ,3501312,11
水野,ﾐｽﾞﾉ,3501317,11
南入曽,ﾐﾅﾐｲﾘｿ,3501316,11
