another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
庵,ｲｵﾘ,6795333,28
宇根,ｳﾈ,6795531,28
漆野,ｳﾙｼﾉ,6795221,28
円光寺,ｴﾝｺｳｼﾞ,6795642,28
円応寺,ｴﾝﾉｳｼﾞ,6795307,28
大垣内,ｵｵｶﾞｲﾁ,6795504,28
大木谷,ｵｵｷﾀﾞﾆ,6795314,28
大下り,ｵｵｻｶﾞﾘ,6795146,28
大酒,ｵｵｻﾞｹ,6795654,28
大畑,ｵｵﾊﾀ,6795145,28
大畠,ｵｵﾊﾞﾀｹ,6795319,28
大日山,ｵｵﾋﾞﾔﾏ,6795646,28
奥金近,ｵｸｶﾈﾁｶ,6795345,28
奥長谷,ｵｸﾅｶﾞﾀﾆ,6795344,28
奥海,ｵﾈﾐ,6795324,28
皆田,ｶｲﾀ,6795505,28
金屋,ｶﾅﾔ,6795513,28
上秋里,ｶﾐｱｷｻﾄ,6795644,28
上石井,ｶﾐｲｼｲ,6795322,28
上本郷,ｶﾐﾎﾝｺﾞｳ,6795131,28
上三河,ｶﾐﾐｶﾜ,6795225,28
久崎,ｸｻﾞｷ,6795641,28
櫛田,ｸｼﾀﾞ,6795651,28
口金近,ｸﾁｶﾈﾁｶ,6795346,28
口長谷,ｸﾁﾅｶﾞﾀﾆ,6795343,28
桑野,ｸﾜﾉ,6795334,28
家内,ｹﾅｲ,6795652,28
小赤松,ｺｱｶﾏﾂ,6795653,28
河崎,ｺｳｻﾞｷ,6795226,28
上月,ｺｳﾂﾞｷ,6795523,28
光都,ｺｳﾄ,6795148,28
小日山,ｺﾋﾞﾔﾏ,6795535,28
小山,ｺﾔﾏ,6795204,28
才金,ｻｲｶﾈ,6795502,28
桜山,ｻｸﾗﾔﾏ,6795501,28
真盛,ｻﾈﾓﾘ,6795303,28
真宗,ｻﾉﾑﾈ,6795137,28
佐用,ｻﾖｳ,6795301,28
志文,ｼﾌﾞﾐ,6795136,28
下秋里,ｼﾓｱｷｻﾄ,6795643,28
下石井,ｼﾓｲｼｲ,6795321,28
下徳久,ｼﾓﾄｸｻ,6795211,28
下本郷,ｼﾓﾎﾝｺﾞｳ,6795132,28
下三河,ｼﾓﾐｶﾜ,6795223,28
末包,ｽｴｶﾈ,6795317,28
末廣,ｽｴﾋﾛ,6795147,28
須安,ｽﾔｽ,6795532,28
多賀,ﾀｶﾞ,6795201,28
弦谷,ﾂﾙﾀﾞﾆ,6795142,28
土井,ﾄﾞｲ,6795206,28
豊福,ﾄﾖﾌｸ,6795316,28
中島,ﾅｶｼﾏ,6795202,28
中三河,ﾅｶﾐｶﾜ,6795224,28
長尾,ﾅｶﾞｵ,6795305,28
仁位,ﾆｲ,6795522,28
仁方,ﾆｶﾞﾀ,6795312,28
西大畠,ﾆｼｵｵﾊﾞﾀｹ,6795534,28
西河内,ﾆｼｶﾞｲﾁ,6795313,28
西下野,ﾆｼｼﾓﾉ,6795222,28
西新宿,ﾆｼｼﾝｼﾞｭｸ,6795645,28
西徳久,ﾆｼﾄｸｻ,6795214,28
乃井野,ﾉｲﾉ,6795134,28
延吉,ﾉﾌﾞﾖｼ,6795332,28
林崎,ﾊﾔｼｻｷ,6795212,28
早瀬,ﾊﾔｾ,6795521,28
春哉,ﾊﾙｶﾅ,6795135,28
東徳久,ﾋｶﾞｼﾄｸｻ,6795213,28
東中山,ﾋｶﾞｼﾅｶﾔﾏ,6795318,28
平福,ﾋﾗﾌｸ,6795331,28
平松,ﾋﾗﾏﾂ,6795215,28
廣山,ﾋﾛﾔﾏ,6795141,28
福沢,ﾌｸｻﾜ,6795311,28
福中,ﾌｸﾅｶ,6795511,28
福吉,ﾌｸﾖｼ,6795514,28
船越,ﾌﾅｺｼ,6795227,28
宝蔵寺,ﾎｳｿﾞｳｼﾞ,6795207,28
本位田,ﾎﾝｲﾃﾞﾝ,6795306,28
本郷,ﾎﾝｺﾞｳ,6795503,28
海内,ﾐｳﾁ,6795335,28
三日月,ﾐｶﾂﾞｷ,6795133,28
水根,ﾐｽﾞﾈ,6795325,28
三ツ尾,ﾐﾂｵ,6795144,28
南中山,ﾐﾅﾐﾅｶﾔﾏ,6795512,28
三原,ﾐﾊﾗ,6795143,28
宗行,ﾑﾈﾕｷ,6795342,28
目高,ﾒﾀｶ,6795525,28
安川,ﾔｽｶﾜ,6795205,28
山田,ﾔﾏﾀﾞ,6795304,28
山脇,ﾔﾏﾜｷ,6795302,28
横坂,ﾖｺｻｶ,6795341,28
淀,ﾖﾄﾞ,6795315,28
米田,ﾖﾈﾀﾞ,6795203,28
寄延,ﾖﾘﾉﾌﾞ,6795524,28
力万,ﾘｷﾏﾝ,6795533,28
若州,ﾜｶｽ,6795323,28
