another_name,another_name_kana,post_id,prefecture_id
,,0000000,5
安城寺,ｱﾝｼﾞｮｳｼﾞ,0191533,5
飯詰,ｲｲﾂﾞﾒ,0191234,5
金沢,ｶﾈｻﾞﾜ,0191302,5
金沢西根,ｶﾈｻﾞﾜﾆｼﾈ,0191235,5
金沢東根,ｶﾈｻﾞﾜﾋｶﾞｼﾈ,0191522,5
上深井,ｶﾐﾌｶｲ,0191236,5
黒沢,ｸﾛｻﾜ,0191511,5
小荒川,ｺｱﾗｶﾜ,0191542,5
境田,ｻｶｲﾀﾞ,0191233,5
佐野,ｻﾉ,0191237,5
千屋,ｾﾝﾔ,0191502,5
土崎,ﾂﾁｻﾞｷ,0191541,5
天神堂,ﾃﾝｼﾞﾝﾄﾞｳ,0191232,5
中野,ﾅｶﾉ,0191521,5
浪花,ﾅﾆﾜ,0191501,5
野荒町,ﾉｱﾗﾏﾁ,0191301,5
野中,ﾉﾅｶ,0191402,5
畑屋,ﾊﾀﾔ,0191531,5
羽貫谷地,ﾊﾇｷﾔﾁ,0191532,5
本堂城回,ﾎﾝﾄﾞｳｼﾛﾏﾜﾘ,0191512,5
南町,ﾐﾅﾐﾏﾁ,0191231,5
鑓田,ﾔﾘﾀﾞ,0191401,5
六郷,ﾛｸｺﾞｳ,0191404,5
六郷東根,ﾛｸｺﾞｳﾋｶﾞｼﾈ,0191403,5
