another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
愛隣町,ｱｲﾘﾝﾁｮｳ,9813115,4
明石南,ｱｶｲｼﾐﾅﾐ,9813101,4
明通,ｱｹﾄﾞｵﾘ,9813206,4
旭丘堤,ｱｻﾋｶﾞｵｶﾂﾂﾐ,9818004,4
泉ケ丘,ｲｽﾞﾐｶﾞｵｶ,9813201,4
泉中央,ｲｽﾞﾐﾁｭｳｵｳ,9813133,4
泉中央南,ｲｽﾞﾐﾁｭｳｵｳﾐﾅﾐ,9813126,4
市名坂,ｲﾁﾅｻﾞｶ,9813117,4
永和台,ｴｲﾜﾀﾞｲ,9813104,4
大沢,ｵｵｻﾜ,9813137,4
小角,ｵｶﾞｸ,9813216,4
桂,ｶﾂﾗ,9813134,4
上谷刈,ｶﾐﾔｶﾞﾘ,9813121,4
加茂,ｶﾓ,9813122,4
北高森,ｷﾀﾀｶﾓﾘ,9813202,4
北中山,ｷﾀﾅｶﾔﾏ,9813215,4
黒松,ｸﾛﾏﾂ,9818006,4
向陽台,ｺｳﾖｳﾀﾞｲ,9813102,4
実沢,ｻﾈｻﾞﾜ,9813217,4
将監,ｼｮｳｹﾞﾝ,9813132,4
将監殿,ｼｮｳｹﾞﾝﾄﾉ,9813136,4
松陵,ｼｮｳﾘｮｳ,9813108,4
住吉台東,ｽﾐﾖｼﾀﾞｲﾋｶﾞｼ,9813222,4
住吉台西,ｽﾐﾖｼﾀﾞｲﾆｼ,9813223,4
高玉町,ﾀｶﾀﾞﾏﾁｮｳ,9813116,4
高森,ﾀｶﾓﾘ,9813203,4
長命ケ丘,ﾁｮｳﾒｲｶﾞｵｶ,9813212,4
長命ケ丘東,ﾁｮｳﾒｲｶﾞｵｶﾋｶﾞｼ,9813211,4
鶴が丘,ﾂﾙｶﾞｵｶ,9813109,4
寺岡,ﾃﾗｵｶ,9813204,4
天神沢,ﾃﾝｼﾞﾝｻﾞﾜ,9813105,4
七北田,ﾅﾅｷﾀ,9813131,4
南光台,ﾅﾝｺｳﾀﾞｲ,9818003,4
南光台東,ﾅﾝｺｳﾀﾞｲﾋｶﾞｼ,9818001,4
南光台南,ﾅﾝｺｳﾀﾞｲﾐﾅﾐ,9818002,4
西田中,ﾆｼﾀﾅｶ,9813224,4
西中山,ﾆｼﾅｶﾔﾏ,9813218,4
虹の丘,ﾆｼﾞﾉｵｶ,9818007,4
根白石,ﾈﾉｼﾛｲｼ,9813221,4
野村,ﾉﾑﾗ,9813124,4
東黒松,ﾋｶﾞｼｸﾛﾏﾂ,9818005,4
福岡,ﾌｸｵｶ,9813225,4
古内,ﾌﾙｳﾁ,9813123,4
朴沢,ﾎｳｻﾞﾜ,9813226,4
歩坂町,ﾎｻｶﾁｮｳ,9813106,4
本田町,ﾎﾝﾀﾞﾁｮｳ,9813107,4
松森,ﾏﾂﾓﾘ,9813111,4
真美沢,ﾏﾐｻﾜ,9813113,4
みずほ台,ﾐｽﾞﾎﾀﾞｲ,9813125,4
南中山,ﾐﾅﾐﾅｶﾔﾏ,9813213,4
紫山,ﾑﾗｻｷﾔﾏ,9813205,4
八乙女,ﾔｵﾄﾒ,9813112,4
八乙女中央,ﾔｵﾄﾒﾁｭｳｵｳ,9813135,4
館,ﾔｶﾀ,9813214,4
山の寺,ﾔﾏﾉﾃﾗ,9813103,4
友愛町,ﾕｳｱｲﾁｮｳ,9813114,4
