another_name,another_name_kana,post_id,prefecture_id
,,0000000,27
青葉台,ｱｵﾊﾞﾀﾞｲ,5900407,27
朝代西,ｱｻｼﾛﾆｼ,5900458,27
朝代東,ｱｻｼﾛﾋｶﾞｼ,5900457,27
朝代台,ｱｻｼﾛﾀﾞｲ,5900459,27
大久保,ｵｵｸﾎﾞ,5900401,27
大久保北,ｵｵｸﾎﾞｷﾀ,5900402,27
大久保中,ｵｵｸﾎﾞﾅｶ,5900403,27
大久保西,ｵｵｸﾎﾞﾆｼ,5900404,27
大久保東,ｵｵｸﾎﾞﾋｶﾞｼ,5900406,27
大久保南,ｵｵｸﾎﾞﾐﾅﾐ,5900405,27
大宮,ｵｵﾐﾔ,5900450,27
小垣内,ｵｶﾞｲﾄ,5900432,27
小谷,ｵﾀﾞﾆ,5900431,27
小谷北,ｵﾀﾞﾆｷﾀ,5900434,27
小谷南,ｵﾀﾞﾆﾐﾅﾐ,5900435,27
希望が丘,ｷﾎﾞｳｶﾞｵｶ,5900422,27
久保,ｸﾎﾞ,5900441,27
高田,ｺｳﾀﾞ,5900436,27
五門,ｺﾞﾓﾝ,5900411,27
五門西,ｺﾞﾓﾝﾆｼ,5900415,27
五門東,ｺﾞﾓﾝﾋｶﾞｼ,5900414,27
紺屋,ｺﾝﾔ,5900412,27
桜が丘,ｻｸﾗｶﾞｵｶ,5900413,27
五月ケ丘,ｻﾂｷｶﾞｵｶ,5900445,27
七山,ｼﾁﾔﾏ,5900421,27
七山東,ｼﾁﾔﾏﾋｶﾞｼ,5900425,27
七山西,ｼﾁﾔﾏﾆｼ,5900427,27
七山南,ｼﾁﾔﾏﾐﾅﾐ,5900426,27
七山北,ｼﾁﾔﾏｷﾀ,5900424,27
自由が丘,ｼﾞｭｳｶﾞｵｶ,5900423,27
新野田,ｼﾝﾉﾀﾞ,5900454,27
つばさが丘北,ﾂﾊﾞｻｶﾞｵｶｷﾀ,5900444,27
つばさが丘西,ﾂﾊﾞｻｶﾞｵｶﾆｼ,5900443,27
つばさが丘東,ﾂﾊﾞｻｶﾞｵｶﾋｶﾞｼ,5900442,27
東和苑,ﾄｳﾜｴﾝ,5900416,27
長池,ﾅｶﾞｲｹ,5900455,27
成合東,ﾅﾘｱｲﾋｶﾞｼ,5900447,27
成合西,ﾅﾘｱｲﾆｼ,5900449,27
成合南,ﾅﾘｱｲﾐﾅﾐ,5900448,27
成合北,ﾅﾘｱｲｷﾀ,5900446,27
野田,ﾉﾀﾞ,5900451,27
美熊台,ﾐｸﾏﾀﾞｲ,5900456,27
南山の手台,ﾐﾅﾐﾔﾏﾉﾃﾀﾞｲ,5900453,27
山の手台,ﾔﾏﾉﾃﾀﾞｲ,5900452,27
若葉,ﾜｶﾊﾞ,5900433,27
和田,ﾜﾀﾞ,5900417,27
