another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
旭町,ｱｻﾋﾁｮｳ,9891203,4
荒町,ｱﾗﾏﾁ,9891237,4
大芝,ｵｵｼﾊﾞ,9891205,4
大竜,ｵｵﾀﾂ,9891204,4
大巻,ｵｵﾏｷ,9891261,4
大谷,ｵｵﾔ,9891201,4
大谷地,ｵｵﾔﾁ,9891263,4
小島,ｵｼﾏ,9891267,4
小山田,ｵﾔﾏﾀﾞ,9891258,4
海道東,ｶｲﾄﾞｳﾋｶﾞｼ,9891249,4
金ケ瀬,ｶﾅｶﾞｾ,9891224,4
上川原,ｶﾐｶﾜﾗ,9891233,4
川瀬町,ｶﾜｾﾁｮｳ,9891207,4
甲子町,ｷﾉｲﾈﾁｮｳ,9891214,4
幸町,ｻｲﾜｲﾁｮｳ,9891216,4
新青川,ｼﾝｱｵｶﾜ,9891264,4
新桜町,ｼﾝｻｸﾗﾁｮｳ,9891274,4
新古川,ｼﾝﾌﾙｶﾜ,9891234,4
新東,ｼﾝﾋｶﾞｼ,9891246,4
新南,ｼﾝﾐﾅﾐ,9891245,4
住吉町,ｽﾐﾖｼﾁｮｳ,9891213,4
千塚前,ｾﾝﾂｶﾏｴ,9891266,4
袖谷地,ｿﾃﾞﾔﾁ,9891255,4
高砂町,ﾀｶｻｺﾞﾁｮｳ,9891202,4
堤,ﾂﾂﾐ,9891256,4
土手崎,ﾄﾞﾃｻﾞｷ,9891248,4
中川原,ﾅｶｶﾞﾜﾗ,9891231,4
中島町,ﾅｶｼﾞﾏﾁｮｳ,9891215,4
中の倉,ﾅｶﾉｸﾗ,9891206,4
南平,ﾅﾝﾍﾟｲ,9891222,4
西,ﾆｼ,9891253,4
西浦,ﾆｼｳﾗ,9891242,4
錦町,ﾆｼｷﾁｮｳ,9891217,4
西桜町,ﾆｼｻｸﾗﾁｮｳ,9891273,4
西町,ﾆｼﾏﾁ,9891244,4
新寺,ﾆｯﾃﾗ,9891257,4
沼,ﾇﾏ,9891254,4
橋本,ﾊｼﾓﾄ,9891251,4
東,ﾋｶﾞｼ,9891247,4
東桜町,ﾋｶﾞｼｻｸﾗﾁｮｳ,9891271,4
東新町,ﾋｶﾞｼｼﾝﾁｮｳ,9891223,4
東原町,ﾋｶﾞｼﾊﾗﾏﾁ,9891236,4
広表,ﾋﾛｵﾓﾃ,9891225,4
広瀬町,ﾋﾛｾﾁｮｳ,9891211,4
福田,ﾌｸﾀﾞ,9891259,4
町,ﾏﾁ,9891241,4
緑町,ﾐﾄﾞﾘﾁｮｳ,9891221,4
南,ﾐﾅﾐ,9891243,4
南海道下,ﾐﾅﾐｶｲﾄﾞｳｼﾀ,9891232,4
南桜町,ﾐﾅﾐｻｸﾗﾁｮｳ,9891272,4
南原町,ﾐﾅﾐﾊﾗﾏﾁ,9891235,4
八乙女,ﾔｵﾄﾒ,9891252,4
山崎町,ﾔﾏｻﾞｷﾁｮｳ,9891212,4
