another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
伊茶仁,ｲﾁｬﾆ,0861602,1
川北,ｶﾜｷﾀ,0861451,1
北一条,ｷﾀ1ｼﾞｮｳ,0861631,1
北二条,ｷﾀ2ｼﾞｮｳ,0861632,1
北三条,ｷﾀ3ｼﾞｮｳ,0861633,1
北四条,ｷﾀ4ｼﾞｮｳ,0861634,1
北五条,ｷﾀ5ｼﾞｮｳ,0861635,1
北六条,ｷﾀ6ｼﾞｮｳ,0861636,1
北七条,ｷﾀ7ｼﾞｮｳ,0861637,1
北八条,ｷﾀ8ｼﾞｮｳ,0861638,1
北九条,ｷﾀ9ｼﾞｮｳ,0861639,1
北十条,ｷﾀ10ｼﾞｮｳ,0861630,1
薫別,ｸﾝﾍﾞﾂ,0861732,1
古多糠,ｺﾀﾇｶ,0861731,1
崎無異,ｻｷﾑｲ,0861733,1
茶志骨,ﾁｬｼｺﾂ,0000000,1
茶志骨住吉町,ﾁｬｼｺﾂｽﾐﾖｼﾁｮｳ,0861625,1
茶志骨パイロット,ﾁｬｼｺﾂﾊﾟｲﾛｯﾄ,0861621,1
茶志骨東茶志骨,ﾁｬｼｺﾂﾋｶﾞｼﾁｬｼｺﾂ,0861623,1
茶志骨東浜町,ﾁｬｼｺﾂﾋｶﾞｼﾊﾏﾁｮｳ,0861626,1
忠類,ﾁｭｳﾙｲ,0861601,1
南一条,ﾐﾅﾐ1ｼﾞｮｳ,0861651,1
南二条,ﾐﾅﾐ2ｼﾞｮｳ,0861652,1
南三条,ﾐﾅﾐ3ｼﾞｮｳ,0861653,1
南四条,ﾐﾅﾐ4ｼﾞｮｳ,0861654,1
南五条,ﾐﾅﾐ5ｼﾞｮｳ,0861655,1
南六条,ﾐﾅﾐ6ｼﾞｮｳ,0861656,1
南七条,ﾐﾅﾐ7ｼﾞｮｳ,0861657,1
南八条,ﾐﾅﾐ8ｼﾞｮｳ,0861658,1
