another_name,another_name_kana,post_id,prefecture_id
,,0000000,10
赤城町勝保沢,ｱｶｷﾞﾏﾁｶﾂﾎｻﾞﾜ,3791122,10
赤城町上三原田,ｱｶｷﾞﾏﾁｶﾐﾐﾊﾗﾀﾞ,3791125,10
赤城町北赤城山,ｱｶｷﾞﾏﾁｷﾀｱｶｷﾞｻﾝ,3791111,10
赤城町北上野,ｱｶｷﾞﾏﾁｷﾀｳｴﾉ,3791105,10
赤城町栄,ｱｶｷﾞﾏﾁｻｶｴ,3791114,10
赤城町敷島,ｱｶｷﾞﾏﾁｼｷｼﾏ,3791104,10
赤城町滝沢,ｱｶｷﾞﾏﾁﾀｷｻﾞﾜ,3791124,10
赤城町棚下,ｱｶｷﾞﾏﾁﾀﾅｼﾀ,3791101,10
赤城町樽,ｱｶｷﾞﾏﾁﾀﾙ,3791127,10
赤城町津久田,ｱｶｷﾞﾏﾁﾂｸﾀﾞ,3791103,10
赤城町長井小川田,ｱｶｷﾞﾏﾁﾅｶﾞｲｵｶﾞﾜﾀﾞ,3791102,10
赤城町溝呂木,ｱｶｷﾞﾏﾁﾐｿﾞﾛｷ,3791115,10
赤城町見立,ｱｶｷﾞﾏﾁﾐﾀﾁ,3791123,10
赤城町南赤城山,ｱｶｷﾞﾏﾁﾐﾅﾐｱｶｷﾞｻﾝ,3791113,10
赤城町三原田,ｱｶｷﾞﾏﾁﾐﾊﾗﾀﾞ,3791126,10
赤城町宮田,ｱｶｷﾞﾏﾁﾐﾔﾀﾞ,3791121,10
赤城町深山,ｱｶｷﾞﾏﾁﾐﾔﾏ,3791112,10
赤城町持柏木,ｱｶｷﾞﾏﾁﾓﾁｶｼﾜｷﾞ,3791116,10
阿久津,ｱｸﾂ,3770031,10
有馬,ｱﾘﾏ,3770005,10
伊香保町伊香保,ｲｶﾎﾏﾁｲｶﾎ,3770102,10
伊香保町水沢,ｲｶﾎﾏﾁﾐｽﾞｻﾜ,3770103,10
伊香保町湯中子,ｲｶﾎﾏﾁﾕﾅｶｺﾞ,3770101,10
石原,ｲｼﾊﾗ,3770007,10
祖母島,ｳﾊﾞｼﾏ,3770024,10
小野子,ｵﾉｺ,3770312,10
金井,ｶﾅｲ,3770027,10
上白井,ｶﾐｼﾛｲ,3770201,10
川島,ｶﾜｼﾏ,3770025,10
北牧,ｷﾀﾓｸ,3770205,10
渋川,ｼﾌﾞｶﾜ,3770008,10
白井,ｼﾛｲ,3770204,10
中郷,ﾅｶｺﾞｳ,3770202,10
中村,ﾅｶﾑﾗ,3770002,10
南牧,ﾅﾝﾓｸ,3770026,10
半田,ﾊﾝﾀﾞ,3770004,10
吹屋,ﾌｷﾔ,3770203,10
北橘町赤城山,ﾎｯｷﾂﾏﾁｱｶｷﾞｻﾝ,3770051,10
北橘町上南室,ﾎｯｷﾂﾏﾁｶﾐﾅﾑﾛ,3770055,10
北橘町上箱田,ﾎｯｷﾂﾏﾁｶﾐﾊｺﾀﾞ,3770052,10
北橘町小室,ﾎｯｷﾂﾏﾁｺﾑﾛ,3770065,10
北橘町下南室,ﾎｯｷﾂﾏﾁｼﾓﾅﾑﾛ,3770054,10
北橘町下箱田,ﾎｯｷﾂﾏﾁｼﾓﾊｺﾀﾞ,3770061,10
北橘町箱田,ﾎｯｷﾂﾏﾁﾊｺﾀﾞ,3770053,10
北橘町八崎,ﾎｯｷﾂﾏﾁﾊｯｻｷ,3770064,10
北橘町分郷八崎,ﾎｯｷﾂﾏﾁﾌﾞﾝｺﾞｳﾊｯｻｷ,3770063,10
北橘町真壁,ﾎｯｷﾂﾏﾁﾏｶﾍﾞ,3770062,10
行幸田,ﾐﾕｷﾀﾞ,3770006,10
村上,ﾑﾗｶﾐ,3770311,10
八木原,ﾔｷﾞﾊﾗ,3770003,10
横堀,ﾖｺﾎﾞﾘ,3770206,10
