another_name,another_name_kana,post_id,prefecture_id
,,0000000,38
金田町金川,ｶﾅﾀﾞﾁｮｳｶﾅｶﾞﾜ,7990123,38
金田町三角寺,ｶﾅﾀﾞﾁｮｳｻﾝｶｸｼﾞ,7990124,38
金田町半田,ｶﾅﾀﾞﾁｮｳﾊﾝﾀﾞ,7990122,38
上柏町,ｶﾐｶﾞｼﾜﾁｮｳ,7990412,38
上分町,ｶﾐﾌﾞﾝﾁｮｳ,7990121,38
川滝町下山,ｶﾜﾀｷﾁｮｳｼﾓﾔﾏ,7990127,38
川滝町領家,ｶﾜﾀｷﾁｮｳﾘｮｳｹ,7990128,38
川之江町,ｶﾜﾉｴﾁｮｳ,7990101,38
川之江町長須,ｶﾜﾉｴﾁｮｳﾅｶﾞｽ,7990102,38
川之江町余木,ｶﾜﾉｴﾁｮｳﾖｷ,7990103,38
金砂町小川山,ｷﾝｼｬﾁｮｳｵｶﾞﾜﾔﾏ,7990641,38
金砂町平野山,ｷﾝｼｬﾁｮｳﾋﾗﾉﾔﾏ,7990642,38
金生町下分,ｷﾝｾｲﾁｮｳｼﾓﾌﾞﾝ,7990111,38
金生町山田井,ｷﾝｾｲﾁｮｳﾔﾏﾀﾞｲ,7990112,38
具定町,ｸﾞｼﾞｮｳﾁｮｳ,7990423,38
寒川町,ｻﾝｶﾞﾜﾁｮｳ,7990431,38
柴生町,ｼﾎﾞｳﾁｮｳ,7990125,38
下柏町,ｼﾓｶﾞｼﾜﾁｮｳ,7990411,38
下川町,ｼﾓｶﾜﾁｮｳ,7990126,38
新宮町馬立,ｼﾝｸﾞｳﾁｮｳｳﾏﾀﾃ,7990301,38
新宮町上山,ｼﾝｸﾞｳﾁｮｳｶﾐﾔﾏ,7990302,38
新宮町新宮,ｼﾝｸﾞｳﾁｮｳｼﾝｸﾞｳ,7990303,38
新宮町新瀬川,ｼﾝｸﾞｳﾁｮｳｼﾝｾｶﾞﾜ,7990304,38
土居町入野,ﾄﾞｲﾁｮｳｲﾘﾉ,7990712,38
土居町上野,ﾄﾞｲﾁｮｳｳｴﾉ,7990721,38
土居町浦山,ﾄﾞｲﾁｮｳｳﾗﾔﾏ,7990713,38
土居町蕪崎,ﾄﾞｲﾁｮｳｶﾌﾞﾗｻｷ,7990724,38
土居町北野,ﾄﾞｲﾁｮｳｷﾀﾉ,7990722,38
土居町小林,ﾄﾞｲﾁｮｳｺﾊﾞﾔｼ,7990702,38
土居町津根,ﾄﾞｲﾁｮｳﾂﾈ,7990704,38
土居町天満,ﾄﾞｲﾁｮｳﾃﾝﾏ,7990723,38
土居町土居,ﾄﾞｲﾁｮｳﾄﾞｲ,7990711,38
土居町中村,ﾄﾞｲﾁｮｳﾅｶﾑﾗ,7990701,38
土居町野田,ﾄﾞｲﾁｮｳﾉﾀﾞ,7990705,38
土居町畑野,ﾄﾞｲﾁｮｳﾊﾀﾉ,7990714,38
土居町藤原,ﾄﾞｲﾁｮｳﾌｼﾞﾜﾗ,7990703,38
富郷町寒川山,ﾄﾐｻﾄﾁｮｳｻﾝｶﾞﾜﾔﾏ,7990643,38
富郷町津根山,ﾄﾐｻﾄﾁｮｳﾂﾈﾔﾏ,7990645,38
富郷町豊坂,ﾄﾐｻﾄﾁｮｳﾄﾖｻｶ,7990644,38
豊岡町五良野,ﾄﾖｵｶﾁｮｳｲﾗﾉ,7990434,38
豊岡町大町,ﾄﾖｵｶﾁｮｳｵｵﾏﾁ,7990432,38
豊岡町岡銅,ﾄﾖｵｶﾁｮｳｵｶﾄﾞｳ,7990436,38
豊岡町長田,ﾄﾖｵｶﾁｮｳｵｻﾀﾞ,7990435,38
豊岡町豊田,ﾄﾖｵｶﾁｮｳﾄﾖﾀﾞ,7990433,38
中曽根町,ﾅｶｿﾞﾈﾁｮｳ,7990413,38
中之庄町,ﾅｶﾉｼｮｳﾁｮｳ,7990422,38
三島朝日,ﾐｼﾏｱｻﾋ,7990403,38
三島金子,ﾐｼﾏｶﾈｺ,7990421,38
三島紙屋町,ﾐｼﾏｶﾐﾔﾁｮｳ,7990402,38
三島中央,ﾐｼﾏﾁｭｳｵｳ,7990405,38
三島宮川,ﾐｼﾏﾐﾔｶﾞﾜ,7990404,38
村松町,ﾑﾗﾏﾂﾁｮｳ,7990401,38
妻鳥町,ﾒﾝﾄﾞﾘﾁｮｳ,7990113,38
