another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
旭,ｱｻﾋ,4270018,22
阿知ケ谷,ｱﾁｶﾞﾔ,4270006,22
伊久美,ｲｸﾐ,4270232,22
井口,ｲｸﾞﾁ,4270104,22
伊太,ｲﾀ,4270034,22
稲荷,ｲﾅﾘ,4270038,22
鵜網,ｳｱﾐ,4270031,22
牛尾,ｳｼｵ,4280006,22
扇町,ｵｳｷﾞﾏﾁ,4270026,22
御請,ｵｳｹ,4270013,22
大井町,ｵｵｲﾁｮｳ,4270025,22
相賀,ｵｵｶ,4270033,22
大川町,ｵｵｶﾜﾁｮｳ,4270023,22
大草,ｵｵｸｻ,4270002,22
大代,ｵｵｼﾞﾛ,4280009,22
大津通,ｵｵﾂﾄﾞｵﾘ,4270056,22
大柳,ｵｵﾔﾅｷﾞ,4270101,22
大柳南,ｵｵﾔﾅｷﾞﾐﾅﾐ,4270102,22
岡田,ｵｶﾀﾞ,4270106,22
御仮屋町,ｵｶﾘﾔﾁｮｳ,4270053,22
尾川,ｵｶﾞﾜ,4270009,22
落合,ｵﾁｱｲ,4270008,22
金谷東,ｶﾅﾔｱｽﾞﾏ,4280013,22
金谷泉町,ｶﾅﾔｲｽﾞﾐﾁｮｳ,4280014,22
金谷扇町,ｶﾅﾔｵｳｷﾞﾁｮｳ,4280015,22
金谷上十五軒,ｶﾅﾔｶﾐｼﾞｭｳｺﾞｹﾝ,4280027,22
金谷金山町,ｶﾅﾔｷﾝｻﾞﾝﾁｮｳ,4280046,22
金谷栄町,ｶﾅﾔｻｶｴﾁｮｳ,4280017,22
金谷坂町,ｶﾅﾔｻｶﾏﾁ,4280023,22
金谷猪土居,ｶﾅﾔｼｼﾄﾞｲ,4280039,22
金谷清水,ｶﾅﾔｼﾐｽﾞ,4280031,22
金谷下十五軒,ｶﾅﾔｼﾓｼﾞｭｳｺﾞｹﾝ,4280028,22
金谷城山町,ｶﾅﾔｼﾛﾔﾏﾁｮｳ,4280048,22
金谷新町,ｶﾅﾔｼﾝﾏﾁ,4280047,22
金谷代官町,ｶﾅﾔﾀﾞｲｶﾝﾁｮｳ,4280012,22
金谷田町,ｶﾅﾔﾀﾏﾁ,4280025,22
金谷天王町,ｶﾅﾔﾃﾝﾉｳﾁｮｳ,4280032,22
金谷中町,ｶﾅﾔﾅｶﾏﾁ,4280043,22
金谷二軒家,ｶﾅﾔﾆｹﾝﾔ,4280033,22
金谷根岸町,ｶﾅﾔﾈｷﾞｼﾁｮｳ,4280018,22
金谷富士見町,ｶﾅﾔﾌｼﾞﾐﾁｮｳ,4280034,22
金谷古横町,ｶﾅﾔﾌﾙﾖｺﾁｮｳ,4280042,22
金谷本町,ｶﾅﾔﾎﾝﾏﾁ,4280026,22
金谷緑町,ｶﾅﾔﾐﾄﾞﾘﾁｮｳ,4280044,22
金谷南町,ｶﾅﾔﾐﾅﾐﾁｮｳ,4280024,22
金谷都町,ｶﾅﾔﾐﾔｺﾁｮｳ,4280041,22
金谷宮崎町,ｶﾅﾔﾐﾔｻﾞｷﾁｮｳ,4280016,22
神尾,ｶﾐｵ,4280003,22
神谷城,ｶﾐﾔｼﾛ,4280036,22
川根町家山,ｶﾜﾈﾁｮｳｲｴﾔﾏ,4280104,22
川根町上河内,ｶﾜﾈﾁｮｳｶﾐｺﾞｳﾁ,4280102,22
川根町笹間上,ｶﾜﾈﾁｮｳｻｻﾏｶﾐ,4280211,22
川根町笹間下,ｶﾜﾈﾁｮｳｻｻﾏｼﾓ,4280212,22
川根町笹間渡,ｶﾜﾈﾁｮｳｻｻﾏﾄﾞ,4280101,22
川根町葛籠,ｶﾜﾈﾁｮｳﾂﾂﾞﾗ,4280105,22
川根町抜里,ｶﾜﾈﾁｮｳﾇｸﾘ,4280106,22
川根町身成,ｶﾜﾈﾁｮｳﾐﾅﾘ,4280103,22
河原,ｶﾜﾗ,4270037,22
神座,ｶﾝｻﾞ,4270032,22
祇園町,ｷﾞｵﾝﾁｮｳ,4270058,22
菊川,ｷｸｶﾞﾜ,4280037,22
岸,ｷｼ,4270004,22
岸町,ｷｼﾁｮｳ,4270005,22
切山,ｷﾘﾔﾏ,4280035,22
幸町,ｻｲﾜｲﾏﾁ,4270027,22
栄町,ｻｶｴﾁｮｳ,4270028,22
阪本,ｻｶﾓﾄ,4270111,22
笹間下,ｻｻﾏｼﾓ,4270231,22
佐夜鹿,ｻﾖｼｶ,4280038,22
志戸呂,ｼﾄﾛ,4280019,22
島,ｼﾏ,4280007,22
新田町,ｼﾝﾃﾞﾝﾁｮｳ,4270059,22
