another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
秋田,ｱｲﾀﾞ,7870007,39
赤松町,ｱｶﾏﾂﾁｮｳ,7870052,39
麻生,ｱｿｳ,7870006,39
荒川,ｱﾗｶﾜ,7870668,39
有岡,ｱﾘｵｶ,7870771,39
伊才原,ｲｻｲﾊﾞﾗ,7871441,39
井沢,ｲｻﾜ,7870150,39
磯ノ川,ｲｿﾉｶﾜ,7870773,39
板ノ川,ｲﾀﾉｶﾜ,7871103,39
岩田,ｲﾜﾀ,7871107,39
鵜ノ江,ｳﾉｴ,7871226,39
右山,ｳﾔﾏ,7870015,39
右山五月町,ｳﾔﾏｻﾂｷﾁｮｳ,7870012,39
右山天神町,ｳﾔﾏﾃﾝｼﾞﾝﾁｮｳ,7870013,39
右山元町,ｳﾔﾏﾓﾄﾏﾁ,7870011,39
駅前町,ｴｷﾏｴﾁｮｳ,7870014,39
江ノ村,ｴﾉﾑﾗ,7870669,39
生ノ川,ｵｲﾉｶﾜ,7870774,39
大西ノ川,ｵｵﾆｼﾉｶﾜ,7871557,39
大屋敷,ｵｵﾔｼｷ,7871553,39
大用,ｵｵﾕｳ,7871550,39
奥鴨川,ｵｸｶﾓｶﾞﾜ,7871101,39
片魚,ｶﾀｳｵ,7871552,39
勝間,ｶﾂﾏ,0000000,39
上ノ土居,ｶﾐﾉﾄﾞｲ,7870776,39
川登,ｶﾜﾉﾎﾞﾘ,7871220,39
九樹,ｸｼﾞｭｳ,7870775,39
楠,ｸｽ,7871227,39
楠島,ｸｽｼﾏ,7870666,39
口鴨川,ｸﾁｶﾓｶﾞﾜ,7871102,39
具同,ｸﾞﾄﾞｳ,7870019,39
具同田黒,ｸﾞﾄﾞｳﾀｸﾞﾛ,7870051,39
国見,ｸﾆﾐ,7870667,39
久保川,ｸﾎﾞｶﾜ,7871225,39
古津賀,ｺﾂｶ,7870010,39
小西ノ川,ｺﾆｼﾉｶﾜ,7871556,39
古尾,ｺﾋﾞ,7871558,39
佐岡,ｻｵｶ,7870009,39
坂本,ｻｶﾓﾄ,7870156,39
佐田,ｻﾀﾞ,7871106,39
実崎,ｻﾝｻﾞｷ,7870158,39
敷地,ｼｷｼﾞ,7871108,39
下田,ｼﾓﾀﾞ,7870155,39
住次郎,ｼﾞｭｳｼﾞﾛｳ,7871551,39
常六,ｼﾞｮｳﾛｸ,7871554,39
高瀬,ﾀｶｾ,7871228,39
竹島,ﾀｹｼﾏ,7870151,39
竹屋敷,ﾀｹﾔｼｷ,7871559,39
田出ノ川,ﾀﾃﾞﾉｶﾜ,7871229,39
田野川,ﾀﾉｶﾜ,7871109,39
手洗川,ﾀﾗｲｶﾞﾜ,7871222,39
津蔵渕,ﾂｸﾗﾌﾞﾁ,7870161,39
角崎,ﾂﾉｻｷ,7870016,39
利岡,ﾄｼｵｶ,7871105,39
中村愛宕町,ﾅｶﾑﾗｱﾀｺﾞﾏﾁ,7870026,39
中村一条通,ﾅｶﾑﾗｲﾁｼﾞｮｳﾄﾞｵﾘ,7870025,39
中村岩崎町,ﾅｶﾑﾗｲﾜｻｷﾁｮｳ,7870036,39
中村大橋通,ﾅｶﾑﾗｵｵﾊｼﾄﾞｵﾘ,7870033,39
中村於東町,ﾅｶﾑﾗｵﾋｶﾞｼﾁｮｳ,7870024,39
中村上小姓町,ﾅｶﾑﾗｶﾐｺｼｮｳﾏﾁ,7870030,39
中村京町,ﾅｶﾑﾗｷｮｳﾏﾁ,7870021,39
中村小姓町,ﾅｶﾑﾗｺｼｮｳﾏﾁ,7870029,39
中村栄町,ﾅｶﾑﾗｻｶｴﾏﾁ,7870032,39
中村桜町,ﾅｶﾑﾗｻｸﾗﾏﾁ,7870002,39
中村四万十町,ﾅｶﾑﾗｼﾏﾝﾄﾁｮｳ,7870037,39
中村新町,ﾅｶﾑﾗｼﾝﾏﾁ,7870022,39
中村天神橋,ﾅｶﾑﾗﾃﾝｼﾞﾝﾊﾞｼ,7870027,39
中村百笑町,ﾅｶﾑﾗﾄﾞｳﾒｷﾁｮｳ,7870038,39
中村羽生小路,ﾅｶﾑﾗﾊﾌﾞｼｮｳｼﾞ,7870035,39
中村東下町,ﾅｶﾑﾗﾋｶﾞｼｼﾓﾏﾁ,7870031,39
中村東町,ﾅｶﾑﾗﾋｶﾞｼﾏﾁ,7870023,39
中村本町,ﾅｶﾑﾗﾎﾝﾏﾁ,7870001,39
中村丸の内,ﾅｶﾑﾗﾏﾙﾉｳﾁ,0000000,39
中村丸の内丸の内ハイランド,ﾅｶﾑﾗﾏﾙﾉｳﾁﾏﾙﾉｳﾁﾊｲﾗﾝﾄﾞ,7870004,39
中村山手通,ﾅｶﾑﾗﾔﾏﾃﾄﾞｵﾘ,7870028,39
中村弥生町,ﾅｶﾑﾗﾔﾖｲﾁｮｳ,7870034,39
中村,ﾅｶﾑﾗ,0000000,39
中村桂山団地,ﾅｶﾑﾗｶﾂﾗﾔﾏﾀﾞﾝﾁ,7870005,39
中村大用寺,ﾅｶﾑﾗﾀﾞｲﾖｳｼﾞ,7871107,39
名鹿,ﾅｼｼ,7870163,39
鍋島,ﾅﾍﾞｼﾏ,7870152,39
西土佐岩間,ﾆｼﾄｻｲﾜﾏ,7871321,39
西土佐江川,ﾆｼﾄｻｴｶﾜ,7871607,39
西土佐江川崎,ﾆｼﾄｻｴｶﾜｻｷ,7871601,39
西土佐大宮,ﾆｼﾄｻｵｵﾐﾔ,7871615,39
西土佐奥屋内,ﾆｼﾄｻｵｸﾔﾅｲ,7871326,39
西土佐茅生,ﾆｼﾄｻｶﾖｳ,7871322,39
