another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
相玉,ｱｲﾀﾏ,4130711,22
荒増,ｱﾗｿﾞｳ,4130703,22
一丁目,ｲｯﾁｮｳﾒ,4150021,22
宇土金,ｳﾄﾞｶﾞﾈ,4130715,22
大賀茂,ｵｵｶﾞﾓ,4150038,22
大沢,ｵｵｻﾜ,4150039,22
落合,ｵﾁｱｲ,4130701,22
柿崎,ｶｷｻｷ,4150013,22
加増野,ｶｿﾞｳﾉ,4130713,22
吉佐美,ｷｻﾐ,4150028,22
北湯ケ野,ｷﾀﾕｶﾞﾉ,4130714,22
旧岡方村,ｷｭｳｵｶｶﾞﾀﾑﾗ,4150027,22
河内,ｺｳﾁ,4150011,22
五丁目,ｺﾞﾁｮｳﾒ,4150025,22
三丁目,ｻﾝﾁｮｳﾒ,4150023,22
椎原,ｼｲﾊﾞﾗ,4130704,22
敷根,ｼｷﾈ,4150037,22
白浜,ｼﾗﾊﾏ,4150012,22
須崎,ｽｻﾞｷ,4150014,22
須原,ｽﾊﾗ,4130716,22
武ガ浜,ﾀｹｶﾞﾊﾏ,4150015,22
高馬,ﾀｺｳﾏ,4150034,22
立野,ﾀﾁﾉ,4150032,22
田牛,ﾄｳｼﾞ,4150029,22
中,ﾅｶ,4150016,22
西中,ﾆｼﾅｶ,4150018,22
西本郷,ﾆｼﾎﾝｺﾞｳ,4150036,22
二丁目,ﾆﾁｮｳﾒ,4150022,22
東中,ﾋｶﾞｼﾅｶ,4150017,22
東本郷,ﾋｶﾞｼﾎﾝｺﾞｳ,4150035,22
堀之内,ﾎﾘﾉｳﾁ,4130702,22
本郷,ﾎﾝｺﾞｳ,4150033,22
箕作,ﾐﾂｸﾘ,4130705,22
横川,ﾖｺｶﾜ,4130712,22
四丁目,ﾖﾝﾁｮｳﾒ,4150024,22
蓮台寺,ﾚﾝﾀﾞｲｼﾞ,4150031,22
六丁目,ﾛｸﾁｮｳﾒ,4150026,22
