another_name,another_name_kana,post_id,prefecture_id
,,0000000,3
芦生,ｱｼｵｲ,0288366,3
芦渡,ｱｼﾜﾀﾘ,0288365,3
上の山,ｳｴﾉﾔﾏ,0288343,3
卯子酉,ｳﾈﾄﾞﾘ,0288362,3
宇留部,ｳﾙﾍﾞ,0288331,3
太田名部,ｵｵﾀﾅﾍﾞ,0288345,3
柏木平,ｶｼﾜｷﾞﾀﾞｲﾗ,0288368,3
上村,ｶﾐﾑﾗ,0288352,3
北ノ股,ｷﾀﾉﾏﾀ,0288361,3
黒崎,ｸﾛｻｷ,0288353,3
小谷地,ｺﾔﾁ,0288312,3
沢向,ｻﾜﾑｶｲ,0288303,3
下村,ｼﾓﾑﾗ,0288351,3
白井,ｼﾗｲ,0288311,3
土取場,ﾂﾁﾄﾘﾊﾞ,0288313,3
堤,ﾂﾂﾐ,0288336,3
天拝坂,ﾃﾝﾊﾞｲｻﾞｶ,0288322,3
銅屋,ﾄﾞｳﾔ,0288332,3
鳥居,ﾄﾘｲ,0288323,3
中村,ﾅｶﾑﾗ,0288334,3
中山,ﾅｶﾔﾏ,0288344,3
野胡桃,ﾉｸﾞﾙﾐ,0288321,3
萩牛,ﾊｷﾞｭｳ,0288367,3
馬場野,ﾊﾞﾊﾞﾉ,0288301,3
普代,ﾌﾀﾞｲ,0288335,3
堀内,ﾎﾘﾅｲ,0288302,3
南股,ﾐﾅﾐﾉﾏﾀ,0288364,3
明神,ﾐｮｳｼﾞﾝ,0288341,3
茂市,ﾓｲﾁ,0288363,3
羅賀,ﾗｶﾞ,0288333,3
和野山,ﾜﾉﾔﾏ,0288342,3
