another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
石橋,ｲｼﾊﾞｼ,3290511,9
磯部,ｲｿﾍﾞ,3230111,9
医大前,ｲﾀﾞｲﾏｴ,3290403,9
駅東,ｴｷﾋｶﾞｼ,3290413,9
大松山,ｵｵﾏﾂﾔﾏ,3290519,9
上川島,ｶﾐｶﾜｼﾏ,3230103,9
上古山,ｶﾐｺﾔﾏ,3290501,9
上台,ｶﾐﾀﾞｲ,3290504,9
上大領,ｶﾐﾀﾞｲﾘｮｳ,3290517,9
上坪山,ｶﾐﾂﾎﾞﾔﾏ,3230113,9
上吉田,ｶﾐﾖｼﾀﾞ,3230102,9
烏ケ森,ｶﾗｽｶﾞﾓﾘ,3290411,9
川中子,ｶﾜﾅｺﾞ,3290415,9
祇園,ｷﾞｵﾝ,3290434,9
絹板,ｷﾇｲﾀ,3230114,9
小金井,ｺｶﾞﾈｲ,3290414,9
国分寺,ｺｸﾌﾞﾝｼﾞ,3290417,9
笹原,ｻｻﾊﾗ,3290402,9
三王山,ｻﾝﾉｳﾔﾏ,3230101,9
柴,ｼﾊﾞ,3290412,9
下石橋,ｼﾓｲｼﾊﾞｼ,3290512,9
下古山,ｼﾓｺﾔﾏ,3290502,9
下大領,ｼﾓﾀﾞｲﾘｮｳ,3290513,9
下坪山,ｼﾓﾂﾎﾞﾔﾏ,3230115,9
下長田,ｼﾓﾅｶﾞﾀ,3290503,9
下文狹,ｼﾓﾌﾊﾞｻﾐ,3290424,9
下吉田,ｼﾓﾖｼﾀﾞ,3230106,9
大光寺,ﾀﾞｲｺｳｼﾞ,3290516,9
田中,ﾀﾅｶ,3290425,9
中川島,ﾅｶｶﾜｼﾏ,3230104,9
中大領,ﾅｶﾀﾞｲﾘｮｳ,3290515,9
成田,ﾅﾘﾀ,3290421,9
仁良川,ﾆﾗｶﾞﾜ,3290432,9
橋本,ﾊｼﾓﾄ,3290506,9
花田,ﾊﾅﾀﾞ,3230116,9
花の木,ﾊﾅﾉｷ,3290518,9
東根,ﾋｶﾞｼﾈ,3230112,9
東前原,ﾋｶﾞｼﾏｴﾊﾗ,3290514,9
文教,ﾌﾞﾝｷｮｳ,3290507,9
別当河原,ﾍﾞｯﾄｳｶﾞﾜﾗ,3230107,9
細谷,ﾎｿﾔ,3290505,9
町田,ﾏﾁﾀﾞ,3290422,9
緑,ﾐﾄﾞﾘ,3290433,9
箕輪,ﾐﾉﾜ,3290401,9
紫,ﾑﾗｻｷ,3290418,9
本吉田,ﾓﾄﾖｼﾀﾞ,3230105,9
薬師寺,ﾔｸｼｼﾞ,3290431,9
谷地賀,ﾔｼﾞﾂｶ,3290423,9
