another_name,another_name_kana,post_id,prefecture_id
,,0000000,30
相筋,ｱｲｽｼﾞ,6470001,30
あけぼの,ｱｹﾎﾞﾉ,6470025,30
阿須賀,ｱｽｶ,6470022,30
池田,ｲｹﾀﾞ,6470021,30
伊佐田町,ｲｻﾀﾞﾁｮｳ,6470012,30
井の沢,ｲﾉｻﾜ,6470045,30
磐盾,ｲﾜﾀﾃ,6470051,30
浮島,ｳｷｼﾞﾏ,6470014,30
馬町,ｳﾏﾏﾁ,6470008,30
相賀,ｵｳｶﾞ,6471102,30
王子町,ｵｳｼﾞﾁｮｳ,6470032,30
大橋通,ｵｵﾊｼﾄﾞｵﾘ,6470004,30
春日,ｶｽｶﾞ,6470013,30
神倉,ｶﾐｸﾗ,6470044,30
上本町,ｶﾐﾎﾝﾏﾁ,6470003,30
木ノ川,ｷﾉｶﾜ,6470073,30
熊野川町相須,ｸﾏﾉｶﾞﾜﾁｮｳｱｲｽ,6471216,30
熊野川町赤木,ｸﾏﾉｶﾞﾜﾁｮｳｱｶｷﾞ,6471214,30
熊野川町畝畑,ｸﾏﾉｶﾞﾜﾁｮｳｳﾈﾊﾀ,6471207,30
熊野川町大山,ｸﾏﾉｶﾞﾜﾁｮｳｵｵﾔﾏ,6471203,30
熊野川町鎌塚,ｸﾏﾉｶﾞﾜﾁｮｳｶﾏﾂﾞｶ,6471204,30
熊野川町上長井,ｸﾏﾉｶﾞﾜﾁｮｳｶﾐﾅｶﾞｲ,6471201,30
熊野川町九重,ｸﾏﾉｶﾞﾜﾁｮｳｸｼﾞｭｳ,6471233,30
熊野川町篠尾,ｸﾏﾉｶﾞﾜﾁｮｳｻｻﾋﾞ,6471223,30
熊野川町四滝,ｸﾏﾉｶﾞﾜﾁｮｳｼﾀｷ,6471234,30
熊野川町嶋津,ｸﾏﾉｶﾞﾜﾁｮｳｼﾏﾂﾞ,6471232,30
熊野川町滝本,ｸﾏﾉｶﾞﾜﾁｮｳﾀｷﾓﾄ,6471205,30
熊野川町田長,ｸﾏﾉｶﾞﾜﾁｮｳﾀﾅｺﾞ,6471212,30
熊野川町玉置口,ｸﾏﾉｶﾞﾜﾁｮｳﾀﾏｷｸﾞﾁ,6471231,30
熊野川町西,ｸﾏﾉｶﾞﾜﾁｮｳﾆｼ,6471206,30
熊野川町西敷屋,ｸﾏﾉｶﾞﾜﾁｮｳﾆｼｼｷﾔ,6471221,30
熊野川町能城山本,ｸﾏﾉｶﾞﾜﾁｮｳﾉｷﾔﾏﾓﾄ,6471213,30
熊野川町東,ｸﾏﾉｶﾞﾜﾁｮｳﾋｶﾞｼ,6471202,30
熊野川町東敷屋,ｸﾏﾉｶﾞﾜﾁｮｳﾋｶﾞｼｼｷﾔ,6471222,30
熊野川町日足,ｸﾏﾉｶﾞﾜﾁｮｳﾋﾀﾘ,6471211,30
熊野川町宮井,ｸﾏﾉｶﾞﾜﾁｮｳﾐﾔｲ,6471235,30
熊野川町椋井,ｸﾏﾉｶﾞﾜﾁｮｳﾑｸﾉｲ,6471215,30
熊野地,ｸﾏﾉｼﾞ,6470024,30
五新,ｺﾞｼﾝ,6470053,30
佐野,ｻﾉ,6470071,30
清水元,ｼﾐｽﾞﾓﾄ,6470033,30
下田,ｼﾓﾀﾞ,6470042,30
下本町,ｼﾓﾎﾝﾏﾁ,6470011,30
徐福,ｼﾞｮﾌｸ,6470020,30
新宮,ｼﾝｸﾞｳ,6470081,30
新町,ｼﾝﾏﾁ,6470019,30
高田,ﾀｶﾀ,6471101,30
田鶴原町,ﾀｽﾞﾊﾗﾁｮｳ,6470031,30
谷王子町,ﾀﾆｵｳｼﾞﾁｮｳ,6470016,30
千穂,ﾁﾎ,6470015,30
仲之町,ﾅｶﾉﾁｮｳ,6470018,30
野田,ﾉﾀﾞ,6470041,30
橋本,ﾊｼﾓﾄ,6470052,30
蜂伏,ﾊﾁﾌﾞｾ,6470072,30
船町,ﾌﾅﾏﾁ,6470002,30
別当屋敷町,ﾍﾞｯﾄｳﾔｼｷﾁｮｳ,6470007,30
蓬莱,ﾎｳﾗｲ,6470023,30
丸山,ﾏﾙﾔﾏ,6470034,30
緑ケ丘,ﾐﾄﾞﾘｶﾞｵｶ,6470043,30
南檜杖,ﾐﾅﾐﾋﾂﾞｴ,0000000,30
南檜杖土ノ河,ﾐﾅﾐﾋﾂﾞｴﾂﾁﾉｺ,6471103,30
三輪崎,ﾐﾜｻｷ,6470061,30
元鍛治町,ﾓﾄｶｼﾞﾁｮｳ,6470005,30
薬師町,ﾔｸｼﾏﾁ,6470006,30
横町,ﾖｺﾏﾁ,6470017,30
