another_name,another_name_kana,post_id,prefecture_id
,,0000000,13
愛住町,ｱｲｽﾞﾐﾁｮｳ,1600005,13
赤城下町,ｱｶｷﾞｼﾀﾏﾁ,1620803,13
赤城元町,ｱｶｷﾞﾓﾄﾏﾁ,1620817,13
揚場町,ｱｹﾞﾊﾞﾁｮｳ,1620824,13
荒木町,ｱﾗｷﾁｮｳ,1600007,13
市谷加賀町,ｲﾁｶﾞﾔｶｶﾞﾁｮｳ,1620062,13
市谷甲良町,ｲﾁｶﾞﾔｺｳﾗﾁｮｳ,1620856,13
市谷砂土原町,ｲﾁｶﾞﾔｻﾄﾞﾊﾗﾁｮｳ,1620842,13
市谷左内町,ｲﾁｶﾞﾔｻﾅｲﾁｮｳ,1620846,13
市谷鷹匠町,ｲﾁｶﾞﾔﾀｶｼﾞｮｳﾏﾁ,1620848,13
市谷田町,ｲﾁｶﾞﾔﾀﾏﾁ,1620843,13
市谷台町,ｲﾁｶﾞﾔﾀﾞｲﾏﾁ,1620066,13
市谷長延寺町,ｲﾁｶﾞﾔﾁｮｳｴﾝｼﾞﾏﾁ,1620847,13
市谷仲之町,ｲﾁｶﾞﾔﾅｶﾉﾁｮｳ,1620064,13
市谷八幡町,ｲﾁｶﾞﾔﾊﾁﾏﾝﾁｮｳ,1620844,13
市谷船河原町,ｲﾁｶﾞﾔﾌﾅｶﾞﾜﾗﾏﾁ,1620826,13
市谷本村町,ｲﾁｶﾞﾔﾎﾝﾑﾗﾁｮｳ,1620845,13
市谷薬王寺町,ｲﾁｶﾞﾔﾔｸｵｳｼﾞﾏﾁ,1620063,13
市谷柳町,ｲﾁｶﾞﾔﾔﾅｷﾞﾁｮｳ,1620061,13
市谷山伏町,ｲﾁｶﾞﾔﾔﾏﾌﾞｼﾁｮｳ,1620857,13
岩戸町,ｲﾜﾄﾁｮｳ,1620832,13
榎町,ｴﾉｷﾁｮｳ,1620806,13
大久保,ｵｵｸﾎﾞ,1690072,13
改代町,ｶｲﾀｲﾁｮｳ,1620802,13
神楽河岸,ｶｸﾞﾗｶﾞｼ,1620823,13
神楽坂,ｶｸﾞﾗｻﾞｶ,1620825,13
霞ケ丘町,ｶｽﾐｶﾞｵｶﾏﾁ,1600013,13
片町,ｶﾀﾏﾁ,1600001,13
歌舞伎町,ｶﾌﾞｷﾁｮｳ,1600021,13
上落合,ｶﾐｵﾁｱｲ,1610034,13
河田町,ｶﾜﾀﾞﾁｮｳ,1620054,13
喜久井町,ｷｸｲﾁｮｳ,1620044,13
北新宿,ｷﾀｼﾝｼﾞｭｸ,1690074,13
北町,ｷﾀﾏﾁ,1620834,13
北山伏町,ｷﾀﾔﾏﾌﾞｼﾁｮｳ,1620853,13
細工町,ｻｲｸﾏﾁ,1620838,13
左門町,ｻﾓﾝﾁｮｳ,1600017,13
信濃町,ｼﾅﾉﾏﾁ,1600016,13
下落合,ｼﾓｵﾁｱｲ,1610033,13
下宮比町,ｼﾓﾐﾔﾋﾞﾁｮｳ,1620822,13
白銀町,ｼﾛｶﾞﾈﾁｮｳ,1620816,13
新小川町,ｼﾝｵｶﾞﾜﾏﾁ,1620814,13
新宿,ｼﾝｼﾞｭｸ,1600022,13
水道町,ｽｲﾄﾞｳﾁｮｳ,1620811,13
須賀町,ｽｶﾞﾁｮｳ,1600018,13
住吉町,ｽﾐﾖｼﾁｮｳ,1620065,13
大京町,ﾀﾞｲｷｮｳﾁｮｳ,1600015,13
高田馬場,ﾀｶﾀﾞﾉﾊﾞﾊﾞ,1690075,13
箪笥町,ﾀﾝｽﾏﾁ,1620833,13
築地町,ﾂｷｼﾞﾏﾁ,1620818,13
津久戸町,ﾂｸﾄﾞﾁｮｳ,1620821,13
筑土八幡町,ﾂｸﾄﾞﾊﾁﾏﾝﾁｮｳ,1620815,13
天神町,ﾃﾝｼﾞﾝﾁｮｳ,1620808,13
戸塚町,ﾄﾂｶﾏﾁ,1690071,13
富久町,ﾄﾐﾋｻﾁｮｳ,1620067,13
戸山,ﾄﾔﾏ,0000000,13
内藤町,ﾅｲﾄｳﾏﾁ,1600014,13
中井,ﾅｶｲ,1610035,13
中落合,ﾅｶｵﾁｱｲ,1610032,13
中里町,ﾅｶｻﾞﾄﾁｮｳ,1620804,13
中町,ﾅｶﾁｮｳ,1620835,13
納戸町,ﾅﾝﾄﾞﾏﾁ,1620837,13
西落合,ﾆｼｵﾁｱｲ,1610031,13
西五軒町,ﾆｼｺﾞｹﾝﾁｮｳ,1620812,13
西新宿,ﾆｼｼﾝｼﾞｭｸ,1600023,13
西新宿小田急第一生命ビル,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ,1630790,13
西新宿小田急第一生命ビル　１階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ1ｶｲ,1630701,13
西新宿小田急第一生命ビル　２階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ2ｶｲ,1630702,13
西新宿小田急第一生命ビル　３階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ3ｶｲ,1630703,13
西新宿小田急第一生命ビル　４階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ4ｶｲ,1630704,13
西新宿小田急第一生命ビル　５階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ5ｶｲ,1630705,13
西新宿小田急第一生命ビル　６階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ6ｶｲ,1630706,13
西新宿小田急第一生命ビル　７階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ7ｶｲ,1630707,13
西新宿小田急第一生命ビル　８階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ8ｶｲ,1630708,13
西新宿小田急第一生命ビル　９階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ9ｶｲ,1630709,13
西新宿小田急第一生命ビル　１０階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ10ｶｲ,1630710,13
西新宿小田急第一生命ビル　１１階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ11ｶｲ,1630711,13
西新宿小田急第一生命ビル　１２階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ12ｶｲ,1630712,13
西新宿小田急第一生命ビル　１３階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ13ｶｲ,1630713,13
西新宿小田急第一生命ビル　１４階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ14ｶｲ,1630714,13
西新宿小田急第一生命ビル　１５階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ15ｶｲ,1630715,13
西新宿小田急第一生命ビル　１６階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ16ｶｲ,1630716,13
西新宿小田急第一生命ビル　１７階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ17ｶｲ,1630717,13
西新宿小田急第一生命ビル　１８階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ18ｶｲ,1630718,13
西新宿小田急第一生命ビル　１９階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ19ｶｲ,1630719,13
西新宿小田急第一生命ビル　２０階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ20ｶｲ,1630720,13
西新宿小田急第一生命ビル　２１階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ21ｶｲ,1630721,13
西新宿小田急第一生命ビル　２２階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ22ｶｲ,1630722,13
西新宿小田急第一生命ビル　２３階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ23ｶｲ,1630723,13
西新宿小田急第一生命ビル　２４階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ24ｶｲ,1630724,13
西新宿小田急第一生命ビル　２５階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ25ｶｲ,1630725,13
西新宿小田急第一生命ビル　２６階,ﾆｼｼﾝｼﾞｭｸｵﾀﾞｷｭｳﾀﾞｲｲﾁｾｲﾒｲﾋﾞﾙ26ｶｲ,1630726,13
西新宿新宿アイランドタワー,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ,1631390,13
西新宿新宿アイランドタワー　１階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ1ｶｲ,1631301,13
西新宿新宿アイランドタワー　２階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ2ｶｲ,1631302,13
西新宿新宿アイランドタワー　３階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ3ｶｲ,1631303,13
西新宿新宿アイランドタワー　４階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ4ｶｲ,1631304,13
西新宿新宿アイランドタワー　５階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ5ｶｲ,1631305,13
西新宿新宿アイランドタワー　６階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ6ｶｲ,1631306,13
西新宿新宿アイランドタワー　７階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ7ｶｲ,1631307,13
西新宿新宿アイランドタワー　８階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ8ｶｲ,1631308,13
西新宿新宿アイランドタワー　９階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ9ｶｲ,1631309,13
西新宿新宿アイランドタワー　１０階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ10ｶｲ,1631310,13
西新宿新宿アイランドタワー　１１階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ11ｶｲ,1631311,13
西新宿新宿アイランドタワー　１２階,ﾆｼｼﾝｼﾞｭｸｼﾝｼﾞｭｸｱｲﾗﾝﾄﾞﾀﾜｰ12ｶｲ,1631312,13
