another_name,another_name_kana,post_id,prefecture_id
,,0000000,9
飯室,ｲｲﾑﾛ,3291205,9
石末,ｲｼｽﾞｴ,3291225,9
太田,ｵｵﾀ,3291217,9
大谷,ｵｵﾔ,3291226,9
柿木沢,ｶｷﾉｷｻﾞﾜ,3291201,9
上阿久津,ｶﾐｱｸﾂ,3291235,9
上柏崎,ｶﾐｶｼﾜｻﾞｷ,3291212,9
上高根沢,ｶﾐﾀｶﾈｻﾞﾜ,3291224,9
亀梨,ｶﾒﾅｼ,3291211,9
給部,ｷｭｳﾌﾞ,3291215,9
栗ケ島,ｸﾘｶﾞｼﾏ,3291223,9
桑窪,ｸﾜｸﾎﾞ,3291216,9
光陽台,ｺｳﾖｳﾀﾞｲ,3291232,9
下柏崎,ｼﾓｶｼﾜｻﾞｷ,3291213,9
寺渡戸,ﾃﾗﾜﾀﾄﾞ,3291222,9
中阿久津,ﾅｶｱｸﾂ,3291234,9
中柏崎,ﾅｶｶｼﾜｻﾞｷ,3291214,9
西高谷,ﾆｼｺﾞｳﾔ,3291221,9
狭間田,ﾊｻﾏﾀ,3291202,9
花岡,ﾊﾅｵｶ,3291207,9
平田,ﾋﾗﾀ,3291206,9
伏久,ﾌｽｸ,3291203,9
文挾,ﾌﾊﾞｻﾐ,3291204,9
宝積寺,ﾎｳｼｬｸｼﾞ,3291233,9
宝石台,ﾎｳｾｷﾀﾞｲ,3291231,9
