another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
暁,ｱｶﾂｷ,0880585,1
大沢,ｵｵｻﾜ,0880353,1
大苗,ｵｵﾅｴ,0880341,1
大平,ｵｵﾋﾗ,0880353,1
大楽毛,ｵﾀﾉｼｹ,0880561,1
御札部,ｵｻｯﾍﾟ,0880342,1
御仁田,ｵﾆﾀ,0880342,1
上庶路,ｶﾐｼｮﾛ,0880583,1
上茶路,ｶﾐﾁｬﾛ,0880343,1
川島,ｶﾜｼﾏ,0880352,1
河原,ｶﾜﾊﾗ,0880353,1
川西,ｶﾜﾆｼ,0880342,1
橋西,ｷｮｳｾｲ,0880351,1
恋隠,ｺｲｶｸｼ,0880353,1
コイトイ,ｺｲﾄｲ,0880562,1
恋問,ｺｳｷﾞｮｳﾀﾞﾝﾁ,0880562,1
工業団地,ｻｶﾉｵｶ,0880569,1
坂の丘,ｻｼｳｼ,0880351,1
刺牛,ｼﾓﾁｬﾛ,0880305,1
下茶路,ｼﾓﾜﾃﾝﾍﾞﾂ,0880341,1
下和天別,ｼｮﾛ,0880351,1
庶路,ｼｮﾛﾐﾔｼﾀ,0000000,1
庶路宮下,ｼｮﾛ1ｸ,0000000,1
庶路１区,ｼｮﾛ2ｸ,0880564,1
庶路２区,ｼｮﾛｺｳｸ,0880565,1
庶路甲区,ｼｮﾛｵﾂｸ,0880563,1
庶路乙区,ｼｮﾛﾋｶﾞｼ,0880568,1
庶路東,ｼｮﾛﾆｼ,0880586,1
庶路西,ｼﾝﾇｲﾍﾞﾂ,0880587,1
新縫別,ｿｳｺﾞ,0880343,1
相互,ﾀｲｼｭｳ,0880341,1
大秋,ﾀｶﾀﾞｲ,0880352,1
高台,ﾀﾝﾀｶ,0880342,1
鍛高,ﾁﾉﾐ,0880342,1
乳呑,ﾁｬﾛ,0880581,1
茶路,ﾁｬﾛｷｮｳｴｲ,0880342,1
茶路共栄,ﾄﾏﾘﾍﾞﾂ,0880342,1
泊別,ﾅｶｼｮﾛ,0880584,1
中庶路,ﾅｶﾁｬﾛ,0880582,1
中茶路,ﾅｶﾜﾃﾝﾍﾞﾂ,0880342,1
中和天別,ﾆｼｼｮﾛﾆｼ1ｼﾞｮｳﾐﾅﾐ,0880353,1
西庶路西一条南,ﾆｼｼｮﾛﾆｼ1ｼﾞｮｳｷﾀ,0880572,1
西庶路西一条北,ﾆｼｼｮﾛﾆｼ2ｼﾞｮｳﾐﾅﾐ,0880571,1
西庶路西二条南,ﾆｼｼｮﾛﾆｼ2ｼﾞｮｳｷﾀ,0880572,1
西庶路西二条北,ﾆｼｼｮﾛﾆｼ3ｼﾞｮｳﾐﾅﾐ,0880571,1
西庶路西三条南,ﾆｼｼｮﾛﾆｼ3ｼﾞｮｳｷﾀ,0880572,1
西庶路西三条北,ﾆｼｼｮﾛﾆｼ4ｼﾞｮｳﾐﾅﾐ,0880571,1
西庶路西四条南,ﾆｼｼｮﾛﾆｼ5ｼﾞｮｳﾐﾅﾐ,0880572,1
西庶路西五条南,ﾆｼｼｮﾛﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0880572,1
西庶路東一条南,ﾆｼｼｮﾛﾋｶﾞｼ1ｼﾞｮｳｷﾀ,0880574,1
西庶路東一条北,ﾆｼｼｮﾛﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0880573,1
西庶路東二条南,ﾆｼｼｮﾛﾋｶﾞｼ2ｼﾞｮｳｷﾀ,0880574,1
西庶路東二条北,ﾆｼｼｮﾛﾋｶﾞｼ3ｼﾞｮｳﾐﾅﾐ,0880573,1
西庶路東三条南,ﾆｼｼｮﾛﾋｶﾞｼ3ｼﾞｮｳｷﾀ,0880574,1
西庶路東三条北,ﾆｼｼｮﾛｶﾞｸｴﾝﾄﾞｵﾘ,0880573,1
西庶路学園通,ﾆｼﾁｬﾛ,0880575,1
西茶路,ﾆｼ1ｼﾞｮｳﾐﾅﾐ,0880341,1
西一条南,ﾆｼ1ｼﾞｮｳｷﾀ,0880311,1
西一条北,ﾆｼ2ｼﾞｮｳﾐﾅﾐ,0880321,1
西二条南,ﾆｼ2ｼﾞｮｳｷﾀ,0880312,1
西二条北,ﾆｼ3ｼﾞｮｳｷﾀ,0880322,1
西三条北,ﾆｼ4ｼﾞｮｳｷﾀ,0880325,1
西四条北,ﾆｼ5ｼﾞｮｳｷﾀ,0880323,1
西五条北,ﾆｼ6ｼﾞｮｳｷﾀ,0880324,1
西六条北,ﾇｲﾍﾞﾂ,0880326,1
縫別,ﾊﾟｼｸﾙ,0880343,1
馬主来,ﾋｶﾞｼﾁｬﾛ,0880352,1
東茶路,ﾋｶﾞｼ1ｼﾞｮｳﾐﾅﾐ,0880341,1
東一条南,ﾋｶﾞｼ1ｼﾞｮｳｷﾀ,0880301,1
東一条北,ﾋｶﾞｼ2ｼﾞｮｳﾐﾅﾐ,0880331,1
東二条南,ﾋｶﾞｼ2ｼﾞｮｳｷﾀ,0880302,1
