another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
旭町,ｱｻﾋﾁｮｳ,9890223,4
兎作,ｳｻｷﾞｻｸ,9890228,4
延命寺北,ｴﾝﾒｲｼﾞｷﾀ,9890267,4
大川町,ｵｵｶﾜﾁｮｳ,9890254,4
大鷹沢大町,ｵｵﾀｶｻﾜｵｵﾏﾁ,9890212,4
大鷹沢鷹巣,ｵｵﾀｶｻﾜﾀｶﾉｽ,9890211,4
大鷹沢三沢,ｵｵﾀｶｻﾜﾐｻﾜ,9890213,4
大平坂谷,ｵｵﾀﾞｲﾗｻｶﾔ,9890214,4
大平中目,ｵｵﾀﾞｲﾗﾅｶﾉﾒ,9890216,4
大平森合,ｵｵﾀﾞｲﾗﾓﾘｱｲ,9890217,4
大手町,ｵｵﾃﾏﾁ,9890276,4
大畑,ｵｵﾊﾀ,9890208,4
小原,ｵﾊﾞﾗ,9890233,4
上久保,ｶﾐｸﾎﾞ,9890244,4
上堰,ｶﾐｾﾞｷ,9890202,4
北川原,ｷﾀｶﾞﾜﾗ,9890262,4
北無双作,ｷﾀﾑｿｳｻｸ,9890224,4
郡山,ｺｵﾘﾔﾏ,9890203,4
小下倉,ｺｼﾀｸﾞﾗ,9890201,4
越河,ｺｽｺﾞｳ,9890113,4
越河五賀,ｺｽｺﾞｳｺﾞｶ,9890111,4
越河平,ｺｽｺﾞｳﾀｲﾗ,9890112,4
寿山,ｺﾄﾌﾞｷﾔﾏ,9890241,4
斎川,ｻｲｶﾜ,9890215,4
幸,ｻｲﾜｲ,9890264,4
沢端,ｻﾜﾊﾞﾀ,9890278,4
沢端町,ｻﾜﾊﾞﾀﾁｮｳ,9890277,4
沢目,ｻﾜﾒ,9890243,4
清水小路,ｼﾐｽﾞｺｳｼﾞ,9890272,4
十王堂前,ｼﾞｭｳｵｳﾄﾞｳﾏｴ,9890266,4
十王堂北,ｼﾞｭｳｵｳﾄﾞｳｷﾀ,9890265,4
城南,ｼﾞｮｳﾅﾝ,9890245,4
城北町,ｼﾞｮｳﾎｸﾁｮｳ,9890255,4
白川犬卒都婆,ｼﾗｶﾜｲﾇｿﾄﾊﾞ,9891103,4
白川内親,ｼﾗｶﾜｳﾁｵﾔ,9891104,4
白川小奥,ｼﾗｶﾜｺｵｸ,9891101,4
白川津田,ｼﾗｶﾜﾂﾀﾞ,9891102,4
白鳥,ｼﾗﾄﾘ,9890734,4
白石沖,ｼﾛｲｼｵｷ,9890226,4
新館町,ｼﾝﾀﾞﾃﾁｮｳ,9890246,4
不澄ケ池,ｽﾏｽﾞｶﾞｲｹ,9890271,4
外川原,ｿﾄｶﾞﾜﾗ,9890261,4
鷹巣,ﾀｶﾉｽ,9890222,4
鷹巣東,ﾀｶﾉｽﾋｶﾞｼ,9890218,4
鷹巣西,ﾀｶﾉｽﾆｼ,9890220,4
田町,ﾀﾏﾁ,9890227,4
銚子ケ森,ﾁｮｳｼｶﾞﾓﾘ,9890229,4
寺屋敷前,ﾃﾗﾔｼｷﾏｴ,9890206,4
堂場前,ﾄﾞｳﾊﾞﾏｴ,9890207,4
中町,ﾅｶﾏﾁ,9890273,4
長町,ﾅｶﾞﾏﾁ,9890274,4
西益岡町,ﾆｼﾏｽｵｶﾁｮｳ,9890252,4
祢宜内,ﾈｷﾞｳﾁ,9890268,4
八幡町,ﾊﾁﾏﾝﾁｮｳ,9890247,4
半沢屋敷前,ﾊﾝｻﾞﾜﾔｼｷﾏｴ,9890259,4
半沢屋敷西,ﾊﾝｻﾞﾜﾔｼｷﾆｼ,9890258,4
東大畑,ﾋｶﾞｼｵｵﾊﾀ,9890205,4
東小路,ﾋｶﾞｼｺｳｼﾞ,9890253,4
東町,ﾋｶﾞｼﾁｮｳ,9890225,4
福岡蔵本,ﾌｸｵｶｸﾗﾓﾄ,9890231,4
福岡深谷,ﾌｸｵｶﾌｶﾔ,9890731,4
福岡八宮,ﾌｸｵｶﾔﾂﾐﾔ,9890733,4
福岡長袋,ﾌｸｵｶﾅｶﾞﾌｸﾛ,0000000,4
福岡長袋川寺山,ﾌｸｵｶﾅｶﾞﾌｸﾛｶﾜﾃﾗﾔﾏ,9890732,4
福岡長袋芹沢,ﾌｸｵｶﾅｶﾞﾌｸﾛｾﾘｻﾞﾜ,9890732,4
益岡町,ﾏｽｵｶﾁｮｳ,9890251,4
松ケ丘,ﾏﾂｶﾞｵｶ,9890204,4
緑が丘,ﾐﾄﾞﾘｶﾞｵｶ,9890221,4
南町,ﾐﾅﾐﾏﾁ,9890248,4
本鍛冶小路,ﾓﾄｶｼﾞｺｳｼﾞ,9890256,4
本町,ﾓﾄﾏﾁ,9890275,4
柳川原,ﾔﾅｷﾞｶﾞﾜﾗ,9890263,4
柳町,ﾔﾅｷﾞﾏﾁ,9890242,4
亘理町,ﾜﾀﾘﾏﾁ,9890257,4
