another_name,another_name_kana,post_id,prefecture_id
,,0000000,3
赤沢,ｱｶｻﾞﾜ,0283533,3
稲藤,ｲﾅﾌｼﾞ,0283451,3
犬渕,ｲﾇﾌﾞﾁ,0283311,3
犬吠森,ｲﾇﾎｴﾓﾘ,0283312,3
江柄,ｴｶﾞﾗ,0283321,3
大巻,ｵｵﾏｷ,0283314,3
片寄,ｶﾀﾖｾ,0283452,3
上平沢,ｶﾐﾋﾗｻﾜ,0283441,3
上松本,ｶﾐﾏﾂﾓﾄ,0283443,3
北沢,ｷﾀｻﾞﾜ,0283323,3
北田,ｷﾀﾀﾞ,0283536,3
北日詰,ｷﾀﾋﾂﾞﾒ,0283309,3
草刈,ｸｻｶﾘ,0283325,3
高水寺,ｺｳｽｲｼﾞ,0283303,3
小屋敷,ｺﾔｼｷ,0283444,3
桜町,ｻｸﾗﾏﾁ,0283307,3
佐比内,ｻﾋﾅｲ,0283316,3
下松本,ｼﾓﾏﾂﾓﾄ,0283446,3
紫波中央駅前,ｼﾜﾁｭｳｵｳｴｷﾏｴ,0283318,3
陣ケ岡,ｼﾞﾝｶﾞｵｶ,0283302,3
土舘,ﾂﾁﾀﾞﾃ,0283453,3
遠山,ﾄｵﾔﾏ,0283535,3
栃内,ﾄﾁﾅｲ,0283322,3
中島,ﾅｶｼﾞﾏ,0283301,3
西長岡,ﾆｼﾅｶﾞｵｶ,0283326,3
東長岡,ﾋｶﾞｼﾅｶﾞｵｶ,0283324,3
彦部,ﾋｺﾍﾞ,0283315,3
日詰,ﾋﾂﾞﾒ,0283305,3
日詰駅前,ﾋﾂﾞﾒｴｷﾏｴ,0283310,3
日詰西,ﾋﾂﾞﾒﾆｼ,0283306,3
平沢,ﾋﾗｻﾜ,0283308,3
二日町,ﾌﾂｶﾏﾁ,0283304,3
船久保,ﾌﾅｸﾎﾞ,0283532,3
星山,ﾎｼﾔﾏ,0283313,3
升沢,ﾏｽｻﾞﾜ,0283442,3
南伝法寺,ﾐﾅﾐﾃﾞﾝﾎﾞｳｼﾞ,0283445,3
南日詰,ﾐﾅﾐﾋﾂﾞﾒ,0283317,3
宮手,ﾐﾔﾃﾞ,0283447,3
紫野,ﾑﾗｻｷﾉ,0283534,3
山屋,ﾔﾏﾔ,0283531,3
吉水,ﾖｼﾐｽﾞ,0283448,3
