another_name,another_name_kana,post_id,prefecture_id
,,0000000,22
青木,ｱｵｷ,4210134,22
青沢,ｱｵｻﾜ,4228014,22
安居,ｱｺﾞ,4228012,22
有明町,ｱﾘｱｹﾁｮｳ,4228031,22
池田,ｲｹﾀﾞ,4228005,22
石田,ｲｼﾀﾞ,4228042,22
泉町,ｲｽﾞﾐﾁｮｳ,4228066,22
稲川,ｲﾅｶﾞﾜ,4228062,22
宇津ノ谷,ｳﾂﾉﾔ,4210105,22
有東,ｳﾄｳ,4228032,22
大坪町,ｵｵﾂﾎﾞﾁｮｳ,4228075,22
大谷,ｵｵﾔ,4228017,22
大和田,ｵｵﾜﾀﾞ,4210136,22
小黒,ｵｸﾞﾛ,4228072,22
小坂,ｵｻｶ,4210135,22
小鹿,ｵｼｶ,4228021,22
恩田原,ｵﾝﾀﾞﾊﾞﾗ,4228022,22
片山,ｶﾀﾔﾏ,4228023,22
鎌田,ｶﾏﾀ,4210133,22
上川原,ｶﾐｶﾜﾊﾗ,4210132,22
北丸子,ｷﾀﾏﾘｺ,4210106,22
国吉田,ｸﾆﾖｼﾀﾞ,4228004,22
栗原,ｸﾘﾊﾗ,4228008,22
光陽町,ｺｳﾖｳﾁｮｳ,4210116,22
寿町,ｺﾄﾌﾞｷﾁｮｳ,4228055,22
さつき町,ｻﾂｷﾁｮｳ,4228078,22
敷地,ｼｷｼﾞ,4228036,22
下川原,ｼﾓｶﾜﾊﾗ,4210113,22
下川原南,ｼﾓｶﾜﾊﾗﾐﾅﾐ,4210117,22
下島,ｼﾓｼﾞﾏ,4228037,22
新川,ｼﾝｶﾜ,4228064,22
石部,ｾｷﾍﾞ,4210123,22
高松,ﾀｶﾏﾂ,4228034,22
津島町,ﾂｼﾏﾁｮｳ,4228056,22
手越,ﾃｺﾞｼ,4210102,22
手越原,ﾃｺﾞｼﾊﾗ,4210131,22
寺田,ﾃﾗﾀﾞ,4210137,22
東新田,ﾄｳｼﾝﾃﾞﾝ,4210112,22
豊田,ﾄﾖﾀﾞ,4228027,22
豊原町,ﾄﾖﾊﾗﾁｮｳ,4228071,22
登呂,ﾄﾛ,4228033,22
中島,ﾅｶｼﾞﾏ,4228046,22
中田,ﾅｶﾀﾞ,4228041,22
中田本町,ﾅｶﾀﾞﾎﾝﾁｮｳ,4228043,22
中野新田,ﾅｶﾉｼﾝﾃﾞﾝ,4228051,22
中原,ﾅｶﾊﾗ,4228058,22
中平松,ﾅｶﾋﾗﾏﾂ,4228015,22
中村町,ﾅｶﾑﾗﾁｮｳ,4228047,22
中吉田,ﾅｶﾖｼﾀﾞ,4228001,22
西大谷,ﾆｼｵｵﾔ,4228018,22
西島,ﾆｼｼﾞﾏ,4228045,22
西中原,ﾆｼﾅｶﾊﾗ,4228053,22
西平松,ﾆｼﾋﾗﾏﾂ,4228016,22
西脇,ﾆｼﾜｷ,4228044,22
根古屋,ﾈｺﾞﾔ,4228011,22
東静岡,ﾋｶﾞｼｼｽﾞｵｶ,4228019,22
聖一色,ﾋｼﾞﾘｲｯｼｷ,4228007,22
平沢,ﾋﾗｻﾜ,4228003,22
広野,ﾋﾛﾉ,4210121,22
富士見台,ﾌｼﾞﾐﾀﾞｲ,4228026,22
古宿,ﾌﾙﾔﾄﾞ,4228013,22
曲金,ﾏｶﾞﾘｶﾈ,4228006,22
馬渕,ﾏﾌﾞﾁ,4228063,22
丸子,ﾏﾘｺ,4210103,22
丸子新田,ﾏﾘｺｼﾝﾃﾞﾝ,4210111,22
丸子芹が谷町,ﾏﾘｺｾﾘｶﾞﾔﾁｮｳ,4210104,22
水上,ﾐｽﾞｶﾐ,4228025,22
みずほ,ﾐｽﾞﾎ,4210115,22
見瀬,ﾐｾ,4228057,22
緑が丘町,ﾐﾄﾞﾘｶﾞｵｶﾁｮｳ,4228052,22
南安倍,ﾐﾅﾐｱﾍﾞ,4228054,22
南町,ﾐﾅﾐﾁｮｳ,4228067,22
南八幡町,ﾐﾅﾐﾔﾊﾀﾁｮｳ,4228074,22
宮川,ﾐﾔｶﾞﾜ,4228024,22
宮竹,ﾐﾔﾀｹ,4228035,22
宮本町,ﾐﾔﾓﾄﾁｮｳ,4228065,22
向敷地,ﾑｺｳｼｷｼﾞ,4210101,22
向手越,ﾑｺｳﾃｺﾞｼ,4210107,22
用宗,ﾓﾁﾑﾈ,4210122,22
用宗小石町,ﾓﾁﾑﾈｺｲｼﾁｮｳ,4210125,22
用宗城山町,ﾓﾁﾑﾈｼﾛﾔﾏﾁｮｳ,4210124,22
用宗巴町,ﾓﾁﾑﾈﾄﾓｴﾁｮｳ,4210126,22
桃園町,ﾓﾓｿﾞﾉﾁｮｳ,4210114,22
森下町,ﾓﾘｼﾀﾁｮｳ,4228061,22
谷田,ﾔﾀﾞ,4228002,22
八幡,ﾔﾊﾀ,4228076,22
八幡山,ﾔﾊﾀﾔﾏ,4228073,22
大和,ﾔﾏﾄ,4228077,22
弥生町,ﾔﾖｲﾁｮｳ,4228009,22
