another_name,another_name_kana,post_id,prefecture_id
,,0000000,12
阿部,ｱﾍﾞ,2990216,12
飯富,ｲｲﾄﾐ,2990256,12
今井,ｲﾏｲ,2990264,12
岩井,ｲﾜｲ,2990233,12
打越,ｳﾁｺｼ,2990217,12
永地,ｴｲﾁ,2990232,12
大竹,ｵｵﾀｹ,2990221,12
大鳥居,ｵｵﾄﾞﾘｲ,2990237,12
大曽根,ｵｿﾞﾈ,2990253,12
勝,ｶﾂ,2990252,12
上泉,ｶﾐｲｽﾞﾐ,2990205,12
上宮田,ｶﾐﾐﾔﾀﾞ,2990222,12
川原井,ｶﾜﾊﾗｲ,2990201,12
神納,ｶﾝﾉｳ,2990257,12
北袖,ｷﾀｿﾃﾞ,2990266,12
久保田,ｸﾎﾞﾀ,2990242,12
蔵波,ｸﾗﾅﾐ,2990243,12
蔵波台,ｸﾗﾅﾐﾀﾞｲ,2990245,12
坂戸市場,ｻｶﾄﾞｲﾁﾊﾞ,2990262,12
三箇,ｻﾝｶﾞ,2990212,12
椎の森,ｼｲﾉﾓﾘ,2990247,12
下泉,ｼﾓｲｽﾞﾐ,2990231,12
下新田,ｼﾓﾆｯﾀ,2990255,12
下根岸,ｼﾓﾈｷﾞｼ,2990214,12
下宮田,ｼﾓﾐﾔﾀﾞ,2990223,12
袖ケ浦駅前,ｿﾃﾞｶﾞｳﾗｴｷﾏｴ,2990269,12
代宿,ﾀﾞｲｼﾞｭｸ,2990241,12
高谷,ﾀｶﾔ,2990203,12
滝の口,ﾀｷﾉｸﾁ,2990226,12
玉野,ﾀﾏﾉ,2990225,12
百目木,ﾄﾞｳﾒｷ,2990213,12
堂谷,ﾄﾞｳﾔﾂ,2990215,12
中袖,ﾅｶｿﾃﾞ,2990267,12
長浦,ﾅｶﾞｳﾗ,2990265,12
長浦駅前,ﾅｶﾞｳﾗｴｷﾏｴ,2990246,12
永吉,ﾅｶﾞﾖｼ,2990204,12
奈良輪,ﾅﾗﾜ,2990263,12
野里,ﾉｻﾞﾄ,2990211,12
のぞみ野,ﾉｿﾞﾐﾉ,2990251,12
野田,ﾉﾀﾞ,2990244,12
林,ﾊﾔｼ,2990202,12
福王台,ﾌｸｵｳﾀﾞｲ,2990261,12
三黒,ﾐｸﾛ,2990235,12
三ツ作,ﾐﾂｻﾞｸ,2990254,12
南袖,ﾐﾅﾐｿﾃﾞ,2990268,12
谷中,ﾔﾅｶ,2990234,12
横田,ﾖｺﾀ,2990236,12
吉野田,ﾖｼﾉﾀﾞ,2990224,12
