another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
相川組,ｱｲｶﾜｸﾞﾐ,6562531,28
安乎町北谷,ｱｲｶﾞﾁｮｳｷﾀﾀﾞﾆ,6562124,28
安乎町中田,ｱｲｶﾞﾁｮｳﾅｶﾀﾞ,6562122,28
安乎町古宮,ｱｲｶﾞﾁｮｳﾌﾙﾐﾔ,6562123,28
安乎町平安浦,ｱｲｶﾞﾁｮｳﾍｲｱﾝｳﾗ,6562121,28
安乎町宮野原,ｱｲｶﾞﾁｮｳﾐﾔﾉﾊﾗ,6562126,28
安乎町山田原,ｱｲｶﾞﾁｮｳﾔﾏﾀﾞﾊﾗ,6562125,28
鮎屋,ｱｲﾔ,6560111,28
池田,ｲｹﾀﾞ,6560043,28
池内,ｲｹﾉｳﾁ,6560042,28
宇原,ｳﾊﾗ,6560054,28
宇山,ｳﾔﾏ,6560012,28
大野,ｵｵﾉ,6560055,28
奥畑,ｵｸﾊﾀ,6560018,28
納,ｵｻﾒ,6560101,28
小路谷,ｵﾛﾀﾞﾆ,6560023,28
海岸通,ｶｲｶﾞﾝﾄﾞｵﾘ,6560022,28
金屋,ｶﾅﾔ,6560046,28
上加茂,ｶﾐｶﾞﾓ,6560015,28
上内膳,ｶﾐﾅｲｾﾞﾝ,6560017,28
上物部,ｶﾐﾓﾉﾍﾞ,6560053,28
木戸,ｷﾄﾞ,6560045,28
桑間,ｸﾜﾏ,6560014,28
五色町鮎原鮎の郷,ｺﾞｼｷﾁｮｳｱｲﾊﾗｱﾕﾉｻﾄ,6561314,28
五色町鮎原宇谷,ｺﾞｼｷﾁｮｳｱｲﾊﾗｳﾀﾞﾆ,6561315,28
五色町鮎原上,ｺﾞｼｷﾁｮｳｱｲﾊﾗｶﾐ,6561322,28
五色町鮎原栢野,ｺﾞｼｷﾁｮｳｱｲﾊﾗｶﾔﾉ,6561316,28
五色町鮎原小山田,ｺﾞｼｷﾁｮｳｱｲﾊﾗｺﾔﾏﾀﾞ,6561317,28
五色町鮎原下,ｺﾞｼｷﾁｮｳｱｲﾊﾗｼﾓ,6561326,28
五色町鮎原神陽,ｺﾞｼｷﾁｮｳｱｲﾊﾗｼﾝﾖｳ,6561318,28
五色町鮎原田処,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾀﾄﾞｺﾛ,6561327,28
五色町鮎原葛尾,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾂﾂﾞﾗｵ,6561311,28
五色町鮎原塔下,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾄｳｹﾞ,6561323,28
五色町鮎原中邑,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾅｶﾑﾗ,6561321,28
五色町鮎原西,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾆｼ,6561313,28
五色町鮎原南谷,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾐﾅﾐﾀﾞﾆ,6561325,28
五色町鮎原三野畑,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾐﾉﾊﾀ,6561324,28
五色町鮎原吉田,ｺﾞｼｷﾁｮｳｱｲﾊﾗﾖｼﾀﾞ,6561312,28
五色町上堺,ｺﾞｼｷﾁｮｳｶﾐｻｶｲ,6561336,28
五色町下堺,ｺﾞｼｷﾁｮｳｼﾓｻｶｲ,6561337,28
五色町都志,ｺﾞｼｷﾁｮｳﾂｼ,6561301,28
五色町都志大宮,ｺﾞｼｷﾁｮｳﾂｼｵｵﾐﾔ,6561303,28
五色町都志米山,ｺﾞｼｷﾁｮｳﾂｼｺﾒﾔﾏ,6561302,28
五色町都志大日,ｺﾞｼｷﾁｮｳﾂｼﾀﾞｲﾆﾁ,6561331,28
五色町都志角川,ｺﾞｼｷﾁｮｳﾂｼﾂﾉｶﾜ,6561341,28
五色町都志万歳,ｺﾞｼｷﾁｮｳﾂｼﾏﾝｻﾞｲ,6561304,28
五色町鳥飼浦,ｺﾞｼｷﾁｮｳﾄﾘｶｲｳﾗ,6561344,28
五色町鳥飼上,ｺﾞｼｷﾁｮｳﾄﾘｶｲｶﾐ,6561342,28
五色町鳥飼中,ｺﾞｼｷﾁｮｳﾄﾘｶｲﾅｶ,6561343,28
五色町広石上,ｺﾞｼｷﾁｮｳﾋﾛｲｼｶﾐ,6561333,28
五色町広石北,ｺﾞｼｷﾁｮｳﾋﾛｲｼｷﾀ,6561332,28
五色町広石下,ｺﾞｼｷﾁｮｳﾋﾛｲｼｼﾓ,6561335,28
五色町広石中,ｺﾞｼｷﾁｮｳﾋﾛｲｼﾅｶ,6561334,28
栄町,ｻｶｴﾏﾁ,6560026,28
塩屋,ｼｵﾔ,6560021,28
下加茂,ｼﾓｶﾞﾓ,6560013,28
下内膳,ｼﾓﾅｲｾﾞﾝ,6560016,28
新村,ｼﾝﾑﾗ,6560041,28
炬口,ﾀｹﾉｸﾁ,6560011,28
千草,ﾁｸｻ,6560031,28
津田,ﾂﾀﾞ,6560052,28
中川原町厚浜,ﾅｶｶﾞﾜﾗﾁｮｳｱﾂﾊﾏ,6560001,28
中川原町市原,ﾅｶｶﾞﾜﾗﾁｮｳｲﾁﾊﾞﾗ,6560005,28
中川原町中川原,ﾅｶｶﾞﾜﾗﾁｮｳﾅｶｶﾞﾜﾗ,6560002,28
中川原町二ツ石,ﾅｶｶﾞﾜﾗﾁｮｳﾌﾀﾂｲｼ,6560006,28
中川原町三木田,ﾅｶｶﾞﾜﾗﾁｮｳﾐｷﾀﾞ,6560003,28
中川原町安坂,ﾅｶｶﾞﾜﾗﾁｮｳﾔｽｻｶ,6560004,28
中津川組,ﾅｶﾂｶﾞﾜｸﾞﾐ,6562532,28
畑田組,ﾊﾀﾀﾞｸﾞﾐ,6562533,28
本町,ﾎﾝﾏﾁ,6560025,28
前平,ﾏｴﾋﾗ,6560044,28
港,ﾐﾅﾄ,6560027,28
物部,ﾓﾉﾍﾞ,6560051,28
山手,ﾔﾏﾃ,6560024,28
由良,ﾕﾗ,6562541,28
由良町内田,ﾕﾗﾁｮｳｳﾁﾀﾞ,6562542,28
由良町由良,ﾕﾗﾁｮｳﾕﾗ,6562543,28
