another_name,another_name_kana,post_id,prefecture_id
,,0000000,20
赤羽根,ｱｶﾊﾈ,3920011,20
大手,ｵｵﾃ,3920026,20
岡村,ｵｶﾑﾗ,3920005,20
沖田町,ｵｷﾀﾏﾁ,3920013,20
大和,ｵﾜ,3920001,20
上川,ｶﾐｶﾞﾜ,3920021,20
上諏訪,ｶﾐｽﾜ,3920003,20
霧ケ峰,ｷﾘｶﾞﾐﾈ,3920008,20
湖岸通り,ｺｶﾞﾝﾄﾞｵﾘ,3920027,20
湖南,ｺﾅﾐ,3920131,20
小和田,ｺﾜﾀ,3920024,20
小和田南,ｺﾜﾀﾐﾅﾐ,3920023,20
四賀,ｼｶﾞ,3920012,20
渋崎,ｼﾌﾞｻｷ,3920010,20
清水,ｼﾐｽﾞ,3920007,20
城南,ｼﾞｮｳﾅﾝ,3920017,20
末広,ｽｴﾋﾛ,3920025,20
杉菜池,ｽｷﾞﾅｲｹ,3920009,20
諏訪,ｽﾜ,3920004,20
高島,ﾀｶｼﾏ,3920022,20
豊田,ﾄﾖﾀﾞ,3920016,20
中洲,ﾅｶｽ,3920015,20
南町,ﾐﾅﾐﾏﾁ,3920014,20
元町,ﾓﾄﾏﾁ,3920006,20
湯の脇,ﾕﾉﾜｷ,3920002,20
