another_name,another_name_kana,post_id,prefecture_id
,,0000000,17
飯田町,ｲｲﾀﾞﾏﾁ,9271214,17
石神町,ｲｼｶﾞﾐﾏﾁ,9271303,17
岩坂町,ｲﾜｻｶﾏﾁ,9271211,17
上戸町寺社,ｳｴﾄﾞﾏﾁｼﾞｼｬ,9271216,17
上戸町南方,ｳｴﾄﾞﾏﾁﾐﾅﾐｶﾞﾀ,9271217,17
上戸町北方,ｳｴﾄﾞﾏﾁｷﾀｶﾞﾀ,9271215,17
大谷町,ｵｵﾀﾆﾏﾁ,9271321,17
折戸町,ｵﾘﾄﾏﾁ,9271446,17
片岩町,ｶﾀｲﾜﾏﾁ,9271323,17
唐笠町,ｶﾗｶｻﾏﾁ,9271445,17
唐笠町八ケ山,ｶﾗｶｻﾏﾁﾊｯｶﾔﾏ,9271444,17
川浦町,ｶﾜｳﾗﾏﾁ,9271447,17
熊谷町,ｸﾏﾝﾀﾆﾏﾁ,9271212,17
笹波町,ｻｻﾅﾐﾏﾁ,9271302,17
清水町,ｼﾐｽﾞﾏﾁ,9271324,17
正院町飯塚,ｼｮｳｲﾝﾏﾁｲｲﾂﾞｶ,9271202,17
正院町岡田,ｼｮｳｲﾝﾏﾁｵｶﾀ,9271201,17
正院町川尻,ｼｮｳｲﾝﾏﾁｶﾜｼﾘ,9271205,17
正院町小路,ｼｮｳｲﾝﾏﾁｺｳｼﾞ,9271207,17
正院町正院,ｼｮｳｲﾝﾏﾁｼｮｳｲﾝ,9271206,17
正院町平床,ｼｮｳｲﾝﾏﾁﾋﾗﾄｺ,9271203,17
高屋町,ﾀｶﾔﾏﾁ,9271301,17
蛸島町,ﾀｺｼﾞﾏﾏﾁ,9271204,17
長橋町,ﾅｶﾞﾊｼﾏﾁ,9271322,17
仁江町,ﾆｴﾏﾁ,9271325,17
野々江町,ﾉﾉｴﾏﾁ,9271213,17
狼煙新町,ﾉﾛｼｼﾝﾏﾁ,9271442,17
狼煙町,ﾉﾛｼﾏﾁ,9271441,17
東山中町,ﾋｶﾞｼﾔﾏﾅｶﾏﾁ,9271443,17
宝立町鵜飼,ﾎｳﾘｭｳﾏﾁｳｶｲ,9271222,17
宝立町鵜島,ﾎｳﾘｭｳﾏﾁｳｼﾏ,9271223,17
宝立町大町泥木,ﾎｳﾘｭｳﾏﾁｵｵﾏﾁﾄﾞﾛﾉｷ,9271227,17
宝立町柏原,ﾎｳﾘｭｳﾏﾁｶｼﾊﾗ,9271228,17
宝立町春日野,ﾎｳﾘｭｳﾏﾁｶｽｶﾞﾉ,9271221,17
宝立町黒峰,ﾎｳﾘｭｳﾏﾁｸﾛﾐﾈ,9271228,17
宝立町金峰寺,ﾎｳﾘｭｳﾏﾁｺﾝﾎﾟｳｼﾞ,9271221,17
宝立町宗玄,ﾎｳﾘｭｳﾏﾁｿｳｹﾞﾝ,9271225,17
宝立町馬渡,ﾎｳﾘｭｳﾏﾁﾏﾜﾀﾘ,9271226,17
宝立町南黒丸,ﾎｳﾘｭｳﾏﾁﾐﾅﾐｸﾛﾏﾙ,9271224,17
宝立町二艘丹,ﾎｳﾘｭｳﾏﾁﾆｿｳﾌﾈ,9271227,17
真浦町,ﾏｳﾗﾏﾁ,9271326,17
馬緤町,ﾏﾂﾅｷﾞﾏﾁ,9271304,17
三崎町粟津,ﾐｻｷﾏﾁｱﾜﾂﾞ,9271452,17
三崎町宇治,ﾐｻｷﾏﾁｳｼﾞ,9271454,17
三崎町大屋,ﾐｻｷﾏﾁｵｵﾔ,9271457,17
三崎町高波,ﾐｻｷﾏﾁｺｳﾅﾐ,9271456,17
三崎町小泊,ﾐｻｷﾏﾁｺﾄﾞﾏﾘ,9271462,17
三崎町寺家,ﾐｻｷﾏﾁｼﾞｹ,9271451,17
三崎町杉山,ﾐｻｷﾏﾁｽｷﾞﾔﾏ,9271466,17
三崎町内方,ﾐｻｷﾏﾁﾅｲﾎｳ,9271468,17
三崎町二本松,ﾐｻｷﾏﾁﾆﾎﾝﾏﾂ,9271465,17
三崎町引砂,ﾐｻｷﾏﾁﾋｷｽﾅ,9271455,17
三崎町伏見,ﾐｻｷﾏﾁﾌｼﾐ,9271461,17
三崎町細屋,ﾐｻｷﾏﾁﾎｿﾔ,9271464,17
三崎町本,ﾐｻｷﾏﾁﾎﾝ,9271467,17
三崎町雲津,ﾐｻｷﾏﾁﾓﾂﾞ,9271463,17
三崎町森腰,ﾐｻｷﾏﾁﾓﾘｺｼ,9271453,17
若山町宇都山,ﾜｶﾔﾏﾏﾁｳﾂﾔﾏ,9271237,17
若山町上黒丸,ﾜｶﾔﾏﾏﾁｶﾐｸﾛﾏﾙ,9271314,17
若山町上正力,ﾜｶﾔﾏﾏﾁｶﾐｼｮｳﾘｷ,9271311,17
若山町上山,ﾜｶﾔﾏﾏﾁｶﾐﾔﾏ,9271317,17
若山町北山,ﾜｶﾔﾏﾏﾁｷﾀﾔﾏ,9271318,17
若山町経念,ﾜｶﾔﾏﾏﾁｷｮｳﾈﾝ,9271234,17
若山町白滝,ﾜｶﾔﾏﾏﾁｼﾗﾀｷ,9271315,17
若山町鈴内,ﾜｶﾔﾏﾏﾁｽｽﾞﾅｲ,9271231,17
若山町出田,ﾜｶﾔﾏﾏﾁｽｯﾀ,9271233,17
若山町洲巻,ﾜｶﾔﾏﾏﾁｽﾏｷ,9271316,17
若山町大坊,ﾜｶﾔﾏﾏﾁﾀﾞｲﾎﾞｳ,9271237,17
若山町中,ﾜｶﾔﾏﾏﾁﾅｶ,9271236,17
若山町中田,ﾜｶﾔﾏﾏﾁﾅｶﾀﾞ,9271235,17
若山町延武,ﾜｶﾔﾏﾏﾁﾉﾌﾞﾀｹ,9271238,17
若山町火宮,ﾜｶﾔﾏﾏﾁﾋﾐﾔ,9271238,17
若山町広栗,ﾜｶﾔﾏﾏﾁﾋﾛｸﾞﾘ,9271232,17
若山町二子,ﾜｶﾔﾏﾏﾁﾌﾀｺﾞ,9271312,17
若山町古蔵,ﾜｶﾔﾏﾏﾁﾌﾙｸﾗ,9271239,17
若山町南山,ﾜｶﾔﾏﾏﾁﾐﾅﾐﾔﾏ,9271315,17
若山町向,ﾜｶﾔﾏﾏﾁﾑｶｲ,9271235,17
若山町宗末,ﾜｶﾔﾏﾏﾁﾑﾈｽｴ,9271313,17
若山町吉ケ池,ﾜｶﾔﾏﾏﾁﾖｼｶﾞｲｹ,9271319,17
