another_name,another_name_kana,post_id,prefecture_id
,,0000000,40
伊加利,ｲｶﾘ,8250001,40
伊田,ｲﾀ,8250002,40
伊田町,ｲﾀﾏﾁ,8250015,40
位登,ｲﾄｳ,8260044,40
位登清美町,ｲﾄｳｷﾖﾐﾁｮｳ,8260044,40
猪国,ｲﾉｸﾆ,8260045,40
魚町,ｳｵﾏﾁ,8250014,40
春日町,ｶｽｶﾞﾏﾁ,8260026,40
上本町,ｶﾐﾎﾝﾏﾁ,8260023,40
川宮,ｶﾜﾐﾔ,8260042,40
川宮大藪,ｶﾜﾐﾔｵｵﾔﾌﾞ,8260042,40
川宮新生町,ｶﾜﾐﾔｼﾝｾｲﾁｮｳ,8260042,40
川宮高住町,ｶﾜﾐﾔﾀｶｽﾐﾁｮｳ,8260042,40
川宮平岡,ｶﾜﾐﾔﾋﾗｵｶ,8260042,40
寿町,ｺﾄﾌﾞｷﾏﾁ,8250017,40
栄町,ｻｶｴﾏﾁ,8250011,40
桜町,ｻｸﾗﾏﾁ,8260021,40
白鳥町,ｼﾗﾄﾘﾏﾁ,8250003,40
新町,ｼﾝﾏﾁ,8250016,40
大黒町,ﾀﾞｲｺｸﾏﾁ,8260025,40
中央町,ﾁｭｳｵｳﾏﾁ,8250013,40
千代町,ﾁﾖﾏﾁ,8260031,40
夏吉,ﾅﾂﾖｼ,8250004,40
奈良,ﾅﾗ,8260043,40
奈良青葉町,ﾅﾗｱｵﾊﾞﾁｮｳ,8260043,40
奈良大浦,ﾅﾗｵｵｳﾗ,8260043,40
奈良会社町,ﾅﾗｶｲｼｬﾏﾁ,8260043,40
奈良霞ケ丘,ﾅﾗｶｽﾐｶﾞｵｶ,8260043,40
奈良後藤寺西団地,ﾅﾗｺﾞﾄｳｼﾞﾆｼﾀﾞﾝﾁ,8260043,40
奈良後藤寺東団地,ﾅﾗｺﾞﾄｳｼﾞﾋｶﾞｼﾀﾞﾝﾁ,8260043,40
奈良希望ケ丘,ﾅﾗﾉｿﾞﾐｶﾞｵｶ,8260043,40
奈良松の木,ﾅﾗﾏﾂﾉｷ,8260043,40
奈良三井後藤寺,ﾅﾗﾐﾂｲｺﾞﾄｳｼﾞ,8260043,40
奈良緑町,ﾅﾗﾐﾄﾞﾘﾏﾁ,8260043,40
奈良月見ケ丘,ﾅﾗﾂｷﾐｶﾞｵｶ,8260043,40
西本町,ﾆｼﾎﾝﾏﾁ,8260024,40
番田町,ﾊﾞﾝﾀﾞﾏﾁ,8250018,40
日の出町,ﾋﾉﾃﾞﾏﾁ,8250012,40
平松町,ﾋﾗﾏﾂﾏﾁ,8260032,40
糒,ﾎｼｲ,8250005,40
本町,ﾎﾝﾏﾁ,8260022,40
丸山町,ﾏﾙﾔﾏﾏﾁ,8260033,40
宮尾町,ﾐﾔｵﾏﾁ,8260027,40
弓削田,ﾕｹﾞﾀ,8260041,40
弓削田角銅原,ﾕｹﾞﾀｶｸﾄﾞｳﾊﾞﾙ,8260041,40
弓削田野上,ﾕｹﾞﾀﾉｶﾞﾐ,8260041,40
弓削田船尾,ﾕｹﾞﾀﾌﾅｵ,8260041,40
弓削田見立,ﾕｹﾞﾀﾐﾀﾃ,8260041,40
弓削田文字山,ﾕｹﾞﾀﾓｼﾞﾔﾏ,8260041,40
