another_name,another_name_kana,post_id,prefecture_id
,,0000000,23
相川町,ｱｲｶﾜﾁｮｳ,4413418,23
赤石,ｱｶｲｼ,4413422,23
赤羽根町,ｱｶﾊﾞﾈﾁｮｳ,4413502,23
芦町,ｱｼﾁｮｳ,4413433,23
伊川津町,ｲｶﾜﾂﾞﾁｮｳ,4413604,23
池尻町,ｲｹｼﾘﾁｮｳ,4413505,23
石神町,ｲｼｶﾞﾐﾁｮｳ,4413611,23
伊良湖町,ｲﾗｺﾞﾁｮｳ,4413624,23
宇津江町,ｳﾂﾞｴﾁｮｳ,4413601,23
浦町,ｳﾗﾁｮｳ,4413403,23
江比間町,ｴﾋﾏﾁｮｳ,4413605,23
大草町,ｵｵｸｻﾁｮｳ,4413425,23
大久保町,ｵｵｸﾎﾞﾁｮｳ,4413426,23
越戸町,ｵｯﾄﾁｮｳ,4413504,23
折立町,ｵﾘﾀﾁﾁｮｳ,4413608,23
加治町,ｶｼﾞﾁｮｳ,4413427,23
片西,ｶﾀﾆｼ,4413409,23
片浜町,ｶﾀﾊﾏﾁｮｳ,4413404,23
亀山町,ｶﾒﾔﾏﾁｮｳ,4413625,23
神戸町,ｶﾝﾍﾞﾁｮｳ,4413415,23
光崎,ｺｳｻｷ,4413407,23
小塩津町,ｺｼｵﾂﾞﾁｮｳ,4413626,23
古田町,ｺﾀﾞﾁｮｳ,4413613,23
御殿山,ｺﾞﾃﾝﾔﾏ,4413419,23
小中山町,ｺﾅｶﾔﾏﾁｮｳ,4413618,23
白浜,ｼﾗﾊﾏ,4413436,23
白谷町,ｼﾛﾔﾁｮｳ,4413431,23
高木町,ﾀｶｷﾁｮｳ,4413612,23
高松町,ﾀｶﾏﾂﾁｮｳ,4413501,23
田原町,ﾀﾊﾗﾁｮｳ,4413421,23
豊島町,ﾄｼﾏﾁｮｳ,4413417,23
長沢町,ﾅｶﾞｻﾜﾁｮｳ,4413609,23
中山町,ﾅｶﾔﾏﾁｮｳ,4413615,23
仁崎町,ﾆｻｷﾁｮｳ,4413435,23
西神戸町,ﾆｼｶﾝﾍﾞﾁｮｳ,4413423,23
西山町,ﾆｼﾔﾏﾁｮｳ,4413619,23
野田町,ﾉﾀﾞﾁｮｳ,4413432,23
波瀬町,ﾊｾﾞﾁｮｳ,4413406,23
八王子町,ﾊﾁｵｳｼﾞﾁｮｳ,4413602,23
馬伏町,ﾊﾞﾌﾞｼﾁｮｳ,4413606,23
日出町,ﾋｲﾁｮｳ,4413623,23
東赤石,ﾋｶﾞｼｱｶｲｼ,4413416,23
東神戸町,ﾋｶﾞｼｶﾝﾍﾞﾁｮｳ,4413414,23
姫見台,ﾋﾒﾐﾀﾞｲ,4413405,23
福江町,ﾌｸｴﾁｮｳ,4413617,23
保美町,ﾎﾋﾞﾁｮｳ,4413614,23
堀切町,ﾎﾘｷﾘﾁｮｳ,4413627,23
ほると台,ﾎﾙﾄﾀﾞｲ,4413434,23
緑が浜,ﾐﾄﾞﾘｶﾞﾊﾏ,4413401,23
南神戸町,ﾐﾅﾐｶﾝﾍﾞﾁｮｳ,4413424,23
向山町,ﾑｶｲﾔﾏﾁｮｳ,4413616,23
六連町,ﾑﾂﾚﾁｮｳ,4413413,23
村松町,ﾑﾗﾏﾂﾁｮｳ,4413603,23
やぐま台,ﾔｸﾞﾏﾀﾞｲ,4413411,23
谷熊町,ﾔｸﾞﾏﾁｮｳ,4413412,23
山田町,ﾔﾏﾀﾞﾁｮｳ,4413621,23
夕陽が浜,ﾕｳﾋｶﾞﾊﾏ,4413607,23
吉胡台,ﾖｼｺﾞﾀﾞｲ,4413408,23
吉胡町,ﾖｼｺﾞﾁｮｳ,4413402,23
若見町,ﾜｶﾐﾁｮｳ,4413503,23
和地町,ﾜｼﾞﾁｮｳ,4413622,23
