another_name,another_name_kana,post_id,prefecture_id
,,0000000,29
市尾,ｲﾁｵ,6350123,29
越智,ｵﾁ,6350144,29
上子島,ｶﾐｺｼﾏ,6350104,29
上土佐,ｶﾐﾄｻ,6350152,29
観覚寺,ｶﾝｶﾞｸｼﾞ,6350154,29
吉備,ｷﾋﾞ,6350133,29
車木,ｸﾙﾏｷ,6350143,29
佐田,ｻﾀﾞ,6350131,29
薩摩,ｻﾂﾏ,6350134,29
清水谷,ｼﾐｽﾞﾀﾆ,6350103,29
下子島,ｼﾓｺｼﾏ,6350151,29
下土佐,ｼﾓﾄｻ,6350153,29
田井庄,ﾀｲﾉｼｮｳ,6350135,29
高取,ﾀｶﾄﾘ,6350101,29
壺阪,ﾂﾎﾞｻｶ,6350102,29
寺崎,ﾃﾗｻｷ,6350142,29
丹生谷,ﾆｳﾀﾞﾆ,6350121,29
兵庫,ﾋｮｳｺﾞ,6350136,29
藤井,ﾌｼﾞｲ,6350112,29
羽内,ﾎｳﾁ,6350113,29
松山,ﾏﾂﾔﾏ,6350111,29
森,ﾓﾘ,6350132,29
谷田,ﾔﾀ,6350122,29
与楽,ﾖｳﾗｸ,6350141,29
