another_name,another_name_kana,post_id,prefecture_id
,,0000000,37
茜町,ｱｶﾈﾁｮｳ,7600002,37
朝日新町,ｱｻﾋｼﾝﾏﾁ,7600064,37
朝日町,ｱｻﾋﾏﾁ,7600065,37
庵治町,ｱｼﾞﾁｮｳ,7610130,37
飯田町,ｲｲﾀﾞﾁｮｳ,7618033,37
生島町,ｲｸｼﾏﾁｮｳ,7618002,37
井口町,ｲｸﾞﾁﾏﾁ,7600038,37
池田町,ｲｹﾀﾞﾁｮｳ,7610444,37
一宮町,ｲﾁﾉﾐﾔﾁｮｳ,7618084,37
今里町,ｲﾏｻﾞﾄﾁｮｳ,7600078,37
今新町,ｲﾏｼﾞﾝﾏﾁ,7600043,37
植松町,ｳｴﾏﾂﾁｮｳ,7618005,37
内町,ｳﾁﾏﾁ,7600034,37
円座町,ｴﾝｻﾞﾁｮｳ,7618044,37
扇町,ｵｳｷﾞﾏﾁ,7600013,37
太田上町,ｵｵﾀｶﾐﾏﾁ,7618074,37
太田下町,ｵｵﾀｼﾓﾏﾁ,7618073,37
岡本町,ｵｶﾓﾄﾁｮｳ,7618047,37
男木町,ｵｷﾞﾁｮｳ,7600091,37
小村町,ｵﾓﾚﾁｮｳ,7610431,37
香川町浅野,ｶｶﾞﾜﾁｮｳｱｻﾉ,7611703,37
香川町大野,ｶｶﾞﾜﾁｮｳｵｵﾉ,7611701,37
香川町川内原,ｶｶﾞﾜﾁｮｳｶﾜﾅｲﾊﾗ,7611704,37
香川町川東上,ｶｶﾞﾜﾁｮｳｶﾜﾋｶﾞｼｶﾐ,7611706,37
香川町川東下,ｶｶﾞﾜﾁｮｳｶﾜﾋｶﾞｼｼﾓ,7611705,37
香川町寺井,ｶｶﾞﾜﾁｮｳﾃﾗｲ,7611702,37
香川町東谷,ｶｶﾞﾜﾁｮｳﾋｶﾞｼﾀﾆ,7611707,37
香川町安原下,ｶｶﾞﾜﾁｮｳﾔｽﾊﾗｼﾓ,7611708,37
鍛冶屋町,ｶｼﾞﾔﾏﾁ,7600028,37
春日町,ｶｽｶﾞﾁｮｳ,7610101,37
片原町,ｶﾀﾊﾗﾏﾁ,7600040,37
鹿角町,ｶﾉﾂﾉﾁｮｳ,7618082,37
上天神町,ｶﾐﾃﾝｼﾞﾝﾁｮｳ,7618056,37
上之町,ｶﾐﾉﾁｮｳ,7618064,37
上林町,ｶﾐﾊﾔｼﾁｮｳ,7610302,37
上福岡町,ｶﾐﾌｸｵｶﾁｮｳ,7600077,37
紙町,ｶﾐﾏﾁ,7618055,37
亀井町,ｶﾒｲﾁｮｳ,7600050,37
亀岡町,ｶﾒｵｶﾁｮｳ,7600006,37
亀田町,ｶﾒﾀﾞﾁｮｳ,7610323,37
亀田南町,ｶﾒﾀﾞﾐﾅﾐﾏﾁ,7610432,37
川島東町,ｶﾜｼﾏﾋｶﾞｼﾏﾁ,7610443,37
川島本町,ｶﾜｼﾏﾎﾝﾏﾁ,7610442,37
川部町,ｶﾜﾅﾍﾞﾁｮｳ,7618046,37
瓦町,ｶﾜﾗﾏﾁ,7600052,37
観光町,ｶﾝｺｳﾁｮｳ,7600076,37
観光通,ｶﾝｺｳﾄﾞｵﾘ,7600055,37
木太町,ｷﾀﾁｮｳ,7600080,37
北浜町,ｷﾀﾊﾏﾁｮｳ,7600031,37
鬼無町鬼無,ｷﾅｼﾁｮｳｷﾅｼ,7618026,37
鬼無町是竹,ｷﾅｼﾁｮｳｺﾚﾀｹ,7618021,37
鬼無町佐藤,ｷﾅｼﾁｮｳｻﾄｳ,7618023,37
鬼無町佐料,ｷﾅｼﾁｮｳｻﾘｮｳ,7618022,37
鬼無町藤井,ｷﾅｼﾁｮｳﾌｼﾞｲ,7618024,37
鬼無町山口,ｷﾅｼﾁｮｳﾔﾏｸﾞﾁ,7618025,37
楠上町,ｸｽｶﾞﾐﾁｮｳ,7600075,37
香西東町,ｺｳｻﾞｲﾋｶﾞｼﾏﾁ,7618013,37
香西西町,ｺｳｻﾞｲﾆｼﾏﾁ,7618015,37
香西南町,ｺｳｻﾞｲﾐﾅﾐﾏﾁ,7618014,37
香西北町,ｺｳｻﾞｲｷﾀﾏﾁ,7618011,37
香西本町,ｺｳｻﾞｲﾎﾝﾏﾁ,7618012,37
郷東町,ｺﾞｳﾄｳﾁｮｳ,7618031,37
香南町池内,ｺｳﾅﾝﾁｮｳｲｹﾉｳﾁ,7611405,37
香南町岡,ｺｳﾅﾝﾁｮｳｵｶ,7611401,37
香南町西庄,ｺｳﾅﾝﾁｮｳﾆｼﾉｼｮｳ,7611406,37
香南町由佐,ｺｳﾅﾝﾁｮｳﾕｻ,7611402,37
香南町横井,ｺｳﾅﾝﾁｮｳﾖｺｲ,7611404,37
香南町吉光,ｺｳﾅﾝﾁｮｳﾖｼﾐﾂ,7611403,37
国分寺町柏原,ｺｸﾌﾞﾝｼﾞﾁｮｳｶｼﾊﾗ,7690105,37
国分寺町国分,ｺｸﾌﾞﾝｼﾞﾁｮｳｺｸﾌﾞ,7690102,37
国分寺町新名,ｺｸﾌﾞﾝｼﾞﾁｮｳｼﾝﾐｮｳ,7690104,37
国分寺町新居,ｺｸﾌﾞﾝｼﾞﾁｮｳﾆｲ,7690101,37
国分寺町福家,ｺｸﾌﾞﾝｼﾞﾁｮｳﾌｹ,7690103,37
寿町,ｺﾄﾌﾞｷﾁｮｳ,7600023,37
御坊町,ｺﾞﾎﾞｳﾏﾁ,7600044,37
紺屋町,ｺﾝﾔﾏﾁ,7600027,37
西宝町,ｻｲﾎｳﾁｮｳ,7600004,37
幸町,ｻｲﾜｲﾁｮｳ,7600016,37
桜町,ｻｸﾗﾏﾁ,7600074,37
三条町,ｻﾝｼﾞｮｳﾁｮｳ,7618072,37
サンポート,ｻﾝﾎﾟｰﾄ,7600019,37
三名町,ｻﾝﾐｮｳﾁｮｳ,7618083,37
紫雲町,ｼｳﾝﾁｮｳ,7600015,37
塩上町,ｼｵｶﾞﾐﾁｮｳ,7600062,37
塩江町上西乙,ｼｵﾉｴﾁｮｳｶﾐﾆｼｵﾂ,7611614,37
塩江町上西甲,ｼｵﾉｴﾁｮｳｶﾐﾆｼｺｳ,7611613,37
塩江町安原上,ｼｵﾉｴﾁｮｳﾔｽﾊﾗｶﾐ,7611611,37
塩江町安原上東,ｼｵﾉｴﾁｮｳﾔｽﾊﾗｶﾐﾋｶﾞｼ,7611612,37
塩江町安原下,ｼｵﾉｴﾁｮｳﾔｽﾊﾗｼﾓ,0000000,37
塩江町安原下上小田,ｼｵﾉｴﾁｮｳﾔｽﾊﾗｼﾓｶﾐｺﾀ,7611615,37
塩江町安原下炭谷,ｼｵﾉｴﾁｮｳﾔｽﾊﾗｼﾓｽﾐﾔ,7611615,37
塩屋町,ｼｵﾔﾏﾁ,7600047,37
下田井町,ｼﾓﾀｲﾁｮｳ,7610313,37
出作町,ｼｭﾂｻｸﾁｮｳ,7618077,37
城東町,ｼﾞｮｳﾄｳﾁｮｳ,7600036,37
昭和町,ｼｮｳﾜﾁｮｳ,7600014,37
新北町,ｼﾝｷﾀﾏﾁ,7600001,37
神在川窪町,ｼﾝｻﾞｲｶﾜｸﾎﾞﾁｮｳ,7618003,37
新田町甲,ｼﾝﾃﾞﾝﾁｮｳｺｳ,7610102,37
新田町乙,ｼﾝﾃﾞﾝﾁｮｳｵﾂ,7610103,37
末広町,ｽｴﾋﾛﾁｮｳ,7600060,37
菅沢町,ｽｹﾞｻﾞﾜﾁｮｳ,7611616,37
瀬戸内町,ｾﾄｳﾁﾁｮｳ,7600012,37
十川東町,ｿｶﾞﾜﾋｶﾞｼﾏﾁ,7610434,37
十川西町,ｿｶﾞﾜﾆｼﾏﾁ,7610433,37
高松町,ﾀｶﾏﾂﾁｮｳ,7610104,37
多賀町,ﾀｶﾞﾁｮｳ,7600063,37
多肥上町,ﾀﾋｶﾐﾏﾁ,7618076,37
