another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
大野見荒瀬,ｵｵﾉﾐｱﾗｾ,7891413,39
大野見神母野,ｵｵﾉﾐｲｹﾞﾉ,7891414,39
大野見伊勢川,ｵｵﾉﾐｲｾｶﾞﾜ,7891405,39
大野見大股,ｵｵﾉﾐｵｵﾏﾀ,7891418,39
大野見川奥,ｵｵﾉﾐｶﾜｵｸ,7891412,39
大野見下ル川,ｵｵﾉﾐｸﾀﾞﾙｶﾜ,7891416,39
大野見久万秋,ｵｵﾉﾐｸﾏｱｷ,7891403,39
大野見島ノ川,ｵｵﾉﾐｼﾏﾉｶﾞﾜ,7891419,39
大野見竹原,ｵｵﾉﾐﾀｹﾊﾗ,7891409,39
大野見栂ノ川,ｵｵﾉﾐﾂｶﾞﾉｶﾜ,7891410,39
大野見寺野,ｵｵﾉﾐﾃﾗﾉ,7891415,39
大野見野老野,ｵｵﾉﾐﾄｺﾛﾉ,7891411,39
大野見長野,ｵｵﾉﾐﾅｶﾞﾉ,7891408,39
大野見奈路,ｵｵﾉﾐﾅﾛ,7891404,39
大野見萩中,ｵｵﾉﾐﾊｷﾞﾅｶ,7891417,39
大野見橋谷,ｵｵﾉﾐﾊｼﾀﾞﾆ,7891402,39
大野見槇野々,ｵｵﾉﾐﾏｷﾉﾉ,7891406,39
大野見三ツ又,ｵｵﾉﾐﾐﾂﾏﾀ,7891407,39
大野見吉野,ｵｵﾉﾐﾖｼﾉ,7891401,39
上ノ加江,ｶﾐﾉｶｴ,7891302,39
久礼,ｸﾚ,7891301,39
矢井賀乙,ﾔｲｶｵﾂ,7891304,39
矢井賀甲,ﾔｲｶｺｳ,7891303,39
