another_name,another_name_kana,post_id,prefecture_id
,,0000000,39
飯母,ｲｲﾎﾞ,7850611,39
井高,ｲｺｳ,7850666,39
井の谷,ｲﾉﾀﾆ,7850602,39
上成,ｳﾜﾅﾛ,7850641,39
太田戸,ｵｵﾀﾄﾞ,7850603,39
大野地,ｵｵﾉｼﾞ,7850626,39
大向,ｵｵﾑｶｲ,7850771,39
大蔵谷,ｵｿﾞｳﾀﾆ,7850613,39
本も谷,ｵﾓﾀﾞﾆ,7850652,39
影野地,ｶｹﾞﾉｼﾞ,7850627,39
上折渡,ｶﾐｵﾘﾜﾀﾘ,7850625,39
上組,ｶﾐｸﾞﾐ,7850654,39
上西の川,ｶﾐﾆｼﾉｶﾜ,7850646,39
神の山,ｶﾐﾉﾔﾏ,7850664,39
上本村,ｶﾐﾎﾝﾑﾗ,7850606,39
家籠戸,ｶﾛｳﾄ,7850776,39
川井,ｶﾜｲ,7850635,39
川口,ｶﾜｸﾞﾁ,7850636,39
川西路,ｶﾜﾆｼｼﾞ,7850612,39
神在居,ｶﾝｻﾞｲｺ,7850622,39
久保谷,ｸﾎﾞﾀﾆ,7850774,39
東向,ｺﾁﾑｷ,7850657,39
後別当,ｺﾞﾍﾞｯﾄｳ,7850608,39
坂本川,ｻｶﾓﾄｶﾞﾜ,7850662,39
佐渡,ｻﾜﾀﾘ,7850631,39
島中,ｼﾏｼﾞｭｳ,7850775,39
下折渡,ｼﾓｵﾘﾜﾀﾘ,7850624,39
下組,ｼﾓｸﾞﾐ,7850655,39
下西の川,ｼﾓﾆｼﾉｶﾜ,7850647,39
下本村,ｼﾓﾎﾝﾑﾗ,7850605,39
竹の薮,ﾀｹﾉﾔﾌﾞ,7850645,39
田野々,ﾀﾉﾉ,7850607,39
太郎川,ﾀﾛｳｶﾞﾜ,7850621,39
茶や谷,ﾁｬﾔﾀﾞﾆ,7850651,39
坪野田,ﾂﾎﾞﾉﾀ,7850665,39
富永,ﾄﾐﾅｶﾞ,7850658,39
豊原,ﾄﾖﾊﾗ,7850633,39
仲間,ﾅｶｲﾀﾞ,7850648,39
仲久保,ﾅｶｸﾎﾞ,7850634,39
仲洞,ﾅｶﾄｳ,7850623,39
中の川,ﾅｶﾉｶﾜ,7850653,39
中平,ﾅｶﾋﾗ,7850772,39
永野,ﾅｶﾞﾉ,7850601,39
初瀬本村,ﾊﾂｾﾎﾝﾑﾗ,7850632,39
東川,ﾋｶﾞｼｶﾞﾜ,7850656,39
広野,ﾋﾛﾉ,7850644,39
文丸,ﾌﾞﾝﾏﾙ,7850663,39
松谷,ﾏﾂﾀﾞﾆ,7850642,39
松原,ﾏﾂﾊﾞﾗ,7850773,39
宮野々,ﾐﾔﾉﾉ,7850643,39
檮原,ﾕｽﾊﾗ,7850610,39
横貝,ﾖｺｶﾞｲ,7850604,39
六丁,ﾛｸﾁｮｳ,7850661,39
