another_name,another_name_kana,post_id,prefecture_id
,,0000000,16
ＩＣパーク,ｱｲｼｰﾊﾟｰｸ,9391110,16
青葉町,ｱｵﾊﾞﾁｮｳ,9330061,16
赤江町,ｱｶｴﾁｮｳ,9330805,16
赤祖父,ｱｶｿﾌ,9330806,16
明園町,ｱｹｿﾞﾉﾏﾁ,9330015,16
明野町,ｱｹﾉﾏﾁ,9330905,16
旭ケ丘,ｱｻﾋｶﾞｵｶ,9330072,16
葦附,ｱｼﾂｷ,9391273,16
麻生谷,ｱｿｳﾔ,9330353,16
荒川町,ｱﾗｶﾜﾁｮｳ,9330877,16
荒見崎,ｱﾗﾐｻｷ,9330833,16
荒屋敷,ｱﾗﾔｼｷ,9330319,16
あわら町,ｱﾜﾗﾏﾁ,9330911,16
五十辺,ｲｶﾗﾍﾞ,9330306,16
五十里,ｲｶﾘ,9330973,16
五十里東町,ｲｶﾘﾋｶﾞｼﾏﾁ,9330972,16
五十里西町,ｲｶﾘﾆｼﾏﾁ,9330971,16
井口本江,ｲｸﾞﾁﾎﾝｺﾞｳ,9330807,16
池田,ｲｹﾀﾞ,9330318,16
石瀬,ｲｼｾﾞ,9330011,16
石塚,ｲｼﾂﾞｶ,9330836,16
石堤,ｲｼﾂﾂﾐ,9330355,16
石丸,ｲｼﾏﾙ,9340095,16
泉が丘,ｲｽﾞﾐｶﾞｵｶ,9330827,16
泉町,ｲｽﾞﾐﾏﾁ,9330858,16
市場通り,ｲﾁﾊﾞﾄﾞｵﾘ,9330855,16
一番町,ｲﾁﾊﾞﾝﾏﾁ,9330923,16
今泉,ｲﾏｲｽﾞﾐ,9391267,16
今泉新,ｲﾏｲｽﾞﾐｼﾝ,9391266,16
今市,ｲﾏｲﾁ,9330335,16
岩坪,ｲﾜﾂﾎﾞ,9330974,16
内島,ｳﾁｼﾞﾏ,9330328,16
永楽町,ｴｲﾗｸﾏﾁ,9330843,16
駅南,ｴｷﾅﾝ,9330871,16
江尻,ｴｼﾞﾘ,9330062,16
江尻白山町,ｴｼﾞﾘｼﾗﾔﾏﾁｮｳ,9330065,16
江道,ｴﾝﾄﾞｳ,9330305,16
扇町,ｵｳｷﾞﾏﾁ,9330846,16
太田,ｵｵﾀ,0000000,16
太田雨晴,ｵｵﾀｱﾏﾊﾗ,9330135,16
太田辰ノ口,ｵｵﾀﾀﾂﾉｸﾁ,9330134,16
太田旦保,ｵｵﾀﾀﾝﾎﾞ,9330134,16
太田中村,ｵｵﾀﾅｶﾑﾗ,9330132,16
太田伊勢領,ｵｵﾀｲｾﾘｮｳ,9330131,16
太田谷内,ｵｵﾀﾔﾁ,9330137,16
太田山岸,ｵｵﾀﾔﾏｷﾞｼ,9330138,16
大坪町,ｵｵﾂﾎﾞﾏﾁ,9330918,16
大手町,ｵｵﾃﾏﾁ,9330039,16
大野,ｵｵﾉ,9330016,16
大町,ｵｵﾏﾁ,9330916,16
大鋸屋町,ｵｶﾞﾔﾁｮｳ,9330867,16
荻布,ｵｷﾞﾉ,9330073,16
荻布新町,ｵｷﾞﾉｼﾝﾏﾁ,9330074,16
荻布四つ葉町,ｵｷﾞﾉﾖﾂﾊﾞﾏﾁ,9330078,16
小竹,ｵﾀﾞｹ,9330332,16
御旅屋町,ｵﾀﾔﾏﾁ,9330029,16
オフィスパーク,ｵﾌｨｽﾊﾟｰｸ,9391119,16
御馬出町,ｵﾝﾏﾀﾞｼﾏﾁ,9330926,16
開発本町,ｶｲﾎﾂﾎﾝﾏﾁ,9330909,16
春日丘,ｶｽｶﾞｵｶ,9330066,16
片原中島町,ｶﾀﾊﾗﾅｶｼﾞﾏﾏﾁ,9330027,16
