another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
阿弥陀,ｱﾐﾀﾞ,6760815,28
阿弥陀町阿弥陀,ｱﾐﾀﾞﾁｮｳｱﾐﾀﾞ,6760827,28
阿弥陀町魚橋,ｱﾐﾀﾞﾁｮｳｳｵﾊｼ,6760822,28
阿弥陀町生石,ｱﾐﾀﾞﾁｮｳｵｵｼｺ,6760823,28
阿弥陀町北池,ｱﾐﾀﾞﾁｮｳｷﾀｲｹ,6760825,28
阿弥陀町北山,ｱﾐﾀﾞﾁｮｳｷﾀﾔﾏ,6760826,28
阿弥陀町地徳,ｱﾐﾀﾞﾁｮｳｼﾞﾄｸ,6760828,28
阿弥陀町長尾,ｱﾐﾀﾞﾁｮｳﾅｶﾞｵ,6760821,28
阿弥陀町南池,ｱﾐﾀﾞﾁｮｳﾐﾅﾐｲｹ,6760824,28
荒井町扇町,ｱﾗｲﾁｮｳｵｵｷﾞﾏﾁ,6760016,28
荒井町御旅,ｱﾗｲﾁｮｳｵﾀﾋﾞ,6760005,28
荒井町紙町,ｱﾗｲﾁｮｳｶﾐﾏﾁ,6760015,28
荒井町小松原,ｱﾗｲﾁｮｳｺﾏﾂﾊﾞﾗ,6760011,28
荒井町新浜,ｱﾗｲﾁｮｳｼﾝﾊﾏ,6760008,28
荒井町千鳥,ｱﾗｲﾁｮｳﾁﾄﾞﾘ,6760004,28
荒井町中新町,ｱﾗｲﾁｮｳﾅｶｼﾝﾏﾁ,6760012,28
荒井町中町,ｱﾗｲﾁｮｳﾅｶﾏﾁ,6760007,28
荒井町蓮池,ｱﾗｲﾁｮｳﾊｽｲｹ,6760013,28
荒井町東本町,ｱﾗｲﾁｮｳﾋｶﾞｼﾎﾝﾏﾁ,6760017,28
荒井町日之出町,ｱﾗｲﾁｮｳﾋﾉﾃﾞﾁｮｳ,6760014,28
荒井町南栄町,ｱﾗｲﾁｮｳﾐﾅﾐｻｶｴﾏﾁ,6760006,28
荒井町若宮町,ｱﾗｲﾁｮｳﾜｶﾐﾔﾏﾁ,6760018,28
伊保,ｲﾎ,6760078,28
伊保港町,ｲﾎﾐﾅﾄﾏﾁ,6760072,28
伊保東,ｲﾎﾋｶﾞｼ,6760071,28
伊保崎,ｲﾎｻﾞｷ,6760076,28
伊保崎南,ｲﾎｻﾞｷﾐﾅﾐ,6760075,28
伊保町中筋,ｲﾎﾁｮｳﾅｶｽｼﾞ,6760081,28
今市,ｲﾏｲﾁ,6760003,28
梅井,ｳﾒｲ,6760074,28
春日野町,ｶｽｶﾞﾉﾁｮｳ,6760814,28
神爪,ｶﾂﾞﾒ,6760808,28
金ケ田町,ｶﾅｹﾀﾞﾁｮｳ,6760816,28
北浜町牛谷,ｷﾀﾊﾏﾁｮｳｳｼﾀﾆ,6710121,28
北浜町北脇,ｷﾀﾊﾏﾁｮｳｷﾀﾜｷ,6710122,28
北浜町西浜,ｷﾀﾊﾏﾁｮｳﾆｼﾊﾏ,6710123,28
