another_name,another_name_kana,post_id,prefecture_id
,,0000000,25
安曇川町青柳,ｱﾄﾞｶﾞﾜﾁｮｳｱｵﾔｷﾞ,5201221,25
安曇川町上小川,ｱﾄﾞｶﾞﾜﾁｮｳｶﾐｵｶﾞﾜ,5201224,25
安曇川町上古賀,ｱﾄﾞｶﾞﾜﾁｮｳｶﾐｺｶﾞ,5201201,25
安曇川町川島,ｱﾄﾞｶﾞﾜﾁｮｳｶﾜｼﾏ,5201231,25
安曇川町北船木,ｱﾄﾞｶﾞﾜﾁｮｳｷﾀﾌﾅｷ,5201232,25
安曇川町五番領,ｱﾄﾞｶﾞﾜﾁｮｳｺﾞﾊﾞﾝﾘｮｳ,5201213,25
安曇川町下小川,ｱﾄﾞｶﾞﾜﾁｮｳｼﾓｵｶﾞﾜ,5201223,25
安曇川町下古賀,ｱﾄﾞｶﾞﾜﾁｮｳｼﾓｺｶﾞ,5201202,25
安曇川町末広,ｱﾄﾞｶﾞﾜﾁｮｳｽｴﾋﾛ,5201214,25
安曇川町田中,ｱﾄﾞｶﾞﾜﾁｮｳﾀﾅｶ,5201217,25
安曇川町中央,ｱﾄﾞｶﾞﾜﾁｮｳﾁｭｳｵｳ,5201216,25
安曇川町常磐木,ｱﾄﾞｶﾞﾜﾁｮｳﾄｷﾜｷﾞ,5201211,25
安曇川町長尾,ｱﾄﾞｶﾞﾜﾁｮｳﾅｶﾞｵ,5201205,25
安曇川町中野,ｱﾄﾞｶﾞﾜﾁｮｳﾅｶﾉ,5201204,25
安曇川町西万木,ｱﾄﾞｶﾞﾜﾁｮｳﾆｼﾕﾙｷﾞ,5201212,25
安曇川町三尾里,ｱﾄﾞｶﾞﾜﾁｮｳﾐｵｻﾞﾄ,5201215,25
安曇川町南古賀,ｱﾄﾞｶﾞﾜﾁｮｳﾐﾅﾐｺｶﾞ,5201203,25
安曇川町南船木,ｱﾄﾞｶﾞﾜﾁｮｳﾐﾅﾐﾌﾅｷ,5201233,25
安曇川町横江,ｱﾄﾞｶﾞﾜﾁｮｳﾖｺｴ,5201222,25
安曇川町横江浜,ｱﾄﾞｶﾞﾜﾁｮｳﾖｺｴﾊﾏ,5201235,25
安曇川町四津川,ｱﾄﾞｶﾞﾜﾁｮｳﾖﾂｶﾞﾜ,5201234,25
今津町天増川,ｲﾏﾂﾞﾁｮｳｱﾏｽｶﾞﾜ,5201647,25
今津町今津,ｲﾏﾂﾞﾁｮｳｲﾏﾂﾞ,5201621,25
今津町梅原,ｲﾏﾂﾞﾁｮｳｳﾒﾊﾗ,5201654,25
今津町大供,ｲﾏﾂﾞﾁｮｳｵｵﾄﾓ,5201635,25
今津町大供大門,ｲﾏﾂﾞﾁｮｳｵｵﾄﾓﾀﾞｲﾓﾝ,5201634,25
今津町桂,ｲﾏﾂﾞﾁｮｳｶﾂﾗ,5201602,25
今津町上弘部,ｲﾏﾂﾞﾁｮｳｶﾐﾋﾛﾍﾞ,5201613,25
今津町岸脇,ｲﾏﾂﾞﾁｮｳｷｼﾜｷ,5201653,25
今津町北生見,ｲﾏﾂﾞﾁｮｳｷﾀｳﾐ,5201642,25
今津町北仰,ｲﾏﾂﾞﾁｮｳｷﾄｹﾞ,5201603,25
今津町桜町,ｲﾏﾂﾞﾁｮｳｻｸﾗﾏﾁ,5201632,25
今津町酒波,ｲﾏﾂﾞﾁｮｳｻﾅﾐ,5201651,25
今津町下弘部,ｲﾏﾂﾞﾁｮｳｼﾓﾋﾛﾍﾞ,5201612,25
今津町松陽台,ｲﾏﾂﾞﾁｮｳｼｮｳﾖｳﾀﾞｲ,5201633,25
今津町杉山,ｲﾏﾂﾞﾁｮｳｽｷﾞﾔﾏ,5201646,25
今津町住吉,ｲﾏﾂﾞﾁｮｳｽﾐﾖｼ,5201623,25
今津町角川,ｲﾏﾂﾞﾁｮｳﾂﾉｶﾞﾜ,5201648,25
今津町途中谷,ｲﾏﾂﾞﾁｮｳﾄﾁｭｳﾀﾞﾆ,5201644,25
今津町中沼,ｲﾏﾂﾞﾁｮｳﾅｶﾇﾏ,5201622,25
今津町名小路,ｲﾏﾂﾞﾁｮｳﾅｺｼﾞ,5201631,25
今津町浜分,ｲﾏﾂﾞﾁｮｳﾊﾏﾌﾞﾝ,5201604,25
今津町日置前,ｲﾏﾂﾞﾁｮｳﾋｵｷﾏｴ,5201655,25
今津町弘川,ｲﾏﾂﾞﾁｮｳﾋﾛｶﾜ,5201611,25
今津町深清水,ｲﾏﾂﾞﾁｮｳﾌｶｼﾐｽﾞ,5201601,25
今津町福岡,ｲﾏﾂﾞﾁｮｳﾌｸｵｶ,5201652,25
今津町舟橋,ｲﾏﾂﾞﾁｮｳﾌﾅﾊﾞｼ,5201636,25
今津町保坂,ｲﾏﾂﾞﾁｮｳﾎｳｻﾞｶ,5201643,25
今津町南生見,ｲﾏﾂﾞﾁｮｳﾐﾅﾐｳﾐ,5201641,25
今津町南新保,ｲﾏﾂﾞﾁｮｳﾐﾅﾐｼﾝﾎﾞ,5201605,25
今津町椋川,ｲﾏﾂﾞﾁｮｳﾑｸｶﾞﾜ,5201645,25
今津町藺生,ｲﾏﾂﾞﾁｮｳﾕｳ,5201614,25
鵜川,ｳｶﾜ,5201122,25
音羽,ｵﾄﾜ,5201131,25
勝野,ｶﾂﾉ,5201121,25
鴨,ｶﾓ,5201111,25
鴨川平,ｶﾓｶﾞﾜﾀﾞｲﾗ,5201133,25
朽木麻生,ｸﾂｷｱｿｳ,5201451,25
朽木荒川,ｸﾂｷｱﾗｶﾜ,5201411,25
朽木市場,ｸﾂｷｲﾁﾊﾞ,5201401,25
朽木岩瀬,ｸﾂｷｲﾜｾ,5201421,25
朽木上野,ｸﾂｷｳｴﾉ,5201413,25
朽木雲洞谷,ｸﾂｷｳﾄｳﾀﾞﾆ,5201453,25
朽木生杉,ｸﾂｷｵｲｽｷﾞ,5201442,25
朽木大野,ｸﾂｷｵｵﾉ,5201423,25
朽木小入谷,ｸﾂｷｵﾆｭｳﾀﾞﾆ,5201443,25
朽木柏,ｸﾂｷｶｾ,5201415,25
朽木木地山,ｸﾂｷｷｼﾞﾔﾏ,5201455,25
朽木桑原,ｸﾂｷｸﾜﾊﾞﾗ,5201433,25
朽木小川,ｸﾂｷｺｶﾞﾜ,5201431,25
朽木地子原,ｸﾂｷｼﾞｼﾊﾗ,5201452,25
朽木栃生,ｸﾂｷﾄﾁｭｳ,5201425,25
朽木中牧,ｸﾂｷﾅｶﾏｷ,5201444,25
朽木能家,ｸﾂｷﾉｳｹﾞ,5201454,25
朽木野尻,ｸﾂｷﾉｼﾞﾘ,5201412,25
朽木古川,ｸﾂｷﾌﾙｶﾜ,5201422,25
朽木古屋,ｸﾂｷﾌﾙﾔ,5201441,25
朽木平良,ｸﾂｷﾍﾗ,5201432,25
朽木宮前坊,ｸﾂｷﾐﾔﾏｴﾎﾞｳ,5201414,25
朽木村井,ｸﾂｷﾑﾗｲ,5201424,25
黒谷,ｸﾛﾀﾞﾆ,5201143,25
鹿ケ瀬,ｼｼｶﾞｾ,5201142,25
城山台,ｼﾛﾔﾏﾀﾞｲ,5201123,25
新旭町饗庭,ｼﾝｱｻﾋﾁｮｳｱｲﾊﾞ,5201531,25
新旭町旭,ｼﾝｱｻﾋﾁｮｳｱｻﾋ,5201501,25
新旭町太田,ｼﾝｱｻﾋﾁｮｳｵｵﾀ,5201512,25
