another_name,another_name_kana,post_id,prefecture_id
,,0000000,44
会々,ｱｲｱｲ,8780011,44
穴井迫,ｱﾅｲｻﾞｺ,8780021,44
市用,ｲﾁﾓﾁ,8780153,44
今,ｲﾏ,8796182,44
岩瀬,ｲﾜｾ,8780022,44
岩本,ｲﾜﾓﾄ,8780031,44
植木,ｳｴｷ,8780001,44
枝,ｴﾀﾞ,8780002,44
太田,ｵｵﾀ,8780032,44
小川,ｵｶﾞﾜ,8780141,44
荻町瓜作,ｵｷﾞﾏﾁｳﾘﾂｸﾘ,8796134,44
荻町恵良原,ｵｷﾞﾏﾁｴﾗﾊﾙ,8796113,44
荻町大平,ｵｷﾞﾏﾁｵｵﾀﾞｲﾗ,8796126,44
荻町柏原,ｵｷﾞﾏﾁｶｼﾜﾊﾞﾙ,8796122,44
荻町叶野,ｵｷﾞﾏﾁｶﾅｲﾉ,8796127,44
荻町北原,ｵｷﾞﾏﾁｷﾀﾊﾞﾙ,8796135,44
荻町木下,ｵｷﾞﾏﾁｷﾉｼﾀ,8796101,44
荻町桑木,ｵｷﾞﾏﾁｸﾜｷﾞ,8796121,44
荻町西福寺,ｵｷﾞﾏﾁｻｲﾌｸｼﾞ,8796132,44
荻町鴫田,ｵｷﾞﾏﾁｼｷﾞﾀ,8796131,44
荻町新藤,ｵｷﾞﾏﾁｼﾝﾄﾞｳ,8796103,44
荻町高城,ｵｷﾞﾏﾁﾀｶｼﾞｮｳ,8796116,44
荻町高練木,ｵｷﾞﾏﾁﾀｶﾈﾘｷ,8796128,44
荻町田代,ｵｷﾞﾏﾁﾀｼﾛ,8796133,44
荻町馬場,ｵｷﾞﾏﾁﾊﾞﾊﾞ,8796115,44
荻町陽目,ｵｷﾞﾏﾁﾋﾅﾀﾒ,8796124,44
荻町藤渡,ｵｷﾞﾏﾁﾌｼﾞﾜﾀﾘ,8796104,44
荻町仏面,ｵｷﾞﾏﾁﾌﾞﾂﾒﾝ,8796125,44
荻町馬背野,ｵｷﾞﾏﾁﾏｾﾉ,8796112,44
荻町政所,ｵｷﾞﾏﾁﾏﾄﾞｺﾛ,8796102,44
荻町南河内,ｵｷﾞﾏﾁﾐﾅﾐｶﾞﾜﾁ,8796111,44
荻町宮平,ｵｷﾞﾏﾁﾐﾔﾋﾞﾗ,8796123,44
小塚,ｵﾂﾞｶ,8796181,44
片ケ瀬,ｶﾀｶｾ,8780003,44
上坂田,ｶﾐｻｶﾀﾞ,8780161,44
上畑,ｶﾐﾊﾀ,8780163,44
刈小野,ｶﾘｵﾉ,8780164,44
川床,ｶﾜﾄﾞｺ,8780154,44
城原,ｷﾊﾞﾙ,8780143,44
君ケ園,ｷﾐｶﾞｿﾉ,8780023,44
九重野,ｸｼﾞｭｳﾉ,8780572,44
久住町有氏,ｸｼﾞｭｳﾏﾁｱﾘｳｼﾞ,8780202,44
久住町栢木,ｸｼﾞｭｳﾏﾁｶﾔｷﾞ,8780204,44
久住町久住,ｸｼﾞｭｳﾏﾁｸｼﾞｭｳ,8780201,44
久住町白丹,ｸｼﾞｭｳﾏﾁｼﾗﾆ,8780205,44
久住町添ケ津留,ｸｼﾞｭｳﾏﾁｿｴｶﾞﾂﾙ,8780206,44
久住町仏原,ｸｼﾞｭｳﾏﾁﾌﾞﾂﾊﾞﾙ,8780203,44
久保,ｸﾎﾞ,0000000,44
倉木,ｸﾗｷ,8780576,44
神原,ｺｳﾊﾞﾙ,8780574,44
志土知,ｼﾄﾁ,8780155,44
下坂田,ｼﾓｻｶﾀﾞ,8780151,44
下志土知,ｼﾓｼﾄﾁ,8780152,44
菅生,ｽｺﾞｳ,8796184,44
炭竈,ｽﾐｶﾏﾄﾞ,8780162,44
田井,ﾀｲ,8780575,44
高伏,ﾀｶﾌﾞｼ,8780144,44
竹田,ﾀｹﾀ,8780013,44
竹田町,ﾀｹﾀﾏﾁ,8780012,44
玉来,ﾀﾏﾗｲ,8780024,44
次倉,ﾂｷﾞｸﾗ,8780571,44
戸上,ﾄｳｴ,8796183,44
直入町上田北,ﾅｵｲﾘﾏﾁｶﾐﾀｷﾞﾀ,8780403,44
直入町神堤,ﾅｵｲﾘﾏﾁｶﾐﾂﾂﾐ,8780401,44
直入町下田北,ﾅｵｲﾘﾏﾁｼﾓﾀｷﾞﾀ,8780404,44
直入町長湯,ﾅｵｲﾘﾏﾁﾅｶﾞﾕ,8780402,44
中,ﾅｶ,8780004,44
中角,ﾅｶﾂﾉ,8780573,44
入田,ﾆｭｳﾀ,8780033,44
拝田原,ﾊｲﾀﾊﾞﾙ,8780025,44
挾田,ﾊｻﾀﾞ,8780005,44
飛田川,ﾋﾀﾞｶﾞﾜ,8780026,44
平田,ﾋﾗﾀ,8780006,44
福原,ﾌｸﾊﾗ,8780142,44
古園,ﾌﾙｿﾞﾉ,8780146,44
三宅,ﾐﾔｹ,8780007,44
向山田,ﾑｺｳﾔﾏﾀﾞ,8780027,44
門田,ﾓﾝﾃﾞﾝ,8780034,44
吉田,ﾖｼﾀﾞ,8780035,44
米納,ﾖﾅｲ,8780145,44
渡瀬,ﾜﾀｾ,8780028,44
