another_name,another_name_kana,post_id,prefecture_id
,,0000000,24
粟生,ｱｵ,5192428,24
天ケ瀬,ｱﾏｶﾞｾ,5192506,24
岩井,ｲﾜｲ,5192631,24
江馬,ｴﾏ,5192505,24
大井,ｵｵｲ,5192518,24
大ケ所,ｵｵｶﾞｼｮ,5192413,24
大杉,ｵｵｽｷﾞ,5192634,24
御棟,ｵﾑﾅｷﾞ,5192522,24
上楠,ｶﾐｸｽ,5192427,24
上菅,ｶﾐｽｶﾞ,5192411,24
神瀬,ｶﾐｾﾞ,5192425,24
上真手,ｶﾐﾏﾃ,5192502,24
上三瀬,ｶﾐﾐｾ,5192403,24
唐櫃,ｶﾗﾄ,5192516,24
川合,ｶﾜｲ,5192412,24
桧原,ｷｿﾊﾗ,5192632,24
清滝,ｷﾖﾀｷ,5192512,24
久豆,ｸｽﾞ,5192633,24
熊内,ｸﾓﾁ,5192515,24
栗谷,ｸﾘﾀﾞﾆ,5192507,24
神滝,ｺｳﾀｷ,5192524,24
小切畑,ｺｷﾞﾘﾊﾀ,5192504,24
小滝,ｺﾀｷ,5192523,24
佐原,ｻﾜﾗ,5192404,24
下楠,ｼﾓｸｽ,5192426,24
下菅,ｼﾓｽｶﾞ,5192412,24
下真手,ｼﾓﾏﾃ,5192501,24
下三瀬,ｼﾓﾐｾ,5192402,24
新田,ｼﾝﾃﾞﾝ,5192423,24
菅合,ｽｶﾞｱｲ,5192412,24
菅木屋,ｽｶﾞｺﾞﾔ,5192511,24
千代,ｾﾝﾀﾞｲ,5192421,24
薗,ｿﾉ,5192513,24
高奈,ﾀｶﾅ,5192429,24
滝広,ﾀｷﾋﾛ,5192412,24
滝谷,ﾀｷﾔ,5192525,24
栃原,ﾄﾁﾊﾗ,5192424,24
長ケ,ﾅｶﾞ,5192401,24
本田木屋,ﾎﾝﾀﾞｺﾞﾔ,5192503,24
南,ﾐﾅﾐ,5192517,24
明豆,ﾐｮｳｽﾞ,5192521,24
茂原,ﾓﾊﾞﾗ,5192514,24
弥起井,ﾔｷｲ,5192405,24
柳原,ﾔﾅｷﾞﾊﾗ,5192422,24
