another_name,another_name_kana,post_id,prefecture_id
,,0000000,3
穴口,ｱﾅｸﾞﾁ,0200633,3
一本木,ｲｯﾎﾟﾝｷﾞ,0200604,3
岩手山,ｲﾜﾃｻﾝ,0200618,3
鵜飼安達,ｳｶｲｱﾀﾞﾁ,0200685,3
鵜飼石留,ｳｶｲｲｼﾄﾞﾒ,0200673,3
鵜飼姥屋敷,ｳｶｲｳﾊﾞﾔｼｷ,0200681,3
鵜飼大緩,ｳｶｲｵｵﾀﾞﾙﾐ,0200662,3
鵜飼鬼越,ｳｶｲｵﾆｺｼ,0200686,3
鵜飼御庭田,ｳｶｲｵﾆﾜﾀﾞ,0200655,3
鵜飼鰍森,ｳｶｲｶｼﾞｶﾓﾘ,0200657,3
鵜飼上高柳,ｳｶｲｶﾐﾀｶﾔﾅｷﾞ,0200671,3
鵜飼上山,ｳｶｲｶﾐﾉﾔﾏ,0200656,3
鵜飼上前田,ｳｶｲｶﾐﾏｴﾀﾞ,0200688,3
鵜飼狐洞,ｳｶｲｷﾂﾈﾎﾗ,0200668,3
鵜飼笹森,ｳｶｲｻｻﾓﾘ,0200664,3
鵜飼清水沢,ｳｶｲｼﾐｽﾞｻﾜ,0200658,3
鵜飼下高柳,ｳｶｲｼﾓﾀｶﾔﾅｷﾞ,0200672,3
鵜飼白石,ｳｶｲｼﾛｲｼ,0200661,3
鵜飼先古川,ｳｶｲｾﾝｺｶﾞﾜ,0200666,3
鵜飼外久保,ｳｶｲｿﾄｸﾎﾞ,0200659,3
鵜飼高柳,ｳｶｲﾀｶﾔﾅｷﾞ,0200674,3
鵜飼滝向,ｳｶｲﾀｷﾑｶｲ,0200675,3
鵜飼樋の口,ｳｶｲﾄｲﾉｸﾁ,0200677,3
鵜飼洞畑,ｳｶｲﾄﾞｳﾊﾀ,0200652,3
鵜飼年毛,ｳｶｲﾄｼﾓｳ,0200678,3
鵜飼沼森,ｳｶｲﾇﾏﾓﾘ,0200684,3
鵜飼迫,ｳｶｲﾊｻﾏ,0200653,3
鵜飼八人打,ｳｶｲﾊﾁﾆﾝｳﾁ,0200676,3
鵜飼花平,ｳｶｲﾊﾅﾀﾞｲﾗ,0200683,3
鵜飼細谷地,ｳｶｲﾎｿﾔﾁ,0200651,3
鵜飼向新田,ｳｶｲﾑｶｲｼﾝﾃﾞﾝ,0200667,3
鵜飼諸葛川,ｳｶｲﾓﾛｸｽﾞｶﾞﾜ,0200663,3
鵜飼臨安,ｳｶｲﾘﾝｱﾝ,0200682,3
後,ｳｼﾛ,0200601,3
卯遠坂,ｳﾄｳｻﾞｶ,0200615,3
狼久保,ｵｲﾉｸﾎﾞ,0200627,3
大石渡,ｵｵｲｼﾜﾀﾘ,0200613,3
大釜荒屋敷,ｵｵｶﾞﾏｱﾗﾔｼｷ,0200769,3
大釜上釜,ｵｵｶﾞﾏｳﾜｶﾞﾏ,0200754,3
大釜大清水,ｵｵｶﾞﾏｵｵｼﾐｽﾞ,0200758,3
大釜大畑,ｵｵｶﾞﾏｵｵﾊﾞﾀｹ,0200763,3
大釜鬼が滝,ｵｵｶﾞﾏｵﾆｶﾞﾀｷ,0200776,3
大釜風林,ｵｵｶﾞﾏｶｻﾞﾊﾞﾔｼ,0200757,3
大釜釜口,ｵｵｶﾞﾏｶﾏｸﾁ,0200755,3
大釜上竹鼻,ｵｵｶﾞﾏｶﾐﾀｹﾊﾅ,0200773,3
大釜小屋敷,ｵｵｶﾞﾏｺﾔｼｷ,0200765,3
大釜塩の森,ｵｵｶﾞﾏｼｵﾉﾓﾘ,0200774,3
大釜白山,ｵｵｶﾞﾏｼﾛﾔﾏ,0200752,3
大釜千が窪,ｵｵｶﾞﾏｾﾝｶﾞｸﾎﾞ,0200751,3
大釜高森,ｵｵｶﾞﾏﾀｶﾓﾘ,0200756,3
大釜竹鼻,ｵｵｶﾞﾏﾀｹﾊﾅ,0200771,3
大釜田の尻,ｵｵｶﾞﾏﾀﾉｼﾘ,0200761,3
大釜土井尻,ｵｵｶﾞﾏﾄﾞｲｼﾞﾘ,0200764,3
大釜外館,ｵｵｶﾞﾏﾄﾀﾞﾃ,0200762,3
大釜中瀬,ｵｵｶﾞﾏﾅｶｾ,0200772,3
大釜中道,ｵｵｶﾞﾏﾅｶﾐﾁ,0200767,3
大釜仁沢瀬,ｵｵｶﾞﾏﾆｻﾜｾ,0200777,3
大釜沼袋,ｵｵｶﾞﾏﾇﾏﾌﾞｸﾛ,0200775,3
大釜八幡前,ｵｵｶﾞﾏﾊﾁﾏﾝﾏｴ,0200766,3
大釜細屋,ｵｵｶﾞﾏﾎｿﾔ,0200753,3
大釜吉水,ｵｵｶﾞﾏﾖｼﾐｽﾞ,0200778,3
大釜吉清水,ｵｵｶﾞﾏﾜﾀﾞ,0200779,3
大釜和田,ｵｵｸﾎﾞ,0200768,3
大久保,ｵｵｻｷ,0200636,3
大崎,ｵｵｻﾜｶｺﾞﾔｼｷ,0200621,3
大沢籠屋敷,ｵｵｻﾜｶﾐﾂﾙｺ,0200701,3
大沢上鶴子,ｵｵｻﾜｺﾔﾁ,0200702,3
大沢小谷地,ｵｵｻﾜｼﾓﾔｼｷ,0200718,3
大沢下屋敷,ｵｵｻﾜｼﾝﾐﾁ,0200715,3
大沢新道,ｵｵｻﾜｾｷｱｲ,0200713,3
大沢堰合,ｵｵｻﾜﾀﾃ,0200703,3
大沢館,ｵｵｻﾜﾂﾙｺ,0200707,3
大沢鶴子,ｵｵｻﾜﾄﾔﾏﾉ,0200719,3
大沢外山野,ｵｵｻﾜﾅｶﾞﾂﾎﾞ,0200709,3
大沢長坪,ｵｵｻﾜﾊｼｷﾞﾀﾞｲﾗ,0200712,3
大沢箸木平,ｵｵｻﾜﾌﾀﾏﾀ,0200708,3
大沢二タ又,ｵｵｻﾜﾏｽﾑﾗ,0200705,3
大沢舛村,ｵｵｻﾜﾔｻｸﾊﾀ,0200714,3
大沢弥作畑,ｵｵｻﾜﾔﾁｶﾞﾐ,0200710,3
大沢谷地上,ｵｵｻﾜﾔﾁﾅｶ,0200711,3
大沢谷地中,ｵｵｻﾜﾖﾂﾔ,0200704,3
大沢四つ家,ｵｵｻﾜﾖﾈｸﾗ,0200717,3
大沢米倉,ｵｵｻﾜﾜｯﾀ,0200716,3
大沢割田,ｵｵﾓﾘﾀﾞｲﾗ,0200706,3
大森平,ｶｶﾞﾅｲ,0200602,3
加賀内,ｶﾐｲﾜﾃｻﾝ,0200606,3
上岩手山,ｶﾐｳｶｲ,0200619,3
上鵜飼,ｶﾐﾅｶﾑﾗ,0200687,3
上中村,ｸﾛｻﾜ,0200614,3
黒沢,ｻｲﾉｶﾐ,0200646,3
妻の神,ｼﾉｷﾞｱﾔｵﾘ,0200624,3
篠木綾織,ｼﾉｷﾞｱﾗﾔ,0200723,3
篠木荒屋,ｼﾉｷﾞｵｵﾃﾗｻﾜ,0200726,3
篠木大寺沢,ｼﾉｷﾞｵﾎﾞｹｻﾞﾜ,0200745,3
篠木苧桶沢,ｼﾉｷﾞｶﾐｱﾔｵﾘ,0200742,3
篠木上綾織,ｼﾉｷﾞｶﾐｸﾛﾊﾀ,0200722,3
篠木上黒畑,ｼﾉｷﾞｶﾐｼﾉｷﾞ,0200734,3
篠木上篠木,ｼﾉｷﾞｸﾛﾊﾀ,0200728,3
篠木黒畑,ｼﾉｷﾞｺﾔﾁ,0200735,3
篠木小谷地,ｼﾉｷﾞｻﾝｺﾞｳ,0200724,3
篠木参郷,ｼﾉｷﾞｻﾝｺﾞｳﾉﾓﾘ,0200736,3
篠木参郷の森,ｼﾉｷﾞｿﾄﾔﾏ,0200738,3
篠木外山,ｼﾉｷﾞﾀﾃｶﾞｻﾜ,0200743,3
篠木館が沢,ｼﾉｷﾞﾂﾂﾐ,0200744,3
篠木堤,ｼﾉｷﾞﾄｲﾉｸﾁ,0200737,3
篠木樋の口,ｼﾉｷﾞﾄﾔﾋﾗ,0200732,3
篠木鳥谷平,ｼﾉｷﾞﾅｶﾑﾗ,0200727,3
篠木中村,ｼﾉｷﾞﾅｶﾔｼｷ,0200721,3
篠木中屋敷,ｼﾉｷﾞﾆｻﾜｾ,0200725,3
篠木仁沢瀬,ｼﾉｷﾞﾏﾁﾊﾞ,0200746,3
篠木待場,ｼﾉｷﾞﾐｮｳﾎｳ,0200733,3
篠木明法,ｼﾉｷﾞﾔﾄﾘﾓﾘ,0200731,3
篠木矢取森,ｼﾓｳｶｲ,0200741,3
下鵜飼,ｽｺﾞ,0200665,3
巣子,ｽﾅｺﾐ,0200611,3
砂込,ｿﾄﾔﾏ,0200605,3
外山,ﾀｶﾔｼｷ,0200643,3
高屋敷,ﾀｶﾔｼｷﾀﾞｲﾗ,0200645,3
高屋敷平,ﾁｮｳﾀﾛｳﾊﾞﾔｼ,0200637,3
長太郎林,ﾂﾁｻﾞﾜ,0200608,3
土沢,ﾄｸｻｶﾞﾜ,0200638,3
木賊川,ﾄﾒｶﾞﾓﾘ,0200616,3
留が森,ﾅｶｳｶｲ,0200603,3
中鵜飼,ﾅｶﾑﾗ,0200654,3
中村,ﾅﾗﾉｷｻﾜ,0200642,3
楢の木沢,ﾈｷﾞﾔｼｷ,0200623,3
祢宜屋敷,ﾈﾎﾘｻﾞｶ,0200641,3
根堀坂,ﾉｻﾞﾜ,0200631,3
野沢,ﾊﾉｷｻﾜﾔﾏ,0200622,3
葉の木沢山,ﾍｲｿﾞｳｻﾜ,0200625,3
平蔵沢,ﾏｷﾉﾊﾞﾔｼ,0200644,3
牧野林,ﾐﾐﾄﾘﾔﾏ,0200632,3
耳取山,ﾐｮｳｼﾞﾝﾀﾞｲﾗ,0200635,3
明神平,ﾑﾛｺｳｼﾞ,0200626,3
室小路,ﾔﾅｷﾞｻﾜ,0200634,3
柳沢,ﾔﾅｷﾞﾊﾗ,0200612,3
柳原,ﾔﾍｲﾊﾞﾔｼ,0200609,3
弥兵エ林,ﾕﾌﾞﾈｻﾞﾜ,0200607,3
湯舟沢,,0200617,3
