another_name,another_name_kana,post_id,prefecture_id
,,0000000,33
石島,ｲｼﾏ,7060306,33
宇藤木,ｳﾄｳｷﾞ,7060133,33
宇野,ｳﾉ,7060011,33
大薮,ｵｵﾔﾌﾞ,7060317,33
奥玉,ｵｸﾀﾏ,7060013,33
御崎,ｵﾝｻﾞｷ,7060024,33
梶岡,ｶｼﾞｵｶ,7060311,33
上山坂,ｶﾐﾔﾏｻｶ,7060303,33
北方,ｷﾀｶﾞﾀ,7060301,33
後閑,ｺﾞｶﾝ,7060315,33
小島地,ｺｼﾏｼﾞ,7060144,33
渋川,ｼﾌﾞｶﾜ,7060028,33
下山坂,ｼﾓﾔﾏｻｶ,7060302,33
田井,ﾀｲ,7060001,33
滝,ﾀｷ,7060153,33
玉,ﾀﾏ,7060012,33
玉原,ﾀﾏﾊﾗ,7060014,33
築港,ﾁｯｺｳ,7060002,33
槌ケ原,ﾂﾁｶﾞﾊﾗ,7060141,33
永井,ﾅｶﾞｲ,7060152,33
長尾,ﾅｶﾞｵ,7060151,33
西田井地,ﾆｼﾀｲｼﾞ,7060313,33
沼,ﾇﾏ,7060316,33
迫間,ﾊｻﾞﾏ,7060142,33
八浜町大崎,ﾊﾁﾊﾏﾁｮｳｵｵｻｷ,7060224,33
八浜町波知,ﾊﾁﾊﾏﾁｮｳﾊﾁ,7060223,33
八浜町八浜,ﾊﾁﾊﾏﾁｮｳﾊﾁﾊﾏ,7060221,33
八浜町見石,ﾊﾁﾊﾏﾁｮｳﾐｲｼ,7060222,33
羽根崎町,ﾊﾈｻﾞｷﾁｮｳ,7060026,33
番田,ﾊﾞﾝﾀﾞ,7060304,33
東紅陽台,ﾋｶﾞｼｺｳﾖｳﾀﾞｲ,7060131,33
東田井地,ﾋｶﾞｼﾀｲｼﾞ,7060312,33
東高崎,ﾋｶﾞｼﾀｶｻｷ,7060134,33
東七区,ﾋｶﾞｼﾅﾅｸ,7060226,33
東野崎,ﾋｶﾞｼﾉｻﾞｷ,7060314,33
日比,ﾋﾋﾞ,7060027,33
広岡,ﾋﾛｵｶ,7060154,33
深井町,ﾌｶｲﾁｮｳ,7060023,33
南七区,ﾐﾅﾐﾅﾅｸ,7060225,33
明神町,ﾐｮｳｼﾞﾝﾁｮｳ,7060025,33
向日比,ﾑｶｲﾋﾋﾞ,7060022,33
胸上,ﾑﾈｱｹﾞ,7060305,33
木目,ﾓｸﾒ,7060143,33
用吉,ﾓﾁﾖｼ,7060132,33
山田,ﾔﾏﾀﾞ,7060314,33
和田,ﾜﾀﾞ,7060021,33
