another_name,another_name_kana,post_id,prefecture_id
,,0000000,28
青垣町市原,ｱｵｶﾞｷﾁｮｳｲﾁﾊﾞﾗ,6693831,28
青垣町稲土,ｱｵｶﾞｷﾁｮｳｲﾅﾂﾞﾁ,6693827,28
青垣町奥塩久,ｱｵｶﾞｷﾁｮｳｵｸｼｵｸ,6693843,28
青垣町小倉,ｱｵｶﾞｷﾁｮｳｵｸﾞﾗ,6693812,28
青垣町大名草,ｱｵｶﾞｷﾁｮｳｵﾅｻﾞ,6693822,28
青垣町大稗,ｱｵｶﾞｷﾁｮｳｵﾋﾞｴ,6693823,28
青垣町口塩久,ｱｵｶﾞｷﾁｮｳｸﾁｼｵｸ,6693841,28
青垣町栗住野,ｱｵｶﾞｷﾁｮｳｸﾘｽﾉ,6693802,28
青垣町小稗,ｱｵｶﾞｷﾁｮｳｺﾋﾞｴ,6693824,28
青垣町佐治,ｱｵｶﾞｷﾁｮｳｻｼﾞ,6693811,28
青垣町沢野,ｱｵｶﾞｷﾁｮｳｻﾜﾉ,6693842,28
青垣町惣持,ｱｵｶﾞｷﾁｮｳｿｳｼﾞ,6693825,28
青垣町田井縄,ｱｵｶﾞｷﾁｮｳﾀｲﾅﾜ,6693804,28
青垣町遠阪,ｱｵｶﾞｷﾁｮｳﾄｵｻﾞｶ,6693832,28
青垣町中佐治,ｱｵｶﾞｷﾁｮｳﾅｶｻｼﾞ,6693834,28
青垣町西芦田,ｱｵｶﾞｷﾁｮｳﾆｼｱｼﾀﾞ,6693803,28
青垣町東芦田,ｱｵｶﾞｷﾁｮｳﾋｶﾞｼｱｼﾀﾞ,6693801,28
青垣町桧倉,ｱｵｶﾞｷﾁｮｳﾋﾉｸﾗ,6693821,28
青垣町文室,ｱｵｶﾞｷﾁｮｳﾌﾑﾛ,6693826,28
青垣町山垣,ｱｵｶﾞｷﾁｮｳﾔﾏｶﾞｲ,6693833,28
市島町市島,ｲﾁｼﾞﾏﾁｮｳｲﾁｼﾞﾏ,6694324,28
市島町岩戸,ｲﾁｼﾞﾏﾁｮｳｲﾜﾄ,6694316,28
市島町上垣,ｲﾁｼﾞﾏﾁｮｳｳｴｶﾞｲ,6694321,28
市島町上牧,ｲﾁｼﾞﾏﾁｮｳｳｴﾏｷ,6694317,28
市島町乙河内,ｲﾁｼﾞﾏﾁｮｳｵﾄｶﾞﾜﾁ,6694336,28
市島町梶原,ｲﾁｼﾞﾏﾁｮｳｶｼﾞﾜﾗ,6694323,28
市島町上鴨阪,ｲﾁｼﾞﾏﾁｮｳｶﾐｶﾓｻｶ,6694344,28
市島町上田,ｲﾁｼﾞﾏﾁｮｳｶﾐﾀﾞ,6694322,28
市島町上竹田,ｲﾁｼﾞﾏﾁｮｳｶﾐﾀｹﾀﾞ,6694341,28
市島町喜多,ｲﾁｼﾞﾏﾁｮｳｷﾀ,6694315,28
市島町北岡本,ｲﾁｼﾞﾏﾁｮｳｷﾀｵｶﾓﾄ,6694325,28
市島町北奥,ｲﾁｼﾞﾏﾁｮｳｷﾀｵｸ,6694312,28
