another_name,another_name_kana,post_id,prefecture_id
,,0000000,11
青葉台,ｱｵﾊﾞﾀﾞｲ,3591105,11
旭町,ｱｻﾋﾁｮｳ,3590036,11
荒幡,ｱﾗﾊﾀ,3591133,11
泉町,ｲｽﾞﾐﾁｮｳ,3591112,11
岩岡町,ｲﾜｵｶﾁｮｳ,3591102,11
牛沼,ｳｼﾇﾏ,3590026,11
榎町,ｴﾉｷﾁｮｳ,3591104,11
金山町,ｶﾅﾔﾏﾁｮｳ,3591128,11
上新井,ｶﾐｱﾗｲ,3591142,11
上安松,ｶﾐﾔｽﾏﾂ,3590025,11
上山口,ｶﾐﾔﾏｸﾞﾁ,3591153,11
神米金,ｶﾒｶﾞﾈ,3590005,11
亀ケ谷,ｶﾒｶﾞﾔ,3590014,11
北秋津,ｷﾀｱｷﾂ,3590038,11
北岩岡,ｷﾀｲﾜｵｶ,3590007,11
北所沢町,ｷﾀﾄｺﾛｻﾞﾜﾁｮｳ,3590046,11
北中,ｷﾀﾅｶ,3591101,11
北野,ｷﾀﾉ,3591152,11
北野新町,ｷﾀﾉｼﾝﾏﾁ,3591155,11
北野南,ｷﾀﾉﾐﾅﾐ,3591156,11
北原町,ｷﾀﾊﾗﾁｮｳ,3590004,11
喜多町,ｷﾀﾏﾁ,3591113,11
北有楽町,ｷﾀﾕｳﾗｸﾁｮｳ,3591114,11
くすのき台,ｸｽﾉｷﾀﾞｲ,3590037,11
久米,ｸﾒ,3591131,11
けやき台,ｹﾔｷﾀﾞｲ,3591118,11
糀谷,ｺｳｼﾞﾔ,3591166,11
向陽町,ｺｳﾖｳﾁｮｳ,3591103,11
小手指台,ｺﾃｻｼﾀﾞｲ,3591148,11
小手指町,ｺﾃｻｼﾁｮｳ,3591141,11
小手指南,ｺﾃｻｼﾐﾅﾐ,3591146,11
小手指元町,ｺﾃｻｼﾓﾄﾏﾁ,3591147,11
寿町,ｺﾄﾌﾞｷﾁｮｳ,3591122,11
こぶし町,ｺﾌﾞｼﾁｮｳ,3590033,11
坂之下,ｻｶﾉｼﾀ,3590012,11
狭山ケ丘,ｻﾔﾏｶﾞｵｶ,3591161,11
下新井,ｼﾓｱﾗｲ,3590031,11
下富,ｼﾓﾄﾐ,3590001,11
下安松,ｼﾓﾔｽﾏﾂ,3590024,11
勝楽寺,ｼｮｳﾗｸｼﾞ,3591154,11
城,ｼﾛ,3590013,11
新郷,ｼﾝｺﾞｳ,3590016,11
所沢新町,ﾄｺﾛｻﾞﾜｼﾝﾏﾁ,3590006,11
中新井,ﾅｶｱﾗｲ,3590041,11
中富,ﾅｶﾄﾐ,3590002,11
中富南,ﾅｶﾄﾐﾐﾅﾐ,3590003,11
並木,ﾅﾐｷ,3590042,11
西新井町,ﾆｼｱﾗｲﾁｮｳ,3590035,11
西狭山ケ丘,ﾆｼｻﾔﾏｶﾞｵｶ,3591163,11
西住吉,ﾆｼｽﾐﾖｼ,3591126,11
西所沢,ﾆｼﾄｺﾛｻﾞﾜ,3591144,11
花園,ﾊﾅｿﾞﾉ,3590047,11
林,ﾊﾔｼ,3591167,11
東新井町,ﾋｶﾞｼｱﾗｲﾁｮｳ,3590034,11
東狭山ケ丘,ﾋｶﾞｼｻﾔﾏｶﾞｵｶ,3591106,11
東住吉,ﾋｶﾞｼｽﾐﾖｼ,3591124,11
東町,ﾋｶﾞｼﾁｮｳ,3591116,11
東所沢,ﾋｶﾞｼﾄｺﾛｻﾞﾜ,3590021,11
東所沢和田,ﾋｶﾞｼﾄｺﾛｻﾞﾜﾜﾀﾞ,3590023,11
日比田,ﾋﾋﾞﾀ,3590015,11
日吉町,ﾋﾖｼﾁｮｳ,3591123,11
星の宮,ﾎｼﾉﾐﾔ,3591127,11
堀之内,ﾎﾘﾉｳﾁ,3591165,11
本郷,ﾎﾝｺﾞｳ,3590022,11
松が丘,ﾏﾂｶﾞｵｶ,3591132,11
松郷,ﾏﾂｺﾞｳ,3590027,11
松葉町,ﾏﾂﾊﾞﾁｮｳ,3590044,11
三ケ島,ﾐｶｼﾞﾏ,3591164,11
緑町,ﾐﾄﾞﾘﾁｮｳ,3591111,11
南住吉,ﾐﾅﾐｽﾐﾖｼ,3591125,11
南永井,ﾐﾅﾐﾅｶﾞｲ,3590011,11
美原町,ﾐﾊﾗﾁｮｳ,3590045,11
宮本町,ﾐﾔﾓﾄﾁｮｳ,3591143,11
御幸町,ﾐﾕｷﾁｮｳ,3591115,11
元町,ﾓﾄﾏﾁ,3591121,11
山口,ﾔﾏｸﾞﾁ,3591145,11
弥生町,ﾔﾖｲﾁｮｳ,3590043,11
有楽町,ﾕｳﾗｸﾁｮｳ,3591117,11
若狭,ﾜｶｻ,3591151,11
若松町,ﾜｶﾏﾂﾁｮｳ,3590032,11
和ケ原,ﾜｶﾞﾊﾗ,3591162,11
