another_name,another_name_kana,post_id,prefecture_id
,,0000000,1
青葉町,ｱｵﾊﾞﾁｮｳ,0530807,1
明野新町,ｱｹﾉｼﾝﾏﾁ,0530054,1
明野元町,ｱｹﾉﾓﾄﾏﾁ,0530051,1
あけぼの町,ｱｹﾎﾞﾉﾁｮｳ,0000000,1
旭町,ｱｻﾋﾏﾁ,0530018,1
有明町,ｱﾘｱｹﾁｮｳ,0530812,1
泉町,ｲｽﾞﾐﾁｮｳ,0530047,1
一本松町,ｲｯﾎﾟﾝﾏﾂﾁｮｳ,0000000,1
糸井,ｲﾄｲ,0530814,1
入船町,ｲﾘﾌﾈﾁｮｳ,0530003,1
植苗,ｳｴﾅｴ,0591365,1
有珠の沢町,ｳｽﾉｻﾜﾁｮｳ,0530842,1
ウトナイ北,ｳﾄﾅｲｷﾀ,0591306,1
ウトナイ南,ｳﾄﾅｲﾐﾅﾐ,0591307,1
永福町,ｴｲﾌｸﾁｮｳ,0530815,1
王子町,ｵｳｼﾞﾏﾁ,0530027,1
大町,ｵｵﾏﾁ,0530024,1
音羽町,ｵﾄﾜﾁｮｳ,0530044,1
表町,ｵﾓﾃﾏﾁ,0530022,1
柏木町,ｶｼﾜｷﾞﾁｮｳ,0530823,1
柏原,ｶｼﾜﾊﾞﾗ,0591362,1
春日町,ｶｽｶﾞﾁｮｳ,0530031,1
川沿町,ｶﾜｿﾞｴﾁｮｳ,0530822,1
木場町,ｷﾊﾞﾁｮｳ,0530033,1
錦西町,ｷﾝｾｲﾁｮｳ,0591266,1
啓北町,ｹｲﾎｸﾁｮｳ,0530854,1
小糸井町,ｺｲﾄｲﾁｮｳ,0530813,1
光洋町,ｺｳﾖｳﾁｮｳ,0530811,1
寿町,ｺﾄﾌﾞｷﾁｮｳ,0530016,1
幸町,ｻｲﾜｲﾁｮｳ,0530026,1
栄町,ｻｶｴﾏﾁ,0530017,1
桜木町,ｻｸﾗｷﾞﾁｮｳ,0530832,1
桜坂町,ｻｸﾗｻﾞｶﾁｮｳ,0530843,1
三光町,ｻﾝｺｳﾁｮｳ,0530042,1
