another_name,another_name_kana,post_id,prefecture_id
,,0000000,4
赤間屋敷,ｱｶﾏﾔｼｷ,9870133,4
市道,ｲﾁﾐﾁ,9870145,4
一本柳,ｲｯﾎﾟﾝﾔﾅｷﾞ,9870136,4
猪岡短台,ｲﾉｵｶﾀﾝﾀﾞｲ,9870284,4
烏鴉,ｳｶﾞﾗｽ,9870145,4
裏桜町,ｳﾗｻｸﾗﾁｮｳ,9870103,4
浦町,ｳﾗﾏﾁ,9870142,4
追廻町,ｵｲﾏﾜｼﾁｮｳ,9870165,4
太田,ｵｵﾀ,9870282,4
沖新田,ｵｷｼﾝﾃﾞﾝ,9870144,4
尾切,ｵｷﾞﾚ,9870145,4
小里,ｵｻﾄ,9870281,4
表桜町,ｵﾓﾃｻｸﾗﾁｮｳ,9870102,4
上郡,ｶﾐｺﾞｵﾘ,9870171,4
掃部沖名,ｶﾓﾝｵｷﾅ,9870133,4
刈萱町,ｶﾙｶﾔﾁｮｳ,9870164,4
川原町,ｶﾜﾗﾏﾁ,9870161,4
北五反田,ｷﾀｺﾞﾀﾝﾀﾞ,9870134,4
北田,ｷﾀﾀﾞ,9870131,4
九軒,ｸｹﾝ,9870134,4
鞍掛,ｸﾗｶﾞｹ,9870145,4
蔵人沖名,ｸﾗﾝﾄﾞｵｷﾅ,9870132,4
桑木荒,ｸﾜﾉｷｱﾗ,9870112,4
花勝山,ｹｶﾂﾔﾏ,9870145,4
下道,ｹﾞﾄﾞｳ,9870147,4
五反田,ｺﾞﾀﾝﾀﾞ,9870134,4
小塚,ｺﾂﾞｶ,9870151,4
後藤江,ｺﾞﾄｳｴ,9870133,4
小蓋谷地,ｺﾌﾞﾀﾔﾁ,9870135,4
小谷地,ｺﾔﾁ,9870132,4
小山下,ｺﾔﾏｼﾀ,9870144,4
今左衛門沖名,ｺﾝｻﾞｴﾓﾝｵｷﾅ,9870133,4
桜町裏,ｻｸﾗﾁｮｳｳﾗ,9870101,4
佐山木,ｻﾔﾏｷﾞ,9870134,4
三軒屋敷,ｻﾝｹﾞﾝﾔｼｷ,9870148,4
三十軒,ｻﾝｼﾞｭｯｹﾝ,9870135,4
渋江,ｼﾌﾞｴ,9870113,4
地不足道,ｼﾞﾌﾞｿｸﾐﾁ,9870134,4
下郡,ｼﾓｺﾞｵﾘ,9870172,4
下新田,ｼﾓｼﾝﾃﾞﾝ,9870144,4
新沖新田,ｼﾝｵｷｼﾝﾃﾞﾝ,9870140,4
新尾切,ｼﾝｵｷﾞﾚ,9870145,4
新九軒前,ｼﾝｸｹﾝﾏｴ,9870130,4
新後藤江,ｼﾝｺﾞﾄｳｴ,9870149,4
新境堀下,ｼﾝｻｶｲﾎﾞﾘｼﾀ,9870138,4
新台所橋,ｼﾝﾀﾞｲﾄﾞｺﾛﾊﾞｼ,9870139,4
新田,ｼﾝﾃﾞﾝ,9870133,4
新中島乙,ｼﾝﾅｶｼﾞﾏｵﾂ,9870137,4
新名鰭,ｼﾝﾅﾋﾞﾚ,9870145,4
新町,ｼﾝﾏﾁ,9870115,4
新町裏,ｼﾝﾏﾁｳﾗ,9870114,4
砂田,ｽﾅﾀ,9870144,4
関谷沖名,ｾｷﾔｵｷﾅ,9870133,4
台所橋道下,ﾀﾞｲﾄﾞｺﾛﾊﾞｼﾐﾁｼﾀ,9870133,4
鷹野橋下中瀬,ﾀｶﾉﾊﾞｼｼﾓﾅｶｾﾞ,9870133,4
立町,ﾀﾂﾁｮｳ,9870163,4
田沼町,ﾀﾇﾏﾁｮｳ,9870104,4
田町裏,ﾀﾏﾁｳﾗ,9870141,4
中下道,ﾅｶｹﾞﾄﾞｳ,9870146,4
中島,ﾅｶｼﾞﾏ,9870137,4
中島乙,ﾅｶｼﾞﾏｵﾂ,9870137,4
中島川前,ﾅｶｼﾞﾏｶﾜﾏｴ,9870137,4
中島甲,ﾅｶｼﾞﾏｺｳ,9870137,4
長柄町,ﾅｶﾞｴﾁｮｳ,9870143,4
名鰭,ﾅﾋﾞﾚ,9870145,4
成沢,ﾅﾘｻﾜ,9870286,4
西谷地,ﾆｼﾔﾁ,9870134,4
二歩,ﾆﾌﾞ,9870134,4
練丑町,ﾈﾘｳｼﾁｮｳ,9870105,4
箟岳,ﾉﾉﾀﾞｹ,9870285,4
八百刈,ﾊｯﾋﾟｬｸｶﾞﾘ,9870144,4
薔薇島,ﾊﾞﾗｼﾞﾏ,9870144,4
古道下二本杉,ﾌﾙﾐﾁｼﾀﾆﾎﾝｽｷﾞ,9870113,4
本町,ﾓﾄﾏﾁ,9870162,4
柳町,ﾔﾅｷﾞﾁｮｳ,9870111,4
吉住,ﾖｼｽﾞﾐ,9870283,4
蘭場谷地,ﾗﾝﾊﾞﾔﾁ,9870134,4
六軒町,ﾛｯｹﾝﾁｮｳ,9870106,4
六軒町裏,ﾛｯｹﾝﾁｮｳｳﾗ,9870107,4
涌谷,ﾜｸﾔ,9870121,4
